JOBID,CompID,title,summary,job_desc,salary,job_type
34,133,Budget and Policy Analyst,"In support of state and federally funded cash and nutritional assistance safety net programs, the Budget and Policy Analyst is responsible for working with agency staff to develop the Department’s annual budget throughout the state budget...","$62,530 - $90,570 a yearPart-timeAbout DTAThe Department of Transitional Assistance (DTA) assists and empowers low-income individuals and families to meet their basic needs, improve their quality of life, and achieve long term economic self-sufficiency. DTA serves one in eight residents of the Commonwealth with direct economic assistance (cash benefits) and food assistance (SNAP benefits), as well as workforce training opportunities.This is a provisional appointment.POSITION OVERVIEWWe are seeking qualified applicants for the position of Budget and Policy Analyst. In support of state and federally funded cash and nutritional assistance safety net programs, the Budget and Policy Analyst is responsible for working with agency staff to develop the Department’s annual budget throughout the state budget building process, conduct fiscal and policy analysis, forecast expenditures, monitor and report on assigned line items and other cost areas. This position will be involved in the preparation of budget requests; contributing to the development of new programs and policies; managing resources and contracts; and providing general Budget Unit support as necessary. The duties will include, but are not limited to:Prepare budget requests by projecting resource needs through the analysis of expenditure, caseload, and other available cost information and by extracting information stored in large databases as well as other information sources.Prepare required documentation for incorporation into the Department’s current year spending plan, maintenance funding estimate, and next year budget request.Analyze and report on the estimated cost impact of policy and regulatory changes and the effectiveness of existing programs.Using a problem solving approach prepare fiscal and policy impact analyses of proposed critical management, legislative, and regulatory changes using a variety of statistical, economic, and financial analysis techniques. Use clear, defensible methodologies and outline specific assumptions in the note of the analysis.Collaborate with senior level staff, both internal and external to the Department, in developing new programs and policies and in pursuing other agency goals.Present in a professional manner written and/or verbal fiscal and policy analysis to key decision makers in the Department as well as in the Executive Office of Health and Human Services, Executive Office of Administration and Finance, and the legislative branch, including analysts in the Ways and Means Committees.Update and report on spending projections on a monthly basis.Manage resources supporting the Department’s programs through tracking, analyzing and reporting on program expenditures and savings, with an eye toward early identification of potential funding issues.Review contracts, RFRs, and other procurement documents for budgetary implications.Ensure that funding is aligned in the state accounting system (MMARS) with projected expenditures.Collaborate with program staff to maximize the use of available funding.Work to make the Budget Unit a collaborative and effective unit within the Department by taking a team approach with Budget Unit colleagues by communicating well, sharing information, and assisting others with technical skills and analysis to ensure that the Budget Unit’s role in performing the Department’s mission is always executed with excellence.Performs other duties as assigned.PREFERRED QUALIFICATIONS:Strong analytical, mathematical, and statistical skills.Ability to communicate and write effectively.Ability to collect, extract and manage complex data sets while maintaining data integrity.Ability to synthesize complex data sets to non-technical collaterals.Experience working with large databases, forecasting, and analyzing data sets using Microsoft Access, Microsoft Excel and other data analysis software.Knowledge of the health and human services industry.Graduate degree with a public policy, statistics, research, or business focus preferred.Familiarity with the Massachusetts State accounting system, MMARS, and/or the state budget processes a plus.Pre-Offer Process:A criminal background check will be completed on the recommended candidate as required by the regulations set forth by the Executive Office of Health and Human Services prior to the candidate being hired. For more information, please visit http://www.mass.gov/hhs/cori and click on ""Information for Job Applicants"".Education, licensure and certifications will be verified in accordance with the Human Resources Division’s Hiring GuidelinesEducation and license/certification information provided by the selected candidate(s) is subject to the Massachusetts Public Records Law and may be published on the Commonwealth’s website.For questions, please contact the CYF Office of Human Resources at1-800-510-4122 and select option #2.QualificationsFirst consideration will be given to those applicants that apply within the first 14 days.MINIMUM ENTRANCE REQUIREMENTS:Applicants must have at least (A) four years of full-time, or equivalent part-time, professional experience in work simplification, management analysis, program analysis, methods analysis, economic analysis. fiscal analysis, financial analysis, budget analysis, program administration, or program management, or (B) any equivalent combination of the required experience and the substitutions below.Substitutions:I. A Bachelor's degree with a major in business administration, business management, public administration, industrial engineering or industrial management may be substituted for a maximum of two years of the required experience.*II. A Graduates degree with a major in business administration, budget management, public administration, industrial engineering or industrial management may be substituted for a maximum of three years of the required experience.*III. A Bachelor's or higher degree with a major other than in business administration, business management, public administration, industrial engineering or industrial management may be substituted for a maximum of one year of the required experience.Education toward such a degree will be prorated on the basis of the proportion of the requirements actually completed.NOTE: Educational substitutions will be permitted for a maximum of three years of the required experience.SPECIAL REQUIREMENTS: None.An Equal Opportunity / Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.Official Title: Management Analyst IIIPrimary Location: United States-Massachusetts-Boston-600 Washington StreetJob: Administrative ServicesAgency: Department of Transitional AssistanceSchedule: Full-timeShift: DayJob Posting: Apr 11, 2019, 10:15:39 AMNumber of Openings: 1Salary: 62,530.26 - 90,570.48 YearlyIf you have Diversity, Affirmative Action or Equal Employment Opportunity questions or need a Reasonable Accommodation, please contact Diversity Officer / ADA Coordinator: Keesha LaTulippe - 617-348-5169Bargaining Unit: 06-NAGE - Professional Admin.Confidential: No","$62,530 - $90,570 a year",Full time
35,134,Finance Coordinator,The Finance Coordinator will support UP Education Network’s Finance Team in designing and executing strong accounting and finance controls....,"$45,000 a yearFinance CoordinatorAbout UP Education NetworkUP Education Network manages and operates six schools in Boston, Lawrence, and Springfield, MA. We serve over 3,000 elementary and middle school students. UP is invited by local school districts to restart chronically underperforming district schools as UP Academies. Each UP Academy shares the same mission: to ensure that students acquire the knowledge, skills, and strength of character necessary to succeed on the path to college and to achieve their full potential.RoleThe Finance Coordinator will support UP Education Network’s Finance Team in designing and executing strong accounting and finance controls. The Finance Coordinator will own the accounts payable process, ensuring vendors are paid accurately and on time so that schools have the supplies and resources they need to be successful. The Finance Coordinator will be managed by the Controller.Specific ResponsibilitiesLead Accounts Payable for multiple schools as well as the Network OfficeReview all invoices for appropriate documentation and approval prior to payment and distribute checks accordinglyProcess all accounts payable including check requests and corporate card reconciliationMaintain and distribute 1099 documentsReconcile vendor statements, research and correct discrepanciesLead month end closing: reconcile multiple bank accounts on a monthly basis, reconcile and pay Corporate Card, and assist with monthly balance sheet transactions, including reconciling prepaid expenses and posting depreciationMaintain files and documentation thoroughly and accurately in accordance with company policies as well as accepted accounting practicesAssist with preparation of yearly state filings as well as yearly financial auditQualifications A strong belief in UP Education Network’s core values: Students, Community, Humility, Resilience, and Humor Excellent attention to detail Proficiency in Quickbooks and Microsoft Excel Bachelor’s degree is required Current authorization to work in the United States – A candidate must have such authorization by his or her first day of employmentCompensation and BenefitsThis position falls into UP Education Network’s Coordinator salary band, with salaries beginning at $45,000 and the potential for an annual performance-based bonus. Additionally, UP offers medical insurance coverage and subsidizes the majority of the employee, spouse/domestic partner, and child premiums. Other benefits include dental and vision plans, disability, life insurance, parenting benefits, flexible spending account options, generous vacation time, commuter benefits, and access to a 403(b) plan.We encourage applicants from diverse backgrounds to apply for any open position for which they are qualified. Our students must be exposed on a daily basis to a diverse group of powerful role models. Therefore, we have a responsibility to recruit, retain, develop, and reward a diverse and talented staff from a wide range of backgrounds to join our creative, mission-driven team.","$45,000 a year",Full time
36,135,Finance Analyst,Accounting and Finance. The Financial Analyst will support the work of the Purchasing Strategy Department in general and the hospital reimbursement unit in...,"$65,667 - $94,675 a yearPart-timeThe mission of MassHealth is to improve the health outcomes of our diverse members, their families and their communities by providing access to integrated health care services that sustainably promote health, well-being, independence and quality of life.The Financial Analyst will support the work of the Purchasing Strategy Department in general and the hospital reimbursement unit in particular by developing, monitoring and implementing reimbursement systems for human service providers including but not limited to acute/non acute care hospitals. The incumbent will be part of a multi-disciplinary rate setting team and responsible to review and analyze financial data; develop and work with financial models; determine data collection methods; provide technical assistance; develop analysis to support policy development and contractual negotiations; perform other related duties as required. Successful candidate must be a strong critical thinker with excellent knowledge of applications commonly used for financial work (Excel, Access), should have background in Finance and/or Healthcare, the ability to multi-task, has very strong attention to detail, and ability to independently resolve complex problems.Duties and Responsibilities (these duties are a general summary and not all inclusive):Develop understanding of payment concepts and rate setting process for acute hospitals and other types of healthcare providers.Perform detailed financial analysis to develop reimbursement rates for acute hospitals.Review and develop contractual language covering acute hospital reimbursement rates.Develop financial models and other solutions to analyze financial results, monitor hospital related payments, and other ad-hoc analysis.Ensures accuracy to maintain the high quality and integrity of information, data and databases.Participates in and complete other projects as assigned by manager.Preferred Qualifications:Proven analytical skills to collect information from diverse sources, apply professional principles in performing various analyses, and ability to conduct comprehensive analysis of data with complex reporting of results.Strong quantitative thinker and high attention to detail.Strong skills in Excel, Access, and PowerPoint to develop financial models for problem-solving and produce well-structured analysis and other reporting solutions.Structured and process-oriented thinker with a strong interest in healthcare policy and finance.Confident taking ownership of work streams with high-level direction and guidance, and producing proposed plans of action in a self-driven manner.Bachelor’s degree and two or more years background in relevant financial experience.Special Requirements:Based on assignment, possession of a current and valid Massachusetts Class D Motor Vehicle Operator’s license or the equivalent from another state may be required.Pre-Hire Process:A criminal background check will be completed on the recommended candidate as required by the regulations set forth by the Executive Office of Health and Human Services prior to the candidate being hired. For more information, please visit http://www.mass.gov/hhs/coriEducation, licensure and certifications will be verified in accordance with the Human Resources Division’s Hiring GuidelinesEducation and license/certification information provided by the selected candidate(s) is subject to the Massachusetts Public Records Law and may be published on the Commonwealth’s website.For questions, please contact the CYF Office of Human Resources at 1-800-510-4122 and select option #2.QualificationsFirst consideration will be given to those applicants that apply within the first 14 days.MINIMUM ENTRANCE REQUIREMENTS:Applicants must have at least (A) four years or full-time, or equivalent part-time professional experience in business administration, health care planning or administration, public health policy or administration, human services policy analyses or administration or economics, the major duties of which included financial analysis or costs, expenses and revenue and/or the development, implementation and monitoring or financial reimbursement systems, or (B) any equivalent combination of the required experience and the substitutions below.Substitutions:I. A Bachelor's degree with a major in health care administration, hospital administration, public health or health services administration, accounting, business administration, business management, public policy, public administration or economics may be substituted for a maximum of two years of the required experience.II. A graduate degree with a major in health care administration, hospital administration, public health or health services administration, accounting, business administration, business management, public policy, public administration or economics may be substituted for a maximum of three years of the required experience.*Education toward such a degree will be prorated on the basis of the proportion of the requirements actually completed.NOTE: Educational substitutions will only be permitted for a maximum of three years of the required experience.SPECIAL REQUIREMENTS: None.An Equal Opportunity / Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.Official Title: Reimbursement Sys Analyst IIIPrimary Location: United States-Massachusetts-Quincy - 100 Hancock StreetJob: Accounting and FinanceAgency: Exec Office Of Health and Human ServicesSchedule: Full-timeShift: DayJob Posting: Feb 21, 2019, 12:55:08 PMNumber of Openings: 1Salary: 65,667.16 - 94,674.58 YearlyIf you have Diversity, Affirmative Action or Equal Employment Opportunity questions or need a Reasonable Accommodation, please contact Diversity Officer / ADA Coordinator: Chantal St. Fleur - 617-348-8471Bargaining Unit: 06-NAGE - Professional Admin.Confidential: No","$65,667 - $94,675 a year",Full time
37,136,Payment and Care Delivery Innovation Finance Analyst,"More specifically, the PCDI Finance Analyst will analyze, synthesize, and present data from state and agency sources, as well as third party vendors, to...","$35,248 - $96,989 a yearPart-timeThe mission of MassHealth is to improve the health outcomes of our diverse members, their families and their communities by providing access to integrated health care services that sustainably promote health, well-being, independence and quality of life.About MassHealth:MassHealth is the Medicaid and State Children’s Health Insurance Program plan for Massachusetts, providing healthcare services to 1.9 million low-income and disabled residents of the Commonwealth. MassHealth is responsible for a $15 billion annual budget comprised of premiums to insurance providers, direct payments to healthcare providers, and administrative expenses.MassHealth is currently implementing a multi-year payment and care delivery reform, aiming to improve care for members and program sustainability. To fund the changes to the delivery system, Massachusetts is partnering with the federal government in a Delivery Service Reform Incentive Payment (DSRIP) program with a total value of ~$1.8B. The centerpiece of this reform is the roll-out of three new payment models for Accountable Care Organizations (ACOs), and also includes significant changes to the current Managed Care Organization (MCO) program. These reforms will move a significant portion of MassHealth’s business from largely unmanaged, fee-for-service care towards a model where providers are accountable for managing population health, quality of care and integration of services with financial accountability for the total cost of care.Position Summary:The Payment and Care Delivery Innovation (PCDI) team oversees the ACO program for MassHealth. As a member of this team, the Payment and Care Delivery Innovation (PCDI) Finance analyst will help drive financial performance of each of the contracted ACOs / MCOs as they push towards accountable care. More specifically, the PCDI Finance Analyst will analyze, synthesize, and present data from state and agency sources, as well as third party vendors, to identify trends in ACO performance and agency expenditures on the ACO / MCO program. The Analyst will be responsible for reporting out to senior MassHealth leadership, working in direct partnership with ACO/MCO contracted vendors to better understand performance trends, and collaborating across the MassHealth organization in order to serve various program stakeholders.This position is in the ACO/MCO Program Management team will offer a unique perspective on overall MassHealth managed care financial management, as well as granular exposure to specific ACO/MCO performance. PCDI is a dynamic, fast paced environment, operating as a relatively new team within the much larger MassHealth entity.The PCDI Finance Analyst will report MassHealth Director of ACO/MCO Performance Management. The Analyst will be responsible for leveraging insights of both the finance and program management teams.Duties and Responsibilities (these duties are a general summary and not all inclusive):Monitor real-time performance of MCO and ACO programs through financial dashboards and custom analysis.Monitor individual MCO + ACO performance vs. Total Cost of Care benchmarks.Assist in the development, implementation and monitoring of specific initiatives designed to address identified performance gaps (ACO/MCO-specific and, to some extent, program wide).Contribute to the broader strategy development for identification and prioritization of poor-performing ACO/MCOs for management.Work with contracted actuaries to develop prospective capitation rates for capitated programs, and ensure that those rates reflect real ACO / MCO plan experience.Communicate to internal and external parties (including ACO / MCO senior leadership) during rate setting and performance management processes.Participate in overall ACO / MCO contracting process as a subject matter expert in ACO / MCO finance and performance, contributing expertise to the development of new/modified legal and financial structures.Respond to ad hoc inquiries and requests for information from external stakeholders including other MassHealth units, other state agencies, and public entities.Preferred Qualifications:Excellent analytical and problem solving skills.Excellent MS Excel and PowerPoint skills and experience analyzing large datasets using Microsoft Excel.Excellent organizational skills and attention to detail.Ability to parse complicated problems with minimal direction, and clearly communicate findings to a variety of stakeholders (internal and external).Ability to lead projects through organizing work, establishing operating relationships, and coordinating the work of others.Ability to analyze and determine the applicability of financial and program data, to draw conclusions, and to make appropriate recommendations.Strong written and verbal communication skills.Strong interpersonal skills.Passion for public service.Experience in healthcare.2-5 years’ experience working in analytical capacity.Enjoy working in high paced environment, often including tight time constraints.Special Requirements:Based on assignment, possession of a current and valid Massachusetts Class D Motor Vehicle Operator’s license or the equivalent from another state may be required.Total Compensation:As an employee of the Commonwealth of Massachusetts, you are offered a great career opportunity influencing a wide-spectrum of services to the diverse populations we serve - but it's more than a paycheck. The State's total compensation package features an outstanding set of employee benefits which you should consider towards your overall compensation, including:75% state paid medical insurance premium.Reasonable Dental and Vision Plans.Flexible Spending Account and Dependent Care Assistance programs.Low cost basic and optional life insurance.Retirement Savings: State Employees' Pension and a Deferred Compensation 457(b) plan.11 paid holidays per year and competitive Sick, Vacation and Personal Time.Tuition Benefit for employee and spouse at state colleges and universities.Short-Term Disability and Extended Illness program participation options.Incentive-based Wellness Programs.Professional Development and Continuing Education opportunities.Qualified Employer for Public Service Student Loan Forgiveness ProgramPre-Hire Process:A criminal background check will be completed on the recommended candidate as required by the regulations set forth by the Executive Office of Health and Human Services prior to the candidate being hired. For more information, please visit http://www.mass.gov/hhs/coriEducation, licensure and certifications will be verified in accordance with the Human Resources Division’s Hiring GuidelinesEducation and license/certification information provided by the selected candidate(s) is subject to the Massachusetts Public Records Law and may be published on the Commonwealth’s website.For questions, please the contact the CYF Office of Human Resources at 1-800-510-4122 and select option #2.QualificationsMINIMUM ENTRANCE REQUIREMENTS:Applicants must have at least (A) four (4) years of full-time or, equivalent part-time, professional, professional internship, administrative, supervisory, or managerial experience in business administration, business management, public administration, public management, clinical administration or clinical management or (B) any equivalent combination of the required experience and substitutions below.Substitutions:I. A certificate in a relevant or related field may be substituted for one (1) year of the required experience.II. An Associate’s degree in a related field may be substituted for one (1) year of the required experience.III. A Bachelor’s degree in a related field may be substituted for two (2) years of the required experience.IV. A Graduate degree in a related field may be substituted for three (3) years of the required experience.V. A Doctorate degree in a related field may be substituted for the required experience.An Equal Opportunity / Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.Official Title: Administrator IVPrimary Location: United States-Massachusetts-Boston-1 Ashburton PlaceJob: Administrative ServicesAgency: Exec Office Of Health and Human ServicesSchedule: Full-timeShift: DayJob Posting: Feb 11, 2019, 1:33:11 PMNumber of Openings: 2Salary: 35,247.68 - 96,989.09 YearlyIf you have Diversity, Affirmative Action or Equal Employment Opportunity questions or need a Reasonable Accommodation, please contact Diversity Officer / ADA Coordinator: Chantal St.Fleur - 617-348-8471Bargaining Unit: M99-Managers (EXE)Confidential: No","$35,248 - $96,989 a year",Full time
38,137,VP of Finance,"In this role, you would be responsible for owning all aspects of our financial controls and working closely with our senior leadership team to support our rapid...","Teikametrics is looking for an ambitious and growth-oriented VP of Finance. In this role, you would be responsible for owning all aspects of our financial controls and working closely with our senior leadership team to support our rapid growth trajectory. You must be able to hit the ground running in a fast-paced and dynamic work environment. Most importantly, you want to be a part of a high growth company, where you’ll have an opportunity to partner with stakeholders in every department of the company to solve complex business problems on a daily basis.In this role, you will leverage your expertise to own financial forecasting, cash management, financial controls, investor reporting, and all FP&A functions within the company. You will use your strategic strengths to help the leadership team navigate scaling challenges and will help define and measure performance milestones for our stakeholders and investors.You will bring specific financial experience in high growth SaaS companies and a proven track record of supporting growth from $10 to $30M+ in ARR.Responsibilities:Work with department leaders and Senior Leadership team to develop accurate budgeting process for hiring and resourcesOwn the financial model, forecasting, cash vs. burn, and board financial dashboardImplement financial controls and systems for our SaaS operations. Help us implement the correct tools and systems to improve efficiency and scalabilityDesign and build reporting systems for Senior Leadership and other departments to accurately track SaaS KPIs including, Churn, Expansion, etcDesign and optimize SaaS systems to optimize retention, reduce leakages including refunds, chargebacks, etcQualification Profile:BA/BS Top 10 school. Accounting, Economics, Business Administration5-10 years of finance management experience at a top tier, post Series A SaaS companySaaS specific experience related to metered billing and pay-per-use models. SaaS performance metrics and forecasting methodologies to match across SMB > Enterprise segments. Experience with compensation models to map to incentives across groups matching performance targetsProven track record with fundraising at Series B and beyond","$134,000 - $195,000 a year (Indeed est.)",Full time
39,138,Assistant Director for Financial Education,"A bachelor’s degree, preferably in finance, education, communications, or related field; Partner with MIT Student Financial Services and Admissions leadership...","$54,954 - $68,000 a yearWorking at MIT offers opportunities, an environment, a culture – and benefits – that just aren’t found together anywhere else. If you’re curious, motivated, want to be part of a unique community, and help shape the future – then take a look at this opportunity.ASSISTANT DIRECTOR FOR FINANCIAL EDUCATION, Student Financial Services, to serve as a campus leader in championing financial wellness throughout the MIT student community. Will coordinate and communicate a digital learning curriculum for students; partner with MIT Student Financial Services and Admissions leadership to develop a comprehensive strategic plan to help educate the MIT student body about financial planning and organization and develop, organize, and present dynamic and engaging programs to carry out this plan; engage with MIT faculty, campus partners, and the MIT student body in the development of programs and to raise awareness of the importance of prudent personal financial planning; research financial literacy topics and resources, conduct surveys, and hold focus groups with students in conjunction with the strategic plan and proactively measure the effectiveness of the program; and provide regular feedback to senior leadership in order to continuously improve ongoing financial literacy programs and related resources.Job RequirementsREQUIRED: a bachelor’s degree, preferably in finance, education, communications, or related field; at least four years’ experience engaging with students in postsecondary education; knowledge of and experience with financial literacy; self-direction; excellent public speaking skills; and the ability to engage large groups of students and work collaboratively with faculty, staff and administrators. Job #17350-7Salary range: $54,954-68,000Must be able to work a flexible schedule.","$54,954 - $68,000 a year",Part time
40,139,Performance Analyst,"Analytical mindset (Math, Economics, or Finance background). WHO WE ARE:....","$45,000 - $65,000 a yearWHO WE ARE:Social Fulcrum is a team of data scientists, platform experts, and creatives who work collaboratively to develop marketing strategies based on data-driven decisions, not assumptions.WHAT WE BELIEVE IN:Be Data DrivenWork Hard, Move FastTake OwnershipBe ResilientHelp Others SucceedTHIS ROLE:We need an analytical and thoughtful PERFORMANCE MANAGER/COORDINATOR to join our team and bring expertise and project management skills to rapidly changing and competing priorities. Working in partnership with the Account Management team, you’ll perform statistical analyses of advertising campaigns in Facebook digital platform and make optimization decisions designed to improve campaign efficiency.HOW SUCCESS IS MEASURED:Within 1 month of start date:Be able to proficiently use project management software to communicate budget changes, troubleshoot, and test campaigns internally with minimal supervisionBe able to update analytics files daily, incorporate optimization metrics, and assess overall campaign performanceSynthesize and communicate campaign data to account managementUse project management software autonomouslyPerform comprehensive analysis of performance data, identify key campaign audiences and manage campaign budgetsDevelop comprehensive performance test plans using project management softwareWithin 3 months of start date:Use project management software autonomouslyPerform comprehensive analysis of performance data, identify key campaign audiences and manage campaign budgetsDevelop comprehensive performance test plans using project management softwareTHE IDEAL CANDIDATE WILL HAVE:At least 2-3 years of professional experience in the areas of data analysis, direct response marketing, or project managementEffective communication skills (both written and verbal), ability to create visual models and document learningAbility to work with multiple internal teams to gather data and solve problemsSome experience with online advertising, specifically Facebook AnalyticsRequirementsBachelor’s degreeOutstanding communication skills, ability to tell stories with dataComposure when the client asks the tough questionsStrong attention to detailAnalytical mindset (Math, Economics, or Finance background)Masterful Excel proficiencyBenefitsSalary range of $45,000 to $65,000 (commensurate with experience)Flexible PTOMedical, dental, vision insurance, short and long term disability coverage, along with employer contribution to commuter account.Company culture - Work hard, be weird. No, seriously, be weird. Incredibly cool work space.","$45,000 - $65,000 a year",Part time
41,140,Student Intern - Office of Student Financial Assistance,Interns will work along with the OSFA staff to assist with aspects of the awarding and management of State student financial aid programs....,"$13.50 an hourInternshipPosition OverviewThe Department of Higher Education’s Office of Student Financial Assistance is seeking two student interns for a summer internship opportunity.The Student Intern will provide administrative support services to the Office of Student Financial Assistance during its peak operational season. Interns will work along with the OSFA staff to assist with aspects of the awarding and management of State student financial aid programs. This position reports to the Senior Associate Commissioner for Student Financial Assistance.The Office of Student Financial Assistance is a division of the Department of Higher Education. This office has oversight of state funded financial aid programs, including the audit and compliance process. Receiving over 350,000 FAFSA applications annually, the office oversees $111 million in state appropriated resources for a variety of programs, and manages a plethora of tuition waivers that account for an additional $55 million in financial resources for students to attend college. Working within this framework, the Student Intern will support the work of the staff in providing information about financial resources and services to Massachusetts students (and their families) who attend over three hundred colleges and universities in Massachusetts and other reciprocal states.Essential Job Functions Assist the office with specific projects and tasks Perform data entry for various programs Assist with the dissemination of office correspondence, including opening and sorting of all incoming mail Using answering call system, provide accurate and detailed information Assisting staff with large volume mail projects Utilizing Microsoft applications to develop spreadsheets and Power Point presentations Perform scanning, filing and copying of documents, as requestedApplications should consist of:1) a one page cover letter2) a resume3) at least two professional referencesThe review of applications will begin immediately. However, recruitment will continue until the positions are filled.For any questions on this posting, please contact Meaghan Lazarovich at Meaghan.lazarovich@mass.gov.QualificationsQualificationsSuccessful candidate must be a currently enrolled college student (or entering freshman as of fall 2019) and meet the following requirements:Enrolled in an undergraduate degree programDemonstrated work experience in an office or related settingAn ability to work in fast-paced environmentExcellent oral communication skills and strong listening skillsExtremely dependable and reliableAbility to work independently, with accuracy and attention to detailFamiliarity with Microsoft Office products, a plusAn Equal Opportunity / Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.Official Title: Program CoordinatorsPrimary Location: United States-Massachusetts-Malden - 75 Pleasant StreetJob: Administrative ServicesAgency: Department of Higher EducationSchedule: Full-timeShift: DayJob Posting: Apr 18, 2019, 1:29:43 PMNumber of Openings: 2Salary: 13.50 HourlyIf you have Diversity, Affirmative Action or Equal Employment Opportunity questions or need a Reasonable Accommodation, please contact Diversity Officer / ADA Coordinator: Sarah Harding - 617-988-6604Bargaining Unit: NUP-Non-Unit Professionals (HiEd)Confidential: No",$13.50 an hour,Internship
42,141,"Change Management Specialist, GRM Finance",The GRM Finance Services team is seeking a Change Management Specialist to help create and drive our GRM Finance change management program....,"$117,400 - $152,000 a yearAdvance your Finance and Accounting career at Liberty Mutual Insurance- A Fortune 100 Company! The GRM Finance Services team is seeking a Change Management Specialist to help create and drive our GRM Finance change management program. T his role will help develop and execute change management plans & strategies for large scale initiatives impacting our business as Finance transforms for the future. The role will focus on supporting our organization by engaging with key stakeholders, developing targeted trainings and communications, and driving other actions to support organizational readiness for change. Responsibilities:Collaborate across groups to develop set of actionable and targeted change management plans including overall strategy and communications, leadership coaching, and training plansDevelop change project plans including deliverables, resource requirements, and timingPartner with training resource to develop training approach and support in the development of training materialsBe an active and visible coach and resource for leaders and employeesCreate key metrics and manage measurement to track adoption, utilization, and effectiveness of change programsDevelop mechanisms to recognize potential change risks or resistance and create plans to mitigate and resolveWork with various project teams to integrate change management activities into strategic initiative rollouts & project plans. This would include supporting organizational, process, and technology strategic initiativesWill work closely with Talent & Enterprise Services to ensure alignment on all initiativesQualifications:Bachelor’s degree with 7-10 years of experience or the equivalent required. MBA preferredExperience and knowledge of change management principles and methodologiesExcellent written and verbal communication, organizational and analytical skills requiredStrong influencing skills in order to be seen as a decision maker when interfacing across teamsMust be driven and flexible to succeed in ambiguous and less structured situations. Comfortable with making decisions with some level of uncertaintyEffective skills for writing reports/proposals and creating/making presentationsAbility to work independently and lead cross-functional groups during decision makingProficiency in multiple languages a plusBenefits: We value your hard work, integrity and commitment to positive change. In return for your service, it’s our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/BenefitsOverview:At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed.We’re dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual.","$117,400 - $152,000 a year",Full time
43,142,Customer Service Specialist,"Coordinate the order treatment with appropriate Account Manager, Technical Consultants, Sales, Operations, Logistics, and Finance departments....","Description: Are you a looking to jump start your career as part of a dynamic customer service team?ABCorp is actively seeking candidates for a Customer Service Specialist position. We are looking for individuals with a positive attitude, who are highly motivated self-starters. Candidates with strong communication skills, outstanding phone etiquette, attention to detail, and proven ability to multitask will be considered. This is a full-time position with benefits.Duties and Responsibilities: Manage customers’ orders from purchase order receipt to delivery and invoicing, which includes data entry into ABCorp’s ERP system as well as managing the milestones and delivery schedules of the ordersCoordinate the order treatment with appropriate Account Manager, Technical Consultants, Sales, Operations, Logistics, and Finance departmentsServe as liaison with manufacturing for all order related mattersResponsible for customer satisfaction and service excellence in terms of order treatment and follow-upSupport the customer service team, on a day to day basis, on tool usage, process deployment, and product knowledgeResponsible for the internal coordination and follow-up of customer requests and issuesAttend customer meetings and assist customers when visiting the officeParticipate in weekly, internal production status meetingsQualifications, Knowledge, and Skills: Highly effective service skills including professional demeanor and outstanding phone etiquetteStrong communication skills including the ability to craft professional emails and client related documentsExperience with ERP systems preferredAbility to quickly grasp computer softwareMust be proficient in the use of Microsoft OfficeAbility to work well in time-sensitive situations where customer satisfaction is the goalAbility to multitask in a fast-paced environmentMust demonstrate problem-solving skillsMust be customer service orientedMust be team orientedMust be able to work autonomouslyMust demonstrate excellent organizational skillsExperience in printing and/or manufacturing environment desired but not requiredJob Type: Full-timeExperience:Customer Service: 2 years (Preferred)Work environment:OfficeCommunication method(s) used:EmailPhoneBenefits offered:Paid time offHealth insuranceDental insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsOther types of insuranceRetirement benefits or accountsGym memberships or discountsEmployee discountsWorkplace perks such as food/coffee and flexible work schedules",$13.50 - $19.00 an hour (Indeed est.),Internship
