City,State,Cost of Living Index
Greeneville,TN,86.5
Greensboro,NC,91
Greenville,NC,89.8
Greenville,SC,95
Greenwood,SC,88.7
Gulfport,MS,86.8
Hammond,LA,89
Hanford,CA,105.4
Harrisburg,PA,95.8
Harrisonburg,VA,95.5
Hartford,CT,104.8
Hattiesburg,MS,86.1
Helena,MT,104.2
Hickory,NC,89.8
Hilo,HI,136.9
Hilton Head Island,SC,109.4
Hinesville,GA,90.8
Hobbs,NM,87.7
Homosassa Springs,FL,95.5
Hot Springs,AR,87.3
Houma,LA,89.9
Houston,TX,95.8
Huntington,WV,84.3
Huntsville,AL,91.3
Huntsville,TX,91.2
Hutchinson,KS,84
Idaho Falls,ID,91.7
Indiana,PA,90.8
Indianapolis,IN,90.2
Iowa City,IA,93.5
Ithaca,NY,101.7
Jackson,MI,87.4
Jackson,MS,87.8
Jackson,TN,85.2
Jacksonville,FL,99
Jacksonville,NC,91.7
Jamestown,NY,91.3
Janesville,WI,89.8
Jefferson City,MO,86.3
Johnson City,TN,88.1
Johnstown,PA,87.6
Jonesboro,AR,85.2
Joplin,MO,85.2
Kahului,HI,158.5
Kalamazoo,MI,89.3
Kalispell,MT,112.7
Kankakee,IL,91
Kansas City,MO,91.6
Kapaa,HI,164.9
Keene,NH,102.1
Kennewick,WA,99.7
Key West,FL,140
Killeen,TX,88.6
Kingsport,TN,86
Kingston,NY,106.1
Klamath Falls,OR,97.1
Knoxville,TN,91.6
Kokomo,IN,84.9
La Crosse,WI,91.8
Lafayette,LA,89.6
LaGrange,GA,86
Lake Charles,LA,89.4
Lake City,FL,93.6
Lake Havasu City,AZ,98.4
Lakeland,FL,96.4
Lancaster,PA,99.5
Lansing,MI,88.7
Laredo,TX,90.1
Las Cruces,NM,88.8
Las Vegas,NV,100.7
Laurel,MS,85.9
Lawrence,KS,91.6
Lawton,OK,82.8
Lebanon,PA,95.4
Lewiston,ID,92.5
Lewiston,ME,99.7
Lexington,KY,91.1
Lima,OH,87.2
Lincoln,NE,94.7
Little Rock,AR,88
London,KY,84.6
Longview,TX,88.5
Longview,WA,101.6
Lubbock,TX,88.8
Lufkin,TX,88.2
Lumberton,NC,83.4
Lynchburg,VA,93.6
Macon,GA,87.2
Madera,CA,108.9
Madison,WI,99.5
Manchester,NH,109.6
Manhattan,KS,89.6
Manitowoc,WI,87.8
Mankato,MN,95.3
Mansfield,OH,86.2
Marinette,WI,86.6
Marion,IN,81.8
Marion,OH,85.7
Marquette,MI,91.3
Marshall,TX,89.9
Martinsville,VA,85
McAllen,TX,86
Meadville,PA,88.5
Medford,OR,107.5
Memphis,TN,88.2
Merced,CA,108.2
Meridian,MS,82
Michigan City,IN,87.8
Midland,MI,87
Midland,TX,97.8
Milwaukee,WI,93.8
Minot,ND,90.7
Missoula,MT,103.4
Mobile,AL,88.3
Modesto,CA,112.3
Monroe,LA,86.5
Monroe,MI,90.5
Montgomery,AL,88.5
Morehead City,NC,102.2
Morgantown,WV,88.5
Morristown,TN,87.3
Moses Lake,WA,95.7
Mount Airy,NC,89
Mount Pleasant,MI,86.8
Mount Vernon,WA,110.1
Muncie,IN,83.7
Muskegon,MI,87.7
Muskogee,OK,81.3
Myrtle Beach,SC,94.7
Nacogdoches,TX,89.6
Napa,CA,149.6
Naples,FL,109.4
Nashville,TN,100.1
New Bern,NC,90.2
New Castle,PA,88.1
New Haven,CT,107.7
New Orleans,LA,92.4
New Philadelphia,OH,88.9
New York,NY,128
Niles,MI,89.7
North Wilkesboro,NC,90.5
Oak Harbor,WA,125.2
Ocala,FL,94.5
Ocean City,NJ,109.5
Odessa,TX,92.7
Ogden,UT,99.8
Ogdensburg,NY,88.3
Oklahoma City,OK,87.3
Olean,NY,89
Olympia,WA,110.9
Omaha,NE,92.9
Opelousas,LA,86.1
Orangeburg,SC,85.3
Orlando,FL,101.4
Oshkosh,WI,89
Ottawa,IL,86.6
Owensboro,KY,86.6
Owosso,MI,84.8
Paducah,KY,85.7
Palatka,FL,93.2
Panama City,FL,101.9
Parkersburg,WV,84.7
Pensacola,FL,97.9
Peoria,IL,86.7
Philadelphia,PA,103.4
Phoenix,AZ,104.3
Pine Bluff,AR,82.3
Pittsburgh,PA,93.1
Pittsfield,MA,106.4
Plattsburgh,NY,93.7
Pocatello,ID,90.8
Port Angeles,WA,109.1
Port St. Lucie,FL,101.1
Portland,ME,113
Portland,OR,116.5
Portsmouth,OH,84.7
Pottsville,PA,87
Prescott,AZ,104.6
Providence,RI,111.5
Provo,UT,100.9
Pueblo,CO,92.2
Punta Gorda,FL,100.3
Quincy,IL,87.3
Racine,WI,90.9
Raleigh,NC,99.7
Rapid City,SD,94.2
Reading,PA,96
Redding,CA,108.7
Reno,NV,107.4
Richmond,IN,84.2
Richmond,VA,99.2
Richmond,KY,90.8
Riverside,CA,116.1
Roanoke Rapids,NC,83.1
Roanoke,VA,94.1
Rochester,MN,97.3
Rochester,NY,96.6
Rockford,IL,87.2
Rocky Mount,NC,88.3
Rome,GA,89.6
Roseburg,OR,100.8
Roswell,NM,86.3
Russellville,AR,85.5
Sacramento,CA,120.3
Saginaw,MI,84
Salem,OR,105.8
Salinas,CA,138.3
Salisbury,MD,103.2
Salt Lake City,UT,105.9
San Angelo,TX,90.7
San Antonio,TX,92.7
San Diego,CA,136.2
San Francisco,CA,178.6
San Jose,CA,173.5
San Luis Obispo,CA,136.1
Sandusky,OH,90.8
Santa Cruz,CA,163.9
Santa Fe,NM,105.1
Santa Rosa,CA,141.7
Savannah,GA,97.3
Scranton,PA,91.3
Searcy,AR,85.4
Seattle,WA,124.6
Sebring,FL,93.1
Seneca,SC,94
Sevierville,TN,103.5
Shawnee,OK,82.4
Sheboygan,WI,89.7
Shelby,NC,88.1
Shelton,WA,109.6
Sherman,TX,91.3
Show Low,AZ,101.9
Shreveport,LA,85.8
Sierra Vista,AZ,93.2
Sioux City,IA,87.1
Sioux Falls,SD,92.8
Somerset,PA,89.3
South Bend,IN,87.2
Spartanburg,SC,91
Spokane,WA,100.4
Springfield,IL,87.5
Springfield,MA,106.5
Springfield,MO,86.7
Springfield,OH,87.5
St. Cloud,MN,95.4
St. George,UT,98
St. Joseph,MO,85.5
St. Louis,MO,89.6
State College,PA,99.8
Statesboro,GA,91.1
Staunton,VA,94.5
Stevens Point,WI,91.5
Stillwater,OK,86.3
Stockton,CA,113.6
Sumter,SC,88.1
Sunbury,PA,88.6
Syracuse,NY,95.1
Talladega,AL,87.4
Tallahassee,FL,96.4
Tampa,FL,101.4
Terre Haute,IN,84.7
Texarkana,TX,86.3
The Villages,FL,100.7
Toledo,OH,87.5
Topeka,KS,85.6
Torrington,CT,105.2
Traverse City,MI,99.6
Trenton,NJ,104.3
Truckee,CA,132.8
Tucson,AZ,97.7
Tullahoma,TN,88.7
Tulsa,OK,86.7
Tupelo,MS,87.2
Tuscaloosa,AL,91
Twin Falls,ID,91.2
Tyler,TX,92.8
Ukiah,CA,128
Utica,NY,94.1
Valdosta,GA,89.2
Vallejo,CA,125.2
Vineland,NJ,97.8
Virginia Beach,VA,99
Visalia,CA,103.6
Waco,TX,89.5
Walla Walla,WA,100.9
Warner Robins,GA,90.5
Warsaw,IN,92.3
Washington,DC,120.1
Waterloo,IA,87.6
Watertown,WI,97.1
Watertown,NY,96.4
Wausau,WI,88.9
Wenatchee,WA,106.6
Whitewater,WI,97.7
Wichita Falls,TX,85.7
Wichita,KS,86.8
Williamsport,PA,93.4
Wilmington,NC,99
Wilson,NC,86.3
Winchester,VA,97.2
Winston-Salem,NC,91.2
Wooster,OH,95.5
Worcester,MA,113.2
Yakima,WA,97.5
York,PA,95.8
Youngstown,OH,86.4
Yuba City,CA,108.7
Yuma,AZ,94.5
Zanesville,OH,87.6
Bloomington,IL,89
California,MD,104.8
Crestview,FL,104.7
Glenwood Springs,CO,127.8
Greenfield Town,MA,106.2
Hermiston,OR,97.9
Holland,MI,96.2
Jefferson,GA,97.4
Lafayette,IN,88.7
Los Angeles,CA,140.6
Sarasota,FL,104.4
Salem,OH,86.6
Santa Maria,CA,143
Honolulu,HI,158
Wisconsin Rapids,WI,86.9
Stamford,CT,119.2
Fort Myers,FL,101.5
Dallas,TX,98.5
Davenport,IA,87.2
Daytona Beach,FL,99.6
Hagerstown,MD,99.7
Logan,UT,95.2
Louisville,KY,91.6
Miami,FL,110.1
Minneapolis,MN,105.4
Ventura,CA,132.2
Melbourne,FL,99.3
Vero Beach,FL,98.9
Weirton,WV,82.6
Wheeling,WV,84.1
New London,CT,105.9
Daphne,AL,96.6
Victoria,TX,89.5
Aberdeen,WA,97.6
