Company_Id,Title,viewCount,channelTitle,commentCount,likeCount,dislikeCount,tags,videoId,channelId,categoryId,publishedAt
C000020,Bristol-Myers Squibb Company Mission | Bristol-Myers Squibb,9417,Bristol-Myers Squibb,1,27,5,"['bms', 'bristol-myers squibb', 'bristol myers squibb', 'bmy', 'bristol myers', 'bmy stock', 'csr', 'corporate social responsibility', 'Bristol-Myers Squibb (Business Operation)', 'Health (Industry)', 'Medicine (Field Of Study)']",ZjHdsC_5cgc,UCjFf4oKibYrHae2NZ_GPS6g,28,2015-09-25T19:32:28.000Z
C000021,MassMutual CEO discusses the 2019 outlook for the United States,200,Yahoo Finance,1,1,0,"['Yahoo Finance', 'Personal Finance', 'Money', 'Investing', 'Business', 'Savings', 'Investment', 'Stocks', 'Bonds', 'FX', 'Currencies', 'NYSE', 'Equities', 'News', 'Politics', 'Market', 'Markets', 'Market Movers', 'Midday Movers', 'The Final Round', 'MassMutual', 'Roger Crandall', 'Smithsonian', 'government shutdown', 'US economy', 'Davos', 'World Economic Forum']",a96xyti6L2k,UCEAZeUIeJs0IjQiqTCdVSIg,25,2019-01-24T15:27:34.000Z
C000022,Meet team UBS: Global Wealth Management,11366,UBS,[],38,4,"['UBS', 'Finance', 'Bank', 'Banking', 'Wealth', 'Wealth management', 'careers', 'jobs', 'work', 'culture', 'people', 'client advisor', 'wealth', 'manager', 'relationship manager', 'investment', 'advisor', 'specialist', 'New York', 'Singapore']",VRC_NoBZIuU,UChddg9J9S18jJJDbRFY-dZQ,27,2018-09-25T09:25:59.000Z
C000023,How to Qualify for Bank of America Preferred Rewards,4984,Bank of America,[],31,5,"['Bank of America', 'BofA', 'BOA', 'Preferred Rewards', 'Rewards program', 'Preferred rewards requirements', 'ARY7XBFK', 'T/D/T ARY7BFK']",ySIUHo8Uv0A,UCtHZ1qs5h4sx9TijVBQCMIA,27,2017-09-07T16:53:40.000Z
C000024,LPL Financial Origin Story | LPL Financial,2461,LPL Financial,[],16,2,"['LPL Focus', 'LPL', 'Financial', 'LPL FInancial', 'History', 'Advisor', 'Story', 'Origin', 'Official', 'Linsco', 'Private Ledger', 'About']",46ZgykT2Q00,UC3Qf9sdJmOKPi17WiBr_liA,27,2018-04-06T21:03:20.000Z
C000025,ZS Associate Interview | Case Study | Case Interview - suggestion and tips,54464,Placement Interview,51,330,30,"['ZS interview', 'ZS Interview questions', 'ZS interview queries', 'ZS Interview tips', 'Delhi College Of Engineering (College/University) placements', 'case interview', 'case study', 'zs associate', 'ZS Associate Interview', 'how to', 'crack', 'prepare', 'business analyst', 'profile', 'and BA', 'engineering', 'interview for engineers']",qnskwH6Zpfc,UC2nd2XJDCPRY5h2K8QZ8cIQ,27,2015-07-15T10:07:55.000Z
C000026,NIC Talks 2017 | Bob Hillis | Direct Supply,447,NIC Seniors Housing & Care,[],2,0,"['senior living', 'senior housing', 'seniors living', 'seniors housing', 'senior living technology', 'senior housing technolgy', 'modern senior housing', 'nic talks', 'Bob Hillis', 'Direct Supply']",9YNP78qCxMM,UCSt7w2vc20tirZIJBJYNGwg,22,2017-10-13T14:43:22.000Z
C000027,TIAA CREF 👨‍🏫  Understanding My Plan Options 🤔,601,Dominique Henderson,4,17,0,"['tiaa cref', 'tiaa-cref', 'tiaa cref commercial', 'tiaa cref home', 'tiaa cref log in', 'tiaa cref retirement', 'tiaa cref retirement options', 'tiaa-cref lifecycle index', 'How does tiaa cref work', 'what is tiaa cref', 'tiaa', 'tiaa tax sheltered annuity', 'What is tiaa', 'annuities', 'djh capital', 'dominique henderson', 'retirement', 'youtube cfp']",KbqSDGHIQE0,UCNcKBY9zah9hLKyu9-6p8CQ,27,2018-12-31T15:15:00.000Z
C000028,HOW TO CONSISTENTLY GROW YOUR TD AMERITRADE ACCOUNT,24050,Ricky Gutierrez,60,648,75,"['stocks', 'how to trade stocks', 'stock market', 'how to day trade', 'penny stocks', 'top stocks to trade', 'stock trading', 'top stocks', 'penny stocks to trade', 'top stocks to buy', 'stock', 'top penny stocks to buy', 'top stocks to buy in 2018', 'how to trade penny stocks', 'how to swing trade stocks', 'how to trade stocks online', 'december stocks', 'weed stocks', 'ricky gutierrez', 'robinhood app', 'td ameritrade', 'how to grow your account', 'how to profit', 'how to trade on td ameritrade', 'tos', 'robinhood account']",zJYYsiCmxs4,UCtlAFoYl2aWb6pMiHCctQHA,27,2018-12-19T16:56:39.000Z
C000029,Lynden Incorporated Employee Reviews - Q3 2018,0,Comparably,0,0,0,"[""What it's like to work at Lynden Incorporated"", 'How to get a job at Lynden Incorporated', 'Career at Lynden Incorporated', 'Working at Lynden Incorporated', 'CEO', 'Salary', 'Employees', 'Hiring Process', 'Recruitment Process', 'Interview Questions', 'Employee Reviews', 'Culture', 'Women in Tech', 'Jobs', 'Office', 'Diversity']",lMfwi8WVox8,UCThDMQtlAixvEJmUP1uk7BQ,22,2018-10-11T17:17:45.000Z
C000030,Schwab Investor Accounts REVIEW,43891,The Credit Shifu,95,561,42,"['the credit shifu', 'charles schwab', 'schwab high yeild investor checking', 'schwab one brokerage account', 'charles schwab card', 'schwab credit card', 'amex platinum for charles schwab', 'best brokerage account', 'vanguard', 'buying stocks', 'investing', 'etfs', 'mutual funds', 'how to invest', 'no atm fee card', 'best debit card', 'schwab debit card', 'td ameritrade']",sKKDD7dm0Lg,UCEVXhsR6e3D522BHQj9MlLg,22,2017-05-15T15:25:41.000Z
C000031,Holman Group Member Benefits | Bay East BUZZ,302,Bay East,0,0,0,"['REALTOR®', 'realtor', 'real estate', 'training', 'tutorial', 'educational', 'business', 'market']",HYahrNPwl3A,UCTKRnYeNOK6_ojmaZvLFgkg,27,2017-03-17T17:39:49.000Z
C000032,Working at Rabobank,508,Rabobank,0,4,1,"['Rabobank', 'career', 'jobs']",XcfVG7_ADk0,UCp6ZoqiDo8bbEXd_tKi8mDg,22,2019-02-19T10:40:13.000Z
C000033,BANK DOWN - Wells Fargo Shows Flaws of Centralization,28995,Crypto Bobby,170,623,51,"['crypto', 'bitcoin', 'wells fargo', 'cryptocurrency', 'crypto banks', 'crypto bobby']",qB41rJyu9Z4,UCt_oM56Ui0BCCgi0Yc-Wh3Q,28,2019-02-07T20:33:10.000Z
C000034,Capital One Platinum Mastercard,25659,How To Build Credit TV,22,449,20,"['capital one platinum', 'capital one', 'capital one platinum mastercard', 'capital one platinum card', 'capital one platinum review', 'credit', 'credit card', 'credit card review', 'no credit', 'visa', 'cash back', 'capital one mastercard', 'capital one platinum credit card', 'capital one platinum credit card review', 'capital one credit card', 'mastercard', 'capital one credit card review', 'capital one card', 'capital one cards', 'capital one credit cards', 'capital one secured card', 'fair credit', 'fico']",mNjzHwNdoS8,UC-925PwPMVZKEN59r7Rbndg,27,2018-06-21T13:00:03.000Z
C000036,About NorthStar Financial Services Group,99,NorthStar Financial Services Group,0,0,0,,4k50w-E6_FM,UCTkbWRteofDmfGVKNCgCsKg,22,2017-02-13T16:27:51.000Z
C000037,Intercontinental Exchange CEO Says Atlanta Has Become a Tech-Centric City,1122,Bloomberg Markets and Finance,1,18,2,['Bloomberg'],XmUGG5LMzgU,UCIALMKvObZNtJ6AmdCLP7Lg,22,2018-04-09T13:18:09.000Z
C000038,Katie Dotson Student in Action Winner,1,United Consumers Credit Union,0,0,0,,pXGKvRZ_2qg,UCSB1_ReQNDOHVQrHDjr6WYQ,22,2016-01-21T17:11:25.000Z
C000039,Cambridge Associates Brand Video,4341,Engage HATCH,0,8,0,,hX0Kvl3NuOk,UCkxVamKbKdrKKbl7UclUWwA,29,2011-10-24T14:14:15.000Z
C000040,How Bain Capital Ventures Will Spend $1B Fund,1024,Bloomberg Technology,4,20,3,['Bloomberg'],7InRV0zndkM,UCrM7B7SL_g1edFOnmj-SDKg,25,2018-11-14T23:26:08.000Z
C000041,Invest Where Others Fear to Tread for Income and Appreciation: Eaton Vance’s Kathleen Gaffney,7005,WealthTrack,9,99,4,,84Zs5ISqKU8,UCW9B1PJwennxYi5Fk_94Lew,25,2019-02-16T00:30:00.000Z
C000042,"Setting Up Your Investing Account | Fidelity | Investing, Personal Finance, Dividends",15041,My Dividend Journey,71,161,13,"['Investing', 'start investing', 'investments', 'stock market', 'real estate', 'reits', 'cash', 'wealth', 'dividends', 'portfolio update', 'real estate investing', 'passive income', 'market', 'rich', 'build wealth', 'stocks', 'bonds', 'value stocks', 'dividend growth']",UL9VBvfbE5Y,UCyZNir5FhvazX5L3_Q77UbA,26,2018-08-20T00:49:32.000Z
C000043,Leerink Partners&#39; Ana Gupte Says HCA Has Been Moving Sideways,251,Bloomberg Markets and Finance,0,1,0,['Bloomberg'],ywehKClWOoc,UCIALMKvObZNtJ6AmdCLP7Lg,25,2018-05-01T13:30:01.000Z
C000044,Algorithmic Trading with Python and Quantopian p. 1,145462,sentdex,93,1410,61,"['Python', 'Quantopian', 'programming', 'algo', 'algorithmic', 'finance', 'tutorial', 'investing', 'stocks', 'trading', 'data analysis', 'data science', 'market', 'forex', 'Pandas', 'analysis', 'technical analysis', 'futures', 'options']",GlV_QO5B2eU,UCfzlCWGWYyIQ0aLC5w48gBQ,27,2017-01-30T17:56:19.000Z
C000045,SEI Investments (SEIC) Compared to Envestnet and Schwab! and Valuation Done!,94,The Market is Open,0,5,0,"['SEIC', 'SEI Investments', 'ENV', 'Schwab', 'Top Stock Picks']",Z6COiA0N9xI,UC_MiX28ydqzqEERnt0qzkdg,28,2019-02-01T18:21:49.000Z
C000046,Kitchen Nightmares US S04E12,4450305,aes theticx,11135,28733,925,"['Kitchen Nightmares (TV Program)', 'Reality Television (TV Genre)']",Ds0XHIyPhZg,UCY7myQe1ef6Ed3fhPBn3aEA,1,2014-11-29T19:59:03.000Z
C000047,Disney Mickey Mouse Clubhouse Crayons,34706191,Fizzy Fun Toys,[],38675,21992,"['toys', 'funny', 'colour', 'play', 'fizzy fun toys', 'kids video', 'family', 'kids', 'for children', 'kid', 'nickelodeon', 'toy', 'kids videos', 'friendly', 'kindergarten', 'best', 'playing', 'fun', 'surprise', 'children', 'for kids', 'fizzy']",Rm0Z7wmv7dM,UC4ODgZPSmUVgpbjT_CVNBpA,22,2017-01-05T21:35:14.000Z
C000048,BerkshireBank Monitor Boston Now Open,95,Berkshire AMEB,0,0,0,,xYGffSCyHIw,UCR7m9Qy6DKWkqwEP_r4cQ6A,1,2017-02-03T19:48:58.000Z
C000049,"A Day in the Life of a Postmates Delivery Driver (Review, Earnings, Tips, Suggestions)",132072,emceewilliams,581,1334,140,"['postmates', 'postmates review', 'postmates delivery', 'postmates driver', 'postmates delivery review', 'postmates driver review', 'postmates delivery driver', 'a day in the life', 'postmates earnings', 'postmates tips', 'postmates fleet', 'postmates delivery driver reviews', 'postmates delivery driver tips', 'review on postmates', 'how to be a postmate']",5WjNkdjxb5k,UCDSZ3ysVjBKT3d3VYuBzQ-Q,2,2018-10-05T16:58:55.000Z
C000051,PHILIPPINES TOURIST VISA: HOW TO EXTEND YOUR VISA (2019) [VLOG#34],1249,Happiness Crossing,38,232,0,"['PHILIPPINES TOURIST VISA', 'HOW TO EXTEND YOUR VISA', 'PHILIPPINES VISA EXTENSION', 'philippines tourist visa extension', 'philippines vlog', 'manila philippines', 'travel tips and hacks', 'FILIPINO', 'the Philippines', 'philippines 2019', 'making it juicy', 'the juicy vlog', 'travel vlog', 'philippines travel vlog', 'filipino vlog']",Kco17yQYvLA,UC9jKcnqQ1TziJRAkSXbNISA,24,2019-04-22T15:09:41.000Z
C000052,A Day in the Life of a McKesson Distribution Center,36762,Better Business Health for Hospital Pharmacy,31,98,11,"['Hospital Pharmacy', 'Distribution Center', 'Pharmacy', 'Health', 'Hospital', 'McKesson Corporation (Business Operation)']",LoxeQZs28o4,UCn1pOpcTwG_s4p2uoRTsVsA,22,2014-03-15T05:05:36.000Z
C000053,Wealth Management - Achieve Greater with Northern Trust,4393,Northern Trust,3,11,4,['youtube'],LVkFqpLOcxc,UCky2PWQvQu9S1FDLLrsvA6g,27,2017-09-29T19:09:16.000Z
C000054,Nano-Clear NCI for Industrial Applications - GATX,3224,nanovere,0,13,0,"['GATX', 'TANK CAR', 'EPOXY TOPCOAT', 'INDUSTRIAL PAINT', 'TRAIN PAINT', 'Impron HG', 'Imron HG 2.1', 'Train (Transit Vehicle Type)', 'Tank Locomotive (Transit Service Type)', 'Industrial Topcoat', 'PPG Amerlock 2', 'Macropoxy']",Cf7lSsh11RQ,UCNZxLVlsJtF6c00EDjlGX-g,2,2015-03-24T02:55:02.000Z
C000055,BMO Harris Bank Smart Branch,5394,nctv17,[],20,3,"['BMO', 'Bank', 'Smart Branch', 'Business Connection', 'NCTV17', 'Naperville']",LyjdvKC0gus,UCd-EFUNy8dc5p2NiKH0V2Og,17,2016-04-13T15:47:26.000Z
C000056,William Blair &amp; Company Investment Losses,357,Andrew Stoltmann,0,0,0,"['William Blair & Company (Organization)', 'Investor (Profession)']",kZFCa13PqGQ,UCyN8-AstDhOoFTYdxLLRZzQ,25,2014-06-02T18:46:30.000Z
C000057,The Chicago Board Options Exchange (CBOE) Role In The Market [Episode 135],914,Option Alpha,0,13,0,"['stock market', 'options trading', 'options trader', 'stock charts', 'option strategies', 'stock trading', 'trading', 'put option', 'call option', 'online trading']",BG5-qTg1A4U,UCQAvjhqp559qSQx2dcg9WVg,26,2018-06-14T16:25:06.000Z
C000058,Jim Tyree of Mesirow Financial,827,ChicagolandChamber,0,2,0,"['Jim', 'Tyree']",Ue-72YuFIfk,UCdBFeZNrlmqnKxAlaEksleg,25,2009-10-21T13:48:17.000Z
C000059,"Morningstar’s Personal Finance Guru, Christine Benz With an Annual Financial Wellness Checkup",4924,WealthTrack,3,61,1,,F9G1L2dr5LY,UCW9B1PJwennxYi5Fk_94Lew,25,2018-12-08T00:30:00.000Z
C000061,Top 5 PwC Interview Questions and Answers,30244,The Complete Guide to Everything,21,459,9,"['PWC interview', 'interview questions and answers', 'Big 4 interview', 'pWC', 'PricewaterhouseCoopers']",4f_81sEPLNM,UC4darBo4jXDLs3bt-72xvNg,28,2018-08-12T15:30:42.000Z
C000062,Envestnet,1563,Mark Bruno,0,3,0,['4667531064001'],FTkOW8QdDFE,UCyadM0y2zma5bGWE5J2ZXfg,25,2015-12-18T21:27:31.000Z
C000064,"Chad Cleaver, CFA, Portfolio Manager, Driehaus Capital Management LLC, Current Thoughts on Emerging",187,CFA Society Cleveland,0,1,0,,ZksMw2vkHw8,UCsWsf7isBYf-b0cKaOBuOYQ,22,2016-05-04T11:05:00.000Z
C000065,Introduction to CIBC Online Banking and Mobile Banking,25587,CIBC,[],87,15,"['CIBC', 'CIBC online banking', 'CIBC banking app', 'CIBC mobile', 'Banking', 'Business', 'Innovation', 'Technology', 'How to', 'Transfers', 'Interac eTransfers', 'eDeposit', 'Bill Payments', 'alerts', 'register', 'manage accounts', 'book a meeting', 'mobile payments']",UFZUUC-wsFQ,UCqa89Iv9OVbhXUl1UICQ6rw,27,2017-01-03T16:59:32.000Z
C000066,Voya Financial CEO Gives Us His Best Financial Advise I Fortune,2273,Fortune Magazine,4,14,0,"['Journalism Franchise', 'Fortune', 'business', 'wall street', 'finance', 'voya', 'voya financial', 'rodney martin', 'returement']",xvlRmzWFrVI,UCP2gdh7HfjgCoi8lO50dA5w,25,2017-04-20T22:00:06.000Z
C000067,Amerprise Financial&#39;s National Day of Service,93,Blue Ridge Area Food Bank,0,0,0,"['Ameriprise Financial (Business Operation)', 'National Day of Service']",yaOrREwzzts,UCr3GAs9r2HHtrI4pso-DfKg,29,2013-12-31T21:57:37.000Z
C000068,Grüner Fisher Investements - Recruitingfilm,17,HCP GRAUWILD GmbH - Werbeagentur,0,0,0,"['HCP Grauwild', 'Recruiting Film', 'Imagefilm', 'Filmproduktion', 'Grauwild', 'Werbeagentur']",4nIl4xi6uOs,UC-g153QOikrYMnjzjvelbdA,1,2019-01-28T13:55:49.000Z
C000069,The Truth About Progressive Insurance.mp4,13030,yazakchattiest,28,71,10,"['The', '4th', 'Hr', '»', 'Truth', 'About', 'Progressive', 'Insurance']",Y0gIBzhuIrY,UCZuhCKhUmtpdoHJPdpXzgDA,22,2012-08-15T15:59:55.000Z
C000071,Kristi Harris Shares How PrimeLending Empowers Loan Officers,683,"PrimeLending, A PlainsCapital Company",0,5,0,,L0MFez-rFNA,UCV39C4HdyEOphc_FVOiwRbQ,22,2017-11-29T20:37:22.000Z
C000073,Why choose KPMG,306777,KPMG,69,962,75,"['KPMG', 'Big 4', 'accounting', 'tax', 'audit', 'advisory', 'careers', 'pwc', 'deloitte', 'Ernst & Young (Organization)']",vUt1aaLxLuY,UCTDkxYOT0uVf9hSyExMASJQ,27,2013-09-04T18:23:25.000Z
C000074,USAA Customer Review,1945,Money Recall,36,25,4,"['USAA', 'usaa customer review', 'customer review', 'navy fed', 'navey federal', 'military loans', 'military banks', 'military insurance', 'banks', 'military homeowner insurance', 'armed forces', 'military home mortgages', 'military', 'us military', 'army', 'navy', 'us army', 'marines']",MDOW6UkosGY,UCQItI-dHaUjWcZmoO-KzoQA,27,2018-10-15T11:14:18.000Z
C000075,Which American Express Charge Card is Right For You? (2018 Update),49719,The Credit Shifu,180,757,19,"['the credit shifu', 'credit card', 'credit score', 'american express charge card', 'amex charge card', 'american express', 'charge card', 'amex gold card', 'amex rose gold', 'amex platinum', 'amex platinum review', 'amex metal rose gold card', 'amex metal card', 'amex gold metal', 'amex green', 'amex green card unboxing', 'american express platinum', 'centurion lounge', 'amex card benefits', 'amex rose gold card', 'new amex gold card', 'new amex gold card review']",ddJHU7aeU1M,UCEVXhsR6e3D522BHQj9MlLg,22,2018-10-14T15:45:16.000Z
C000076,"ZZ Top- I&#39;m Bad, I&#39;m Nationwide (lyrics)",1277731,ZZ Top,281,7172,312,"[""ZZ Top (Musical Group) I'm Bad"", ""I'm Nationwide""]",JIrhcOIYfA8,UCwh_GEK2xL8COQwcgP5Xvjg,10,2014-04-04T11:02:22.000Z
C000077,"Interview with John Strangfeld, Chairman and CEO, Prudential Financial Inc.",2415,TheGenevaAssociation,0,4,0,"['retirement', 'Insurance', 'life insurance', 'financial security', 'pensions']",tg5FYZfJKbM,UCg2rexusra_Jz4Gqy2EbWmg,25,2016-09-30T09:50:01.000Z
C000078,Ares Capital - 10% Dividende - Aktienvorstellung,1020,D wie Dividende,20,33,5,"['dividende', 'hohe dividende', 'monatliche dividende', 'ares capital', 'dividenden aktien', 'aktien', 'böerse', 'dividendenadel', 'dividendenaristokraten']",RLO1pU76Z2A,UCRmzyV3wFq2MARTsroMVNzQ,27,2019-02-02T19:24:39.000Z
C000079,Yo Gotti - Allstate,169010,EpicMusic ™,35,1372,71,"['yo gotti', 'allstate', 'the return of cocaine muzik', 'yogottiVEVO']",Uz5vtnnPSlo,UCDmwB9wWtfeXQ8zRVkltPiQ,24,2015-08-06T23:49:38.000Z
C000080,Young Alumni Achievement Award: Josh Waibel &#39;09,186,Indiana University of Pennsylvania on YouTube,0,0,0,"['IUP', 'Indiana University of Pennsylvania', 'PNC', 'cyber security', 'pittsburgh', 'alumni', 'computer science', 'Josh Waibel']",VgyGdsXJBaM,UCwogq7xkqybiwqf3e8Kh-wA,27,2017-10-23T15:15:43.000Z
C000082,Taking a look at Cincinnati Financial Corporation (“CINF”),22,Chart of the Day Cafe,0,1,0,"['#trading', '#investing', '#thetrendisyourfriend', '#IWM', '#dividendstock', '#valuestock', '#$IWM', '#learn to trade #learn to read a stock chart', '$CINF', '#CINF']",pdWzmYvV1Qs,UCV3KGqLw40xHCulIXmhIedw,27,2019-01-29T15:00:16.000Z
C000083,Axis Capital Holdings Limited Graded A+ by Various Financial Analysts,48,carter hancock,0,0,0,['Axis Capital Holdings Limited graded A+ by Various Financial Analysts'],Zzk7Buo6IrU,UCqE1jUB9Zu4WvWsPBnsKg8w,22,2015-02-09T04:00:24.000Z
C000084,Small Business Cyber Insurance Powered by Slice,1458,Slice Labs,0,6,0,"['cyber insurance', 'cybersecurity', 'cyber', 'ondemand']",vhnGXsI8Et8,UCzAWI2DZiTrLqBKThIvtlLw,22,2018-10-29T16:30:56.000Z
