tweet_id,recruiter_twitter_handle,tweet_text,tweet_date,profile_image_url,recruiter_tweet_location
1590651914265726977,indiacom,"#WorkFromHome: Apply For These Paid Internships Before November 18 And Earn Good Stipend. Check Details in Photos… https://t.co/sbqsdfIAAp","2022-11-10 10:25:43",http://pbs.twimg.com/profile_images/1478272227757854720/qkSz9de2_normal.png,India
1590676016959131648,JCPinSussex,"Skilled Baker role with @tesconews in Hove, East Sussex.

Info/Apply: https://t.co/vBKr5Dshiv

#EastSussexJobs… https://t.co/tK2RK8aker","2022-11-10 12:01:30",http://pbs.twimg.com/profile_images/1587376430266126338/XA8314G9_normal.jpg,"Sussex, England"
1590693647284326400,latina_mami23,"RT @Lehmanyabc: Starting off the year’s activities with a”Resume Writing Workshop” giving students the opportunity to write, develop, and r…","2022-11-10 13:11:33",http://pbs.twimg.com/profile_images/1580940975605796864/-M-Xjxnz_normal.jpg,"New York"
1590723769013702656,Fashionista_com,"RT @FashionistaJob: .@PaulWilmotComm  Is Seeking A Beauty PR / Communications Intern In New York #NYCinternships  #PaidInternships https://…","2022-11-10 15:11:15",http://pbs.twimg.com/profile_images/455848690033246208/JAqGEa7U_normal.jpeg,"New York, NY"
1590811155244584960,tmj_VAW_ITPM,"Looking to score a job at SAIC? You're in luck. Click the link in our bio for the job description and information o… https://t.co/YtMhtpuJgv","2022-11-10 20:58:29",http://pbs.twimg.com/profile_images/709837006012952576/U2Wnwb0z_normal.jpg,"Winchester, VA"
1590816206264492032,tmj_CO_it,"Don't be shy. Score a job like "Database Engr Principal" at SAIC by asking for referrals. It's a great way to get a… https://t.co/i29nnbZJE8","2022-11-10 21:18:34",http://pbs.twimg.com/profile_images/669143899290537985/6tH_-eOL_normal.jpg,Colorado
1590823441959030784,tmj_CA_it,"SAIC is hiring in #Anaheim, CA! Click the link in our bio to apply: Lead Database Administrator #DatabaseJobs","2022-11-10 21:47:19",http://pbs.twimg.com/profile_images/667417513819533312/M3J7nCzZ_normal.jpg,California
1591038353105125376,JCPinSurrey,"Shop Supervisor role with @Wenzelsthebaker in Woking.

Info/Apply: https://t.co/Bzwq3SIN7U

#SurreyJobs #WokingJobs… https://t.co/VHq6RTdu6z","2022-11-11 12:01:18",http://pbs.twimg.com/profile_images/1587376489351331846/5IJoWnDn_normal.jpg,Surrey
1591129017481977859,tmj_VA_it,"Looking to score a job at SAIC? You're in luck. Click the link in our bio for the job description and information o… https://t.co/6fGeh5wawF","2022-11-11 18:01:34",http://pbs.twimg.com/profile_images/670916525180588033/TxQNOlVD_normal.jpg,Virginia
1591136545645350912,tmj_hon_itpm,"See our latest #Honolulu, HI Information Technology job opportunity and click the link in our bio to apply: Databas… https://t.co/EyFVkLAHku","2022-11-11 18:31:29",http://pbs.twimg.com/profile_images/675687123962363905/CQdNaO7v_normal.jpg,"Honolulu, HI"
1591457620371439616,tmj_VA_it,"Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like "Database… https://t.co/yXhQotGHmS","2022-11-12 15:47:19",http://pbs.twimg.com/profile_images/670916525180588033/TxQNOlVD_normal.jpg,Virginia
