Company_Id,videoId,viewCount,commentCount,likeCount,dislikeCount,channelId,tags,publishedAt
C0000248,_oRNijRirfY,804410,645,6694,275,UC1XrG1M_hw8103zO2x-oivg,"['scharfe saucen', 'Galileo', 'Galileo 2015', 'Pro7', 'Aiman Abdallah', 'Aiman Abdala', 'Stefan Gödde', 'Prosieben', 'Pro Sieben', 'Wissensmagazin', 'galileo fake check', 'galileo mystery', 'galileo sexualität', 'Galileo big pictures', 'welt der wunder', 'Wissenssendung']",2015-07-21T16:30:00.000Z
C0000249,AH3w-LCvTfs,471,1,5,2,UCwQUHnxzx-9-LwsaHJ_4qLA,"['Loanmart', 'fraud']",2015-03-23T22:47:40.000Z
C0000250,bhqEf3L4kNs,1885,10,5,6,UCkmAwfnEncaJsTywMuNEMTQ,['network marketing'],2013-12-22T15:18:29.000Z
C0000251,3-edYo8LG7E,3841,6,34,1,UCXc_P8cKMbUvHFyDwAtz--Q,"['Kitces', 'Office hours', 'Kitces office hours', 'Financial Engines / Edelman merger', 'Financial Engines Edelman financial deal', 'Edelman financial deal', 'future for Edelman']",2018-05-03T16:02:34.000Z
C0000253,yOJ-PNLeAik,913,0,0,0,UC8vGSLf2INAj4hvbEZWsT0Q,,2016-08-17T21:19:59.000Z
C0000254,ypDKCx9sA0A,992,0,2,0,UCZku3s4j5FJSBULMKu1J6hg,"['Lockton', 'Lockton Companies', 'Lockton culture', 'Insurance']",2016-08-04T13:02:48.000Z
C0000255,Kwqm2M1ubq0,3163,3,9,2,UCR6LrJk1syooFhxUwOL5tsQ,,2015-01-13T05:08:31.000Z
C0000257,DLHh-d3xoAk,155,0,2,0,UCn2pRnyRK-eoPcv5FSC918Q,,2018-06-29T20:21:42.000Z
C0000258,7iWfv2uryro,378,[],1,0,UCE60kNwW4romvsmlN284tzA,"['Wolters Kluwer', 'Tax and Accounting', 'Audit', 'financial statements', 'business tax returns']",2018-12-07T18:40:37.000Z
C0000259,AnX-uWi4MG8,135,0,0,0,UCMygr0IPbbTaGmyGJRaXMyQ,"['golden valley bank', 'commercial', 'bank', 'sony fs7', 'chico ca', 'drone', 'chico heat']",2017-08-15T00:12:28.000Z
C0000260,qKkTs0h5dUs,0,0,0,0,UCeSMMiZvduz3PWCD5lCbFgg,,2016-06-07T18:47:23.000Z
C0000261,nV4CF5MnH_U,2551,2,11,1,UCYrhedDvzLu9cFR13MTwYrA,"['Answer Financial', 'Insurance (Industry)', 'money', 'pocket the money', 'collect insurance', 'crash', 'car crash', 'auto', 'car', 'insurance', 'Accident', 'Cash (Quotation Subject)', 'Credit (Industry)', 'keeping the cash from an insurance payout', 'keep the cash', 'insurance payout', 'car insurance']",2013-11-18T16:20:46.000Z
C0000262,ADwJxE_YaYs,129,[],0,0,UCbGBWwt5yGD2Pgb_m-gpMRg,"['Mulligan Funding', 'business funding', 'business loans', 'Small business loans', 'Business financing', 'Business line of credit']",2018-05-07T15:29:04.000Z
C0000264,vHDbPtcsvYI,79,[],0,0,UC44lGiIjoQKEoU8rqHdKNig,"['employee', 'careers', 'Sunwest bank']",2017-02-01T18:38:41.000Z
C0000267,Md7dK0c3O2A,832,0,1,0,UCvXilnbH-QPOdg3Rr0KyafA,"['Frank Rimerman', 'Outlook Plugin', 'SharePoint Adoption', 'Enterprise Collaboration', 'Social Email', 'Enterprise 2.0', 'Social Business', 'Outlook Integration', 'SharePoint Integration']",2011-02-21T10:40:07.000Z
C0000268,fee0oBU_Tto,208,0,0,6,UC4FoRhViVqJ0kFL2ob2eAaA,"['Cedar Financial', 'Cedar Financial complaints', 'Cedar Financial harassment', 'Cedar Financial debt collection', 'Cedar Financial collection agency', 'Cedar Financial sue', 'Cedar Financial lawyer', 'What is Cedar Financial']",2018-08-29T12:33:25.000Z
C0000269,J3hn_lP8XrE,2284,0,3,0,UCl2nDcjt97_P-DNakiGfMpw,,2015-09-01T19:50:58.000Z
C0000271,i20QkGuhp6I,284,0,2,0,UCKTXaAgjP4eRCnWTgQkRXhA,"['private equity fundraising', 'fundraising software', 'salesforce fundraising', 'fundraising crm', 'fundraising hedge fund']",2017-02-16T20:21:41.000Z
C0000272,re5-dOJUrGE,372,0,1,0,UC9hQEFniTG0Y5wqyINNJ7HQ,,2012-10-12T15:22:01.000Z
C0000273,yzClFpg0q74,6631,3,21,0,UCLnlmc4jwZEOevsxbFjf7gA,"['Mission Federal Credit Union', 'United States Of America (Country)', 'Real Estate', 'Credit (Industry)', 'san diego', 'segment']",2015-12-14T22:38:04.000Z
C0000274,0qmylFuGsNM,245,0,1,0,UCjtW8NX3eNlp88_vpv9kngw,['none'],2011-03-17T17:12:24.000Z
C0000275,uXOysJNicpc,91,0,1,0,UCMnWMoZd1ouow-tTEzr2HqA,"['Foothill Credit Union', 'Credit Union', 'San Gabriel Valley', 'Bank (Industry)', 'Banking', 'Auto Loan', 'Mortgage', 'Free Checking', 'Checking', 'Low Fees', 'Mobile Banking', 'Home Banking', 'Money']",2015-06-06T17:08:58.000Z
C0000278,OkDO7LLCvIQ,9267,3,45,5,UCYzcEu_uaP1z8IWaVk8mSmw,,2017-03-16T18:50:23.000Z
C0000279,U1P5unG042c,380,0,1,0,UC5YeNqtpbbm0wY-t_-633DQ,,2017-04-27T18:33:36.000Z
C0000280,BTQjtW5CIf0,423,0,6,0,UCnmfZf8y6Ka54DIp_vuV-Jw,,2016-07-25T21:33:02.000Z
C0000281,pzBnVzTSBx4,245411,0,1,0,UCczJSXzIAdA19Rb7hyLkDPQ,"['cbc', 'credit union', 'credit union in ventura']",2017-09-14T20:41:52.000Z
C0000282,nTB7-0wa_ZI,606,0,20,0,UCPSdEAGnO-yHFGbq9uZNDnw,"['eagle home mortgage', 'eagle home mortgage reviews', 'eagle home mortgage lenner', 'who is eagle home mortgage', 'eagle home mortgage company', 'eagle home mortgage lennar', 'tampa2enjoy']",2017-12-22T13:24:04.000Z
C0000283,YMLbF138zpY,309,0,1,0,UCPYXGR0B9L8JVDF9h6JpgKA,,2016-09-23T15:05:21.000Z
C0000284,6khiFYK_bhE,165,0,1,0,UCIoiCNYT7VEb7anQzMgBSoA,"['Retirement', 'Retire', 'Investment', 'Invest', 'Trust', 'Bank', 'IRA', 'Rollover', 'How', 'to', 'prepare', 'for']",2014-10-22T11:10:13.000Z
C0000285,wX8CM8dLyu8,146,0,0,0,UCNhKRUimTAsB851JUUDt8yg,"['Centric Bank', 'centric bank', 'Meeka Fine Jewelry', 'Meeka Jewelry', 'Harrisburg', 'Pennsylvania', 'local business banking', 'local business financing', 'small business banking', 'small business financing', 'business banking', 'camp hill', 'hummelstown', 'mechanicsburg']",2018-08-08T15:24:29.000Z
C0000286,Tsf6R3l3S2k,1,0,0,0,UCURgAKPV1wrwOqvPmJPeZ-A,,2019-03-12T20:34:11.000Z
C0000289,YmK3c72m5sA,1839698,351,12219,606,UC9vyBMZ5M6mGtZ4hFCmXsLw,,2018-03-04T00:19:02.000Z
C0000290,UMqLMiiuMkY,157,0,9,0,UCdMbo3RknL1cwOxnd_cdNUA,['Comerica'],2010-04-12T20:32:01.000Z
C0000291,UEJXdXl_hOs,556,0,11,0,UCdMbo3RknL1cwOxnd_cdNUA,"['Huntington', 'Bancshares', 'NASDAQ:HBAN', 'Stock', 'News', 'Trading']",2010-04-30T16:56:25.000Z
C0000292,_Hc4i5XNeOw,370,0,0,0,UCrp_UI8XtuYfpiqluWLD7Lw,"['CNBC', 'business news', 'finance stock', 'stock market', 'news channel', 'news station', 'breaking news', 'us news', 'world news', 'cable', 'cable news', 'finance news', 'money', 'money tips', 'finance', 'money tips mad money (tv program)', 'Jim Cramer', 'stock advice', 'Jim Cramer interview', 'CEO interview', 'interview', 'mad money interview', 'stock performance', 'market news', 'stock picks']",2019-04-18T15:52:00.000Z
C0000293,xcLvjPalLs4,141,15,17,0,UCOU3Ex1nCLe7u-wtgO0A5Pg,"['Pacwest Bancorp stock', 'dividend experiment', 'dividend investing', 'dividend stocks', 'bank stocks', 'dividend paying stocks 2019', 'best dividend stocks 2019', 'uk dividend investing', 'dividend portfolio', 'dividends', 'monthly dividends', 'dividends 2019', 'dividend stocks to buy', 'dividend stocks 2019', 'highest paying dividend stocks', 'top dividend stocks', 'dividend growth stocks 2019', 'dividend stock investing', 'top dividend stocks 2019', 'passive income', 'retire early', 'dividend payments']",2019-04-21T10:00:06.000Z
C0000294,ypnQQWHXgO0,681,0,4,0,UCvJJ_dzjViJCoLf5uKUTwoA,"['CNBC', 'business news', 'finance', 'news channel', 'news station', 'breaking news', 'us news', 'world news', 'cable', 'cable news', 'finance news', 'money', 'money tips mad money (tv program)', 'Jim Cramer', 'stock advice', 'Jim Cramer interview', 'CEO interview', 'interview', 'mad money interview', 'stock market', 'stock performance', 'market news', 'stock picks', 'cullen frost bankers', 'cullen frost bankers ceo', 'cullen frost bankers mad money', 'banking industry', 'banking stocks', 'cullen frost bankers stocks']",2018-05-02T15:46:30.000Z
C0000295,UXueaqiZaPE,325,1,0,0,UCO7cMdg6HgFHYBAn72jhbWg,,2016-09-05T23:02:33.000Z
