,job_title,company,job_location,job_summary,post_date,today,job_salary,company_id,job_requirement,eligibility,experience_req
91,Manager - Data Analyst,Maruti Suzuki India Ltd,"Gurgaon, Haryana","Knowledge of machine learning, deep network.,Story telling with the help of data.,Explore data and generate insights such as patterns, seasonality, trend, cause…",PostedPosted 30+ days ago,2022-07-26,,92,"Graphic Designer will be responsible for every
graphical development of our software and websites; from general user
interface to product packaging including user guide documentation; will
assist the marketing and communication team to develop the corporate
material for the group and its subsidiaries; will also create marketing
presentations for both in-house and client projects.",Females under 30 y.o.,1 Year Job Exp.
96,Data Analyst,Serendipity corporate services,"Remote in Hyderabad, Telangana","Hands-on expertise in predictive modeling, machine learning, and other advanced analytical techniques.,Key skills: Marketing Analytics, Risk Analytics, SAS,…",EmployerActive 7 days ago,2022-07-26,"₹20,00,000 - ₹25,00,000 a year",97,"- Responsible for managing office administration, including accounts,
etc.; 
- To provide administrative support to other staff (set-up and
maintenance of the filing system, organising travel, events, etc);
- Manage office communications (written, electronic and telephonic);
liaison work with funding agencies, CUTS offices in other countries,
other organisations, individuals; dealing with enquiries, etc.;
- To manage general administration, including safety-related issues,
human resources-related issues, etc.;
In addition to responsibilities outlined above, the post will
occasionally entail duties outside the normal working hours, such as
managing events, accompanying visitors, working to meet deadlines, etc.
Flexibility and good humour are essential.",All Qualified Candidates,1 Year Job Exp.
107,Data Analyst,Ericsson,"Noida, Uttar Pradesh","We are looking for a Data Analyst who will design, develop and maintain high quality Tableau Dashboards.,We organize in cross functional design teams in which…",Posted13 days ago,2022-07-26,,108,"- Drawing up juridical documents;
- Drawing up contracts; verifying contracts with the effective
legislation;
- Negotiating and settling legal issues with external authorities;
- Assisting company subdivisions with legal issues, including those
concerning industrial property;
- Familiarizing company officials with the normative acts, concerning
their activity;
- Controlling changes and amendments to current legislation.","At least 3 years of work experience in
the relevant field.",< 1 Year
129,Technical Business Analyst,Vv Consultancy,"Remote in Bengaluru, Karnataka","A bit of machine learning, such as regression analysis, and time series modeling.,Define and document source to target data interfaces.",Posted13 days ago,2022-07-26,"₹40,000 a month",130,"- Lead the effort to identify targets of opportunity; primarily
market-based but also taking into consideration Georgia numerous
micro-climate opportunities;
- Formulate and direct the implementation of market research,
investigation and analysis which provides the foundation for
identifying, assessing and developing targets of opportunity;
- Provide the vision for conceptualizing commercial strategies for the
potential targets of opportunity and lead in the formulation of market
chain development strategies;
- Direct the preparation of pre-feasibility and select feasibility level
investigations and drive the process of packaging viable business
opportunities which when implemented will result in successful
commercial transactions and fully functioning market chains;
- Play a key role in identifying strategic partners, both operational
and investment;
- Determine the market related facilitations that are needed to support
the implementation of the packaged business opportunities and deliver
these facilitations; my relate to linking buyers and sellers, direct
involvement in trading and brokerage activities, formulating marketing
strategies, developing branding programs, preparing promotional
materials and programs, etc.;
- Establish and build the capacity of two teams within the Marketing
pillar: 1) Market Identification and Development Team; and, 2)
Agribusiness Planning Team;
- Together with the Processing Advisor, establish a central information
center to house production, processing and marketing related technical
information, as well as business and financial planning and management
resource material; identify and subscribe to appropriate electronic
market information databases;
- Oversee the design and implementation of an appropriate Market
Information Service for the Georgian agribusiness sector;
- Select and facilitate client/ staff participation in appropriate
international trade exhibitions;
- Formulate and execute marketing-related training program for Georgian
agribusinesses and local marketing team;
- Build capacity to structure deals;
- Formulate staff development programs for Marketing Team and take
responsibility for supervision.","Currently Ordinary Resident and Not
Ordinary Resident U.S. Citizens",< 1 Year
133,Analyst-Data Operations,Nielsen,"Bengaluru, Karnataka","We provide clients with a comprehensive global database of compositions, writers and publishers - linking compositions to recordings at scale using machine…",Posted30+ days ago,2022-07-26,,134,"- Overall management of operation and direction of the department; 
- Manage project staff and subcontractors; 
- Develop and implement work plans; 
- Develop and maintain a strong professional relationship and ensure
accurate documentation of communications and instructions.",no restrictions,< 1 Year
143,Data Analyst,Benchmark Digital Partners,"Bengaluru, Karnataka","Excellent pattern recognition, natural language processing (NLP), predictive and machine learning modelling.,Innovate with Benchmark Digital as a Data Analyst.",PostedToday,2022-07-26,,144,"- Assist the Program Director in all aspects of program management,
including program design, implementation, reporting, promotion and
evaluation;
- Establish and maintain relationships with Armenian and international
working partners; 
- Oversee financial accounting and reporting; 
- Assist Program Director with staff and financial management and
provide direct oversight of 2-3 departments;
- Coordinate with the Public Affairs Section of the US Embassy in
Yerevan; 
- Lead reporting and promotional activities in tandem with fellow DPDs; 
- Communicate regularly with PH management and program advisors in the
US; 
- Travel throughout the region for program implementation and
cross-programming initiatives; 
- Develop program and organizational promotion and publicity; 
- Research opportunities for new/continuing program development in
Armenia.","Business & Finance Consulting (BFC)
GmbH, specializing in microfinance in CIS or Eastern European countries,
offers a challenging job opportunity in Georgia.",1 Year Job Exp.
150,Data Analyst,Vodafone,"Pune, Maharashtra","The Business Intelligence Advisor supports in the delivery of Business Intelligence (BI) capabilities, which play a key role in strategic planning and allow the…",PostedToday,2022-07-26,,151,"Consultant will develop a clear and thorough
understanding of a certain product's local consumption and in future
years consumption in neighboring countries. To do this he/she will
prepare a clear analysis of the national and regional supply and demand
of this and related consumer products. The analysis should answer the
following questions concerning:
- Supply and Demand Situation;
- Economic Analysis of Canning and/or packaging of a new product  in
Armenia;
- Market Introduction and Acceptability Procedures.",All qualified candidates,1 Year Job Exp.
153,Process Associate-Data Analyst,Genpact,"Noida, Uttar Pradesh","Facility with one or more data analytical methods such as regression, decision trees, experimental designs, support vector machines, machine learning and text…",PostedToday,2022-07-26,,154,"- Participate in needs assessment for the selection of program villages
in targeted region;
- Work with community leaders, local authorities to organize selection
of community health volunteers (CHVs) and to coordinate their
activities;
- Develop training curriculum and training modules for CHVs;
- Conduct trainings of CHVs;
- On regular basis monitor the quality of implementation of the program;
- Travel on a regular basis to all target communities 70% of the
workload consists of fieldwork.",Candidates must be female.,1 Year Job Exp.
155,Analyst (Writer),Mind Works Global,Remote in India,"What we offerFast-growth career in a high-learning environmentFlexibility to work from homeWork ScopeWrite data-driven reports, whitepapers and newsletters…",Posted30+ days ago,2022-07-26,,156,"- Testing software at all levels;
- Analyzing and reporting test results;
- Working independently with the aim of creating a test environment;
- Creating and maintaining test definitions and specifications;
- Automating test procedures and writing test automation scripts;
- Creating templates based on test results;
- Analyzing software performance and reporting data metrics;
- Developing best-case test scenarios;
- Debugging, analyzing and fixing application problems/ issues.",All qualified candidates,1 Year Job Exp.
174,MIS Analyst (Logistics),Trucknetic (Savir Logistics Pvt Ltd),"New Delhi, Delhi",Trucknetic* aims to play a crucial role in India's booming logistics sector and become the first platform in the world to provide any truck for any commodity…,EmployerActive 3 days ago,2022-07-26,"₹25,000 - ₹40,000 a month",175,"- Handling call center receptionist duties in polite and courteous
manner;
- Collecting, sorting, distributing and filing incoming and outgoing
correspondence, reports and other materials and transmit correspondence,
documents, etc. via electronic mail, fax, courier service or other means
of communication;
- Typing and formatting a variety material including correspondence,
reports, meeting papers,  minutes and protocols, faxes, statistical
tables or tabular material;
- Operating a variety of office equipment such as photocopier,
facsimile, scanner and other peripherals;
- Handling large volume of work quickly and accurately under time
constraints;
- Systematic and accurate handling of confidential material with
discretion;
- Courtesy, tact and ability to work effectively with people of
different national and cultural backgrounds, receive telephone calls and
office visitors and refer them to the appropriate source or reply
personally to queries when possible or if required.","Citizens of Armenia, 22-30 y.o.",1 Year Job Exp.
180,Senior Data Analyst- Machine Learning,Oracle,"Bengaluru, Karnataka","Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.,You will be responsible for defining and developing…",PostedPosted 30+ days ago,2022-07-26,,181,"- Handling call center receptionist duties in polite and courteous
manner;
- Collecting, sorting, distributing and filing incoming and outgoing
correspondence, reports and other materials and transmit correspondence,
documents, etc. via electronic mail, fax, courier service or other means
of communication;
- Typing and formatting a variety material including correspondence,
reports, meeting papers,  minutes and protocols, faxes, statistical
tables or tabular material;
- Operating a variety of office equipment such as photocopier,
facsimile, scanner and other peripherals;
- Handling large volume of work quickly and accurately under time
constraints;
- Systematic and accurate handling of confidential material with
discretion;
- Courtesy, tact and ability to work effectively with people of
different national and cultural backgrounds, receive telephone calls and
office visitors and refer them to the appropriate source or reply
personally to queries when possible or if required.","All interested Volunteers from Vanadzor
NGOs!",1 Year Job Exp.
197,Applied AI ML Analyst (Data Annotation),"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana","A working level domain knowledge on machine learning concepts.,Work on data labeling tool(s) and annotate data for machine learning models.",Posted5 days ago,2022-07-26,,198,"- Provides technical and managerial leadership for primary health care
improvement and management systems development;
- Provides technical assistance for certification and accreditation;
- Designs and manages program activities;
- Manages administration, finances and staff;
- Collaborates with partners at MOH;
- Provides managerial support to COP;
- Coordinates annual workplans, project reporting, and project reviews
for QA, HR and management activities .Assists COP in ensuring that USAID
requirements are met;
- Works with senior management team to develop annual work plans .Builds
the capacity of local staff to manage project activities.","Applicants must be US citizens willing
to relocate to Vermont.",1 Year Job Exp.
200,QA Analyst,Fictiv,"Pune, Maharashtra","Our cutting-edge cloud platform uses AI and machine learning algorithms to help companies build hardware at the speed of software.,Come join our growing team!",Posted11 days ago,2022-07-26,,201,"- Monitor the overall programs performance and impact and coordinate the
various Project activities;
- Develop indicators and procedures for each project with each project
manager;
- Provide input into project design and implementation of AC programs;
- Provide effective program leadership and guidance to the project
managers;
- Prepare the fiscal year operational plans and ongoing strategic
planning to insure project initiatives remain appropriate, responsive,
high in quality, focused and realistic;
- Ensure the collection of appropriate baseline, data collection and
surveillance systems for enhanced operational efficiency and
effectiveness;
- Evaluate the evolving status of the beneficiary population, verifiable
measurements of achievements against program objectives;
- Prepare implementation plans with project managers that measure
quantitative and qualitative accomplishment of objectives;
- Ensure that monthly and mid-term reports reflect verifiable
measurement impact and accomplishment in accordance with the
implementation plan;
- Prepare executive summery report for board meetings;
- Conduct project evaluations for maintaining quality, relevance and
impact;
- Monitor initiatives with the Project Managers;
- Regular field visits to various project sites for the purpose of
project evaluation/ monitoring;
- To organize trainings for the technical personnel in the areas of
project design and implementation;
- Work with the Executive Director and Finance Manager to monitor fiscal
year expenditures in relation to the accomplishment of project
objectives;
- Supervise the Project Managers and the projects staff;
- Recommend trainings that would enhance the capacity of the program
team;
- Assure timely and quality reporting on to the partnership and donors;
- Report on the progress of projects and initiatives to the Executive
Director and PR Responsible;
- Liaise with Donors, for program orientation, acquisition of resources
and other issues;
- Assure good collaboration with all donors, international and local
NGOs and community entities.","Everybody, who is interested in cross 
cultural development in Caucasus.",1 Year Job Exp.
203,Data Science Senior Analyst,Accenture,India,"Knowledge of statistical techniques and machine learning algorithms.,Knowledge of statistical techniques and machine learning algorithms.",Posted6 days ago,2022-07-26,,204,"- Researching funding sources, developing and writing proposals in
collaboration with Program Managers and other staff members; 
- Preparing grant applications and supporting documentation (charts,
maps, slides, photographs and other visual aides) to ensure compliance
with funding requirements, including researching demographic,
statistical and factual data necessary for the applications, in all
areas; 
- Maintaining records for grants for compliance with applicable
regulations and policies; 
- Assisting in the implementation of the organization's strategic goals
related to the program development; 
- Lending assistance as needed with other development tasks, such as
special events and donor solicitation; 
- Attending meetings with senior staff.","The role of Finance Officer/Accountant
is to provide day-to-day professional finance services to Save the
Children Armenia Field Office, including accounting and reporting in
compliance with Armenian law and regulations.",1 Year Job Exp.
206,Lead Analyst,Amex,"Gurgaon, Haryana","Knowledge of machine learning will be an added advantage.,As part of GSG, the Global Servicing Enablement (GSE) team is responsible for process design &…",PostedToday,2022-07-26,,207,"- Overall management of operation and direction of the department;
- Manage project staff and subcontractors;
- Develop and implement work plans;
- Develop and maintain a strong professional relationship and ensure
accurate documentation of communications and instructions.","All those with higher education are
encouraged to apply",1 Year Job Exp.
207,Data Analyst - KPI Evaluation for vision systems,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Data Scientist: The primary focus will be in applying advanced statistical analysis, and evaluating machine learning or deep learning models that will get…",Posted24 days ago,2022-07-26,,208,"- To manage all manufacturing functions in the following processes:
- Machining - Lathes (manual and CNC); Milling machines (manual and
CNC);
- Grinding - Grinders (manual and CNC);
- Gear manufacturing - Gear cutting machines (gear shaping, cutting,
shaving);
- Welding - Arc, MIG, TIG;
- Heat treating - Induction Heat Treating - Case hardening - Deep
hardening;
- Plating and Finishing - Chrome plating - Anodizing - Black oxide
depositing;
- Painting - Wet paint - Powder coating;
- Chemical etching;
- Electrical systems manufacturing - Integration of control Systems,
Wiring, Integration of Servo Systems;
- Assembly (Mechanical, electrical, pneumatic and hydraulic) of final
products;
- Production Control and Process management: Starting from raw materials
to handing the finished products for shipping to the customer;
- Managing Statistical Process Control on the production floor;
- Managing the maintenance of the manufacturing equipment;
- Managing the educational efforts in the company's apprenticeship
program.
ADDITIONAL RESPONSIBILITIES:  
- Participates in engineering reviews of product design and
manufacturability;
- Advisor to the Executive Director;
- Participates in Industrial Shows, representing the company, whenever
the need arises;
- Attends training classes as required.",Expatriates,1 Year Job Exp.
245,Senior Data Analyst - Data Engineering/Analytics,Exusia,"Temporarily Remote in Bengaluru, Karnataka","Data experience working with complex large datasets / big data performing data analysis, data profiling, data mapping and data modeling is required.",EmployerActive 4 days ago,2022-07-26,"₹12,55,575 - ₹28,40,135 a year",246,"- Drive office personnel when needed;
- Take care of day-to-day maintenance of the vehicle;
- Maintaining of vehicle log book;
- Perform other related duties as required;
- Drive extensively.",All qualified persons,1 Year Job Exp.
263,Data Analyst,Foxx Life Sciences Pvt Ltd,Remote,"Techniques in data design and data management.,Provide data to users by extracting that data from the ERP system.,Other projects and duties as assigned.",Posted4 days ago,2022-07-26,,264,"- Manage and control the company's activities in Armenia;
- Suggest, modify and secure the realization of corporate policies;
- Promote efficiently the image, products and services of the company;
- Develop beneficial cooperation with old and new customers;
- Create mutually beneficial alliances with local authorities.",Everyone,1 Year Job Exp.
268,Analyst,IQVIA,"Bengaluru, Karnataka+1 location","Provides high quality, on-time input to client projects in the life sciences field.,Proactively develops a basic knowledge of consulting methodologies and the…",Posted2 days ago,2022-07-26,,269,"- Place web announcements in the Internet;
- Check the e-mails, process the correspondence and answer to client
e-mails;
- Create and operate client database sheets;
- Receive and send parts of the ITN project to clients.",Everyone,1 Year Job Exp.
277,Data Science Platform Support Analyst,Barclays,"Pune, Maharashtra","Use insights based on data to inform decisions.,Job Title: Data Science Platform Support Analyst.,Barclays is a British universal bank.,What will you be doing?",Posted2 days ago,2022-07-26,,278,"Primary responsibilities include: recruitment and
testing of potential program participants; orientation and coordination
of logistics for participants; oversight of administrative and finance
functions; supervision and delivery of alumni programming; and liaison
with government officials. The Country Director reports to the Acting
Regional Directors for the South Caucasus and works with
Washington-based program managers and field-based program officers. 
Oversight and Leadership: 
- Provides overall supervision of American Councils programs in Armenia
by communicating, as needed, with Yerevan-based staff 
members concerning academic, operational, and other policy matters as
affected by the region's political, economic and cultural conditions;
- Represents American Councils as related to all programs in individual
consultations, public appearances, and meetings with potential and
existing partners;
- Maintains American Councils organizational relations in Armenia with
relevant US government offices and institutions (the US embassy/
consulate, PAS, USAID, and other US government agencies); with the
Armenian government and private institutions (government ministries,
agencies and offices; national corporations; American Councils'
institutional partners); with the in-country offices of American
organizations and foundations; and, with the international and domestic
press;
- Communicates regularly with, and makes recommendations to the Acting
Regional Directors on general program matters, on perceptions of
American Councils administered programs and on the influence of local
conditions on administration of programs in Armenia;
- Participates actively in developing new programs, seeking new funding
sources, and enhancing external relations.
Administration and Finance: 
- Oversees American Councils internal operations;
- Coordinates the activities of program staff; and advises staff on
American Councils policies and employment matters;
- Manages all general office administrative matters such as negotiating
contracts; interacting with landlords, maintaining proper work
environment, etc.;
- Provides DC office with finance reports monthly, and budgets every six
months; monitors all outgoing and incoming funds;
- Oversees tracking of all applicant and participant files;
- Hires for approved positions, prepares contracts and maintains files
for host-country national staff, trains and oversees staff, 
conducts performance reviews, monitors proper submission of timesheets.
Program Administration: 
- Oversees and assists in organizing, implementing and reporting on
activities, including recruitment and alumni activities delivered by
host country offices;
- Monitors all recruitment activities to assure timely and proper
conduct of competitions;
- Conducts recruitment, including advertising, lectures, interviews with
finalist candidates, testing, correspondence, and meetings with parents,
applicants and finalists, and those not selected;
- Coordinates alumni activity planning and delivery of appropriate
activities for alumni of all programs, oversees alumni assistants and
alumni fellows, coordinates updates to alumni information, submits
regular reports on alumni activity;
- Coordinates appropriate contributions to recruitment and alumni
activities from alumni, host-country national assistants, and Americans;
- Meets with ministry and US government officials regularly to provide
appropriate information and overview of the competition process and
alumni activities; keeps them informed of changes regarding the
competition;
- Coordinates and supervises all logistics for events: meeting flights,
transporting to hotels, organizing support staff, registering
participants, providing support to dignitaries and guests.",All Interested Candidates,1 Year Job Exp.
282,Analyst - Tech Consulting - National - Data & Analytics - Ba...,EY,"Bengaluru, Karnataka+2 locations","EY is looking for Analyst in IT Advisory.,An important part of your role will be to assist Seniors & Managers while actively participating within the client…",Posted10 days ago,2022-07-26,,283,"The Regional Director is responsible for ongoing
program management, budgeting and fundraising, strategy formulation and
overall program development for the network of three centers in Tbilisi,
Baku and Yerevan.","All applicants with Native Armenian and
Good knowledge of Engish",< 1 Year
288,Data Analyst Intern,GUVI GEEK NETWORK PRIVATE LIMITED,"Temporarily Remote in Chennai, Tamil Nadu"," Reorganizing data in a readable format., A bachelor degree in computer science., Supporting initiatives for data integrity and normalization.",PostedPosted 4 days ago,2022-07-26,"₹10,000 - ₹15,000 a month",289,"- To welcome visitors;
- To organize and follow up switches between Sisian base and Yerevan;
- To organize, transmit and follow up all phone and fax communications
in the base;
- To organize appointments and visits in the base;
- To make all copies required for the team;
- To maintain office supply;
- To do written and oral translation English-Armenian, Armenian-English;
- To perform other duties as required.",All interested applicants,3 Years Job Exp.
291,Data Analyst,Patra Corp,"Temporarily Remote in Visakhapatnam, Andhra Pradesh","Research opportunities for data acquisition and new uses for existing data.,Recommend ways to improve data reliability, efficiency and quality (e.g. data…",PostedPosted 6 days ago,2022-07-26,,292,"- Provide relevant information on the project;
- Run the overall procedure of loan guaranty provision;
- Maintain the data base of applications for loan guaranty extension;
- Prepare current analyses on project implementation, develop
suggestions;
- Carry out other assignments.","Applicants must come from CIS countries
and be aged 17 to 30",2 Years Job Exp.
310,Data Analyst,Quotient Technology,"Bengaluru, Karnataka","Identify and assess key opportunity areas where data and science can enhance products.,3 to 6 years’ experience in applying data and science to improve products…",PostedToday,2022-07-26,,311,"He/she will be responsible for the following
issues:
- Leading, supervising and monitoring overall operational activities of
the Project;
- Liaising with Government entities on consultations related to the
expected commitments;
- Liaising with Donor entities on consultations related to the expected
commitments, in close cooperation with the UNDP Portfolio Manager;
- Managing financial inputs delivery and ensuring planned outputs as per
Project Document and work plan;
- Ensuring preparation of the project budget revisions, monitoring the
project budget execution;
- Establishing project administrative structures, reporting to UNDP on
financial and operational status of the Project; 
- Initiating with the Government counterparts, and in collaboration with
Donors, an assessment/ review of organisational methodologies for an
independent Public Defender's Office (in line with constitutional
developments);
- Organising regional seminars.","All Armenian Citizens, who qualify to
the requirements",1 Year Job Exp.
319,Digital Analyst - LiveOps Data Science - QuantumBlack Labs,McKinsey & Company,"Gurgaon, Haryana","You will apply data science expertise to assure sustainable impact of ML solutions developed.,Graduate or postgraduate degree in computer science, engineering,…",Posted6 days ago,2022-07-26,,320,"- To distribute and display imported confectionary products on the
assigned territory. 
- To cover 150-200 trade outlets per week
- To achieve sales volume targets","Suitable professional individuals or
firms",2 Years Job Exp.
