,job_summary
367,"*Knowledge of programming language like python will be added advantage for data science.*.,*Experience in dash boarding using google data studio and google…"
368,"Performing and documenting data analysis, data validation, and data mapping/design.,Creating tools to store data within the organization."
373,"Compile and analyze statistical data.,A bachelor's degree in computer science, information systems or a related field."
377,"Determining appropriate metjods to analyze operations, relevant information and data.,You should have good skills in Microsoft office suite (e.e. poerwPoint,…"
380,"Have 2 to 4 years of data engineering experience in any data warehousing platform.,You will work on a team including scrum masters, product owners, data…"
381,"Ability to understand functional/technical specifications and analyze data;,Our Client is from a Financial Services company that is looking for a passionate…"
384,"Produce reports on geographic data utilizing data visualizations.,Designing digital maps with geographic data and other data sources."
390,Data Factory: experience using data factory in an enterprise solution to build data pipelines would be an added advantage.
392,"Awareness of converting structured and unstructured data from various sources.,Thorough computer skills, understanding of general data flow & interfaces."
403,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise regarding data models, database design development,…"
405,"Data analysis: identify, analyze and interpret data from surveys, workshops, participant feedback and progress during long term engagement."
408,Understand the visualization requirements of the team and accordingly prepare the data strategies to pull and present the required information.
428,"Knowledge of data engineering, data science and decisioning disciplines.,Sharing relevant updates with key stakeholders bringing together advanced analytics,…"
432,"Knowledge of data engineering, data science and decisioning disciplines.,Sharing relevant updates with key stakeholders bringing together advanced analytics,…"
442,"Analyze data to identify trends, patterns, insights, and discrepancies in data; ensure data accuracy, synthesize compliance data in support of strategic…"
452,"Handle tough technical problems and data issues.,Adhere to company data functional and user interface standards in the design of application user interface,…"
456,"Bachelors or Masters in Engineering or related technical field (Computer science).,Develop and deliver applications/projects on time and with very high code…"
459,"Build algorithms and data models to translate effective findings in reproducible analytics.,You have applied these skills using real business data to develop…"
461,"Collect, analyze and process company reported data from various data sources and into the database utilized by the ESG content team."
471,"Performing and documenting data analysis, data validation, and data mapping/design.,Creating tools to store data within the organization."
475,"Performing and documenting data analysis, data validation, and data mapping/design.,Creating tools to store data within the organization."
482,"Execute data intensive tasks and facilitate organization of data for reporting requirements.,Apply your technology skills in areas like programming applications…"
489,"Site Name: Bengaluru Luxor North Tower Posted Date: Jul 14 2022 Ready to help shape the future of healthcare? At GSK, we have already delivered…"
490,"*Mandatory Skills: -* SQL Server, MySQL – Should have experience in pulling/fetching data from database Tableau *Responsibilities: * * Managing users and…"
493,"Alphastream - Smarter, Faster, Curated data for Capital Markets powered by AI and ML supervised by expertise across various domain specializations including…"
494,Who You'll Work With You will join the Gurugram office and will be part of a LiveOps team in QuantumBlack. You will work alongside the LiveOps Lead and the…
504,"Acquiring data from primary or secondary data sources and maintaining databases.,Filter, clean, process and validate data, and ensure the quality of data."
509,"Data Scientist with Machine Learning, Python & R Programming Experience.,Good Attitude and Communication skills, SQL, Excel Macros."
511,"Excellent skills in performing large & complex data analysis, data mining, and generating data reports based on requirements."
527,"Examine data from mobile phones and satellite navigation systems to trace people or places;,Follow electronic data trails to reveal links or communication…"
529,"The role may also need expertise in managing clinical data management projects.,The team is responsible for performing data management activities including…"
532,"Examine data from mobile phones and satellite navigation systems to trace people or places;,Follow electronic data trails to reveal links or communication…"
535,"The role may also need expertise in managing clinical data management projects.,The team is responsible for performing data management activities including…"
543,"The Financial Fabric DataHub service uses Microsoft data platforms, proprietary data models, and analytics.,The basic idea of Data science tools, like Power BI,…"
544,"Is data-driven and passionate about solving problems through data & enable others using data in decision making.,Mentor and coach other data analysts."
545,"Strong problem-solving skills with an emphasis on data science techniques.,Assess the effectiveness and accuracy of new data sources and data gathering…"
550,"Drive efficiencies in current processes through use of modern data science methods.,Ability to analyze data and resolve complex data issues/queries."
553,"Perform data quality assessments and statistical testing to verify data quality and data integrity.,Experience in deploying predictive or prescriptive data…"
608,"Conduct electrical safety checks on computer equipment.,Monitor and maintain computer systems and networks.,Background*- Educate Girls (a project of 'Foundation…"
612,"Knowledge of computer hardware and software.,Knowledge of computer hardware and software.,Our customers have a high expectation that you will be able to resolve…"
631,"Knowledge of computer hardware and software.,Our customers have a high expectation that you will be able to resolve their issue on the call, but they recognize…"
637,"Be an innovator with demonstrated ability to craft a data science vision, get people excited by ideas and get them quickly to market via existing or new…"
647,"A bachelor’s degree in computer science, engineering or technology-related field, or equivalent.,Monitor, analyze, and interpret security/system logs for events…"
659,"To realize our vision of making our innovative and comprehensive solutions synonymous with talent leadership, we look to attract, hire, and retain the best…"
681,"All except Home Affairs: • Strives for high levels of client satisfaction for the products/solutions supported.,Awareness of new services available."
686,"Graduate (IT/ Computer Science) or (B.E Computer Science/IT) or MBA.,2 to 4 years of experience.,Post-Sales Engagement Management with the clients along with…"
692,"Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems."
694,"You possess a Diploma in Civil Engineering Technology (preferred) or a computer related discipline.,Collaborate with other stakeholders and be accountable to…"
697,"Data driven decision making on vision & roadmap of Service Operations & Customer Service Support.,Driven by the belief that health is a human right and the…"
705,"This vision comes to life through skilled and compassionate individuals like you.,Bachelor’s degree in computer science, IT , BCA , MCA, or related field or…"
733,"Execute against product vision and commitments in an Agile environment.,Perform large scale data & systems analysis, and design technology solutions that will…"
748,"The product brings key stakeholders associated with the planning, dispatch, and delivery of a truckload under a single umbrella."
770,"Our vision is to create a leadership culture focused on the development and well-being of our people.,Bachelor’s degree in computer science or equivalent…"
771,"We design, build, and support technology solutions all with one vision to create easy air travel every step of the way.,Basic understanding of C# and ."
802,"Identify the main vision and objectives of the application to be developed.,Reviews, analyzes, and creates detailed documentation of business systems and user…"
815,"§ Requires clarity of near vision.,College degree, preferably in the computer related field, or equivalent technical work experience."
828,"We are looking for a Data Analyst.,PayU Finance operates under two brands - LazyPay and PaySense with a focus on Buy now Pay later and personal loan products.."
836,"Business Analyst (Salary - 8 - 10 Lacs per annum)* Our business analysts are the drivers behind our continued growth and success.,Working knowledge of API’s."
838,"Data experience working with complex large datasets / big data performing data analysis, data profiling, data mapping and data modeling is required."
839,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Acquiring data from primary or secondary data sources and maintaining…"
840,"You know Python - you can get and process data, conduct analytics in Jupyter and visualise results using popular libraries;,Basic knowledge of Airflow DAG;"
841,"Experience in Data Management concepts including data governance, data domains, data lineage, metadata and/or data quality."
842,"4+ years of data management experience in one or more of the following functional areas: master, reference data, technology strategy, business technology…"
843,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Providing technical expertise on data storage structures, data mining,…"
844,"Techniques in data design and data management.,Provide data to users by extracting that data from the ERP system.,Other projects and duties as assigned."
845,"The DPA is responsible for understanding and executing the end-to-end Client deliverable process (needs assessment, operational capabilities, and execution)."
846,"Managing and maintaining sales data in [redacted] (CRM) and other software programs.,Providing models and organizing statistical studies for the Sales…"
847,"Write complex SQL Queries to pull/fetch data from systems.,Identify patterns for user behavior.,Perform analysis and present the findings to stakeholders to…"
848,"1 - 3 years of experience in the data analyst role.,Analysing data using statistical techniques and providing reports."
849,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise regarding data models, database design development,…"
850,"Manual data entry as needed to correct inconsistencies or fix gaps in existing data.,Supervision of both automated and manual processes relating different…"
851,"Drive analytics on data for identifying key trends/patterns and generating recommendations.,Recommend actions by analyzing and interpreting data and making…"
852,"The job applicant should have experience with the following technologies:,Strong experience in SQL and database design.,Expert knowledge in Microsoft Excel."
853,"Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools.,Strong SQL skill is a must."
854,"Analysing data to identify trends.,Using specialist tools to extract the data needed.,Researching new ways to make use of data."
855,"2+ years data quality or similar level data analysis experience required.,Develop control structures within a simple environment to ensure the accuracy and…"
856,"\*Acquire data from primary or secondary data sources and maintain databases/data systems.,\*Develop and implement databases, data collection systems, data…"
857,"Analytical and data visualization skills.,Should have good knowledge of Advance Excel, dashboards, and MIS.,Track and Manage Department operations and Processes…"
858,"Hands on experience of data analysis tools/.,Minimum 3 years of relevant experience in data analysis.,Create repeatable data analytics to support continuous…"
859,"Work experience on data structures, algorithms, and OOPs concepts.,C and C++ Object Oriented Programming Skills.,Should be good in mathematics."
860,"*Experience in dash boarding using google data studio and google sheet to manage schedules, work flow, and statistical data*.,WFH due to Covid situation*."
861," Supporting initiatives for data integrity and normalization., Performing analysis to assess quality and meaning of data., High level knowledge in excel."
862,"Performing analysis to assess quality and meaning of data.,Using automated tools to extract data from primary and secondary sources."
863,"Developing and maintaining databases, data systems – reorganizing data in a readable format.,Technical proficiency regarding database design development, data…"
864,"Analyze data to identify process improvements for increasing business efficiency.,Experts in banking and payments, capital markets and wealth and asset…"
865,"Knowledge of data visualization tool like Tableau or PowerBI.,Knowledge and experience in data analytics tools R, Python added advantage."
866,"Assist Marketing Manager with data handling.,Analyze data and generate reports which will help the operations.,Expertise in making interactive dashboards."
867,"Responsible for end-to-end delivery that meets the agreed requirements and timelines.,Translate business requirement into technical language and provide…"
868,"Prepare reports with a high volume of data uploads, with millions of data elements.,Reviewing the data in detail.,Past experience in Sales desirable."
869,Collaborate with Product Owners and stakeholders to understand the business requirementsAnalyse data from key source systems and design suitable data solutions…
870,"Excellent Command in excel with focus on preparing reports.,Knowledge about Microsoft Excel Dashboard.,Daily and Monthly generate of MIS reports, analyzing the…"
871,"Proven working experience as a Data analyst or Customer Support between 1 to 2 years will be an added advantage.,Experience in Mail box Management."
872,"Establishing data management standards, procedures and best practices while data cleansing.,Provides end-to-end support around database management, data…"
874,"You should be good at understanding client data needs, the landscape of various heterogeneous data sources, identifying a set of services for data ingestion &…"
875,"Acquire data from primary and secondary sources and maintain data systems.,At least 1 year of data analytics work experience."
876,"� Interpreting business requirements to designing, creating, and maintaining complex Data /Compliance reports using Microsoft Suite especially Microsoft Excel."
877,"Proven working experience as a data analyst or business data analyst.,Acquire data from primary or secondary data sources and maintain databases/data systems."
878,"Research opportunities for data acquisition and new uses for existing data.,Recommend ways to improve data reliability, efficiency and quality (e.g. data…"
879,"Must have experience translating data into useful insights, strategy, and action; using visualization to aid in data storytelling to enable data-based decision…"
880,"Manual data entry as needed to correct inconsistencies or fix gaps in existing data.,Focus on proactive maintenance of CRM data quality including company,…"
882,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Acquiring data from primary or secondary data sources and maintaining…"
883,"Company Description Experian unlocks the power of data to create opportunities for consumers, businesses and society. We gather, analyze and process data in…"
884,"Acquiring data from primary and secondary data sources and maintaining databases/data systems.,Previous experience in data analysis."
885,"Analyze the application data and recommend data quality rules.,Identify data quality metrics and execute data quality audits to benchmark the state of data…"
886,This position is also responsible for building visualization and analytics solutions to present data in a graphical or pictorial format to help people…
887,"To help us deliver on The Group’s purpose, Customer Service Direct’s Risk team is focused on supporting the business achieve its objectives through simplifying…"
888,"Use statistical methods to analyze data and generate useful business reports.,Work with departmental managers to outline the specific data needs for each…"
889,"Work experience as a data analyst or in a related field.,Processing confidential data and information according to guidelines.,Managing users and user roles."
890,"The analyst must be well versed with Microsoft Excel, should be able to make technical and financial analysis of companies following IND AS, IFRS and US GAAP."
891,"Work experience on data structures, algorithms, and OOPs concepts.,C and C++ Object Oriented Programming Skills.,Should be good in mathematics."
892,"2-5 years experience as a data analyst, data engineer, data scientist, business analysis or related quantitative analyst."
893,"General reporting and auditing of data.,Collect and analyse data to support decision making in the business.,Develop and maintain standard reports and assist in…"
894,"Able to understand various data structures and common methods in data transformation.,Extensive background in data mining and statistical analysis."
895,"Knowledge of data engineering, data science and decisioning disciplines.,Strong knowledge of data management principles."
896,"Ability to guide analysts and review the work products, including code.,*6*+ years of experience in data analytics and consulting."
897,"Expect similar data files for conjoint analysis and monadic designs as well.,Please see attached file for a sample of the data file.,Scope of work in the MSA*."
898,"Ø Strong analytical skills and ability to interpret data.,Ø Ability to communicate strategic information, data, and results in a clear and understandable manner…"
899,"Review, monitor, and post financial transactions.,Account reconciliations using various financial systems.,Upload and download financial documents."
900,"Own data accuracy and maintenance of the data in the system.,Execution of employee data activities, JML data maintenance and tier 1/2 case management."
901,"Therefore, in order to query the data we need to pass the tenant id to get the data of the respective tenant.,Easy to migrate the data into new structure if any…"
902,"Experience on using any of the data visualization tools like Tableau, Grafana, Google data studio is good to have.,From 2 to 5 year(s) of experience."
903,"O data management (SQL database).,Execution and development of respective data analytics, incl.,Experience in respective IT-systems (e.g. SAP) or data analytics…"
905,"Use data modelling practices to analyze the findings and design,develop improvements and changes.,The purpose of the role is to liaison and bridging the…"
906,"They support the team with detailed data analysis, implement dashboards and ensure decision support systems are in place that best serve the business in their…"
907,"Assess the effectiveness and accuracy of new data sources and data gathering techniques.,To manipulate data, draw insights and build advanced machine learning…"
908,"Support key business initiatives for data driven decisioning.,Automated data pipelines for business performance dashboards."
909,"You’ll be creating legal entity reference data, reviewing changes and improving static data.,This role is available at senior analyst level."
910,"Perform data analysis, trend analysis.,To analyze, document and ensure the client requirements.,Elicit requirements using interviews, document analysis, site…"
911,"Proven working experience as a data analyst or business data analyst.,Acquire data from primary or secondary data sources and maintain databases/data systems."
912,"Work with Data Scientists and Engineering partners to help shape and drive the development of data infrastructure for products/solutions, including data…"
913,"To serve as an experienced, individual contributor on tasks and assignments that support and enhances Enphase product performance, durability, reliability and…"
914,"Developing and maintaining databases, data systems – reorganizing data in a readable format.,Performing analysis to assess the quality and meaning of data."
915,We are looking for a Data Processing Analyst who will act as a liaison between the our team and the client assisting in their day to day operations.
916,"Defining new data collection and analysis processes.,A good understanding of data Security and privacy technologies."
917,The analyst should be able to identify pattern emerging from data and reports and establish the linkage for the same with business problems.
918,"Support management team and the Heads of Department with data-driven analysis.,The financial data will be provided to be formulated into a representational…"
919,"Devise, develop, test and deploy new data models.,Experience in manipulating large data sets and analyzing them to identify actionable insights."
920,"HH Drive test tool knowledge ( AZQ).,Good RF knowledge ( 5G/4G).,Minimum one year network testing exp.,Mohali, Mohali - 160062, Punjab: Reliably commute or…"
921,"You will work on a team including scrum masters, product owners, data architects, peer data engineers/analyst, data scientists and DevOps."
922,"Developing and maintaining databases, data systems.,Performing analysis to assess quality and meaning of data.,Accuracy and attention to detail."
923,"Excellent understanding of data visualization, data storytelling, and how to think about data problems in a business context and solving them using Machine…"
924,"Maintain and support data analytics platforms.,Crafting and executing queries upon request for data.,Identify and drive resolution of gaps in data reporting."
925,"As masterdata analyst you will be responsible for local data input within the market/plant as part of the dedicated set of Global Master Data policy, procedures…"
926,"Should have knowledge of creating reports.,Are you proficient in MS Excel."
927,"Apply techniques such as data gathering, data mapping, benchmarking, trend analysis and charting to provide observations, and actionable insight."
928,"Use statistical methods to analyze data and generate useful business reports.,Work with departmental managers to outline the specific data needs for each…"
929,"Experience in research, data analysis, MIS and data management Skills.,Drive compliance resolution of invalid, incomplete, or inaccurate data content *Determine…"
930,"Data Modelling for Business Intelligence Reporting, which will include Designing data warehouse as per business needs.,Conducting troubleshooting on BI models."
931,"The person will be responsible to understand customer needs from sales and marketing, run analysis on product consumption and other data sets and provide data…"
932,"Provide technical expertise on data storage structures, maintenance, data mining, and data cleansing.,This includes data mining from different sources and data…"
933,"Ensure daily onboarding and dealer support management of partners for plan sales.,Dealer support for Retail Partners and one point POC for OEM plans."
934,"Deep data landscaping and analysis experience typically simplifying data sources and delivering automated capabilities across finance, operations and resource…"
935,"Analysis of daily sales and entering the data in the relevant sheets ensuring all data is in place and reach to be looked into.,Total work: 1 year (Preferred)."
936,Provide timely business analytical solutions to enable data – driven decisions to support sales team in achieve the organisational goals.
937,"Top notch Google Sheets skills.,Excellent programming skills in Python with prior knowledge of Pandas, Numpy, Matplotlib, Seaborn."
938,"Understanding of accidents, accident data.,Story telling with the help of data.,Knowledge of Automotive domain/Road Safety/Environment data is a plus."
939,"EY is looking for Analyst in IT Advisory.,An important part of your role will be to assist Seniors & Managers while actively participating within the client…"
940,"Expertise in Development, deployment and monitoring ADF (Azure data factory) pipelines (using visual studio and browsers).,Expertise in Azure logic apps."
941,"Knowledge of performing qualitative/quantitative risk assessments.,Maintain risk register and ensure risks are monitored and managed."
942,"There is flexibility to hire at the analyst or senior analyst level depending on candidate experience.,OrgSolutions can help human resources and business…"
943,"Ability to understand functional/technical specifications and analyze data;,Our Client is from a Financial Services company that is looking for a passionate…"
944,"Contribute to the design and implementation of controls and process maps Contribute to root cause analysis of issues and incidents, identifying and implementing…"
945,"Create processes and methods to gather data.,Analyze data to identify issues and suggest improvements.,Identify cost-effective delivery modes and schedules."
946,"Ability to collect, organize, and display data in spreadsheet format.,Follow-through skills necessary to get information from internal and third parties and…"
947,"Identify data quality issues, recommending procedural and technical changes to improve productivity and data quality for ICE Data Services;"
948,"Use ETL tool to process data from various data silos.,Experience with data visualization tools such as Tableau.,Proficient in MS Access, Excel, PowerPoint."
949,"Build proactive data validation automation to catch data integrity issues.,Strong ability to troubleshoot and resolve data issues."
950,"Leverages data extraction tools and ETL skill to obtain data from various data systems across the industry.,Broadly looking at the popular data source systems…"
951,"Jaipur, Rajasthan: Reliably commute or planning to relocate before starting work (Preferred).,Total work: 1 year (Preferred)."
952,"Monitoring workflow, data timeliness and quality.,Assisting with the collection and processing of data.,1 - 4 years of experience in data research."
953,"Handle tough technical problems and data issues.,The Business analyst job description entails providing analysis, design, documentation, and testing on projects…"
954,"A data-driven mindset with ability to deal with ambiguity in the absence of data.,Yulu is looking for a data analyst who will be responsible for recommending…"
955,"Proven skills in data mining, data preparation and data analysis.,Develop data analytical tools to integrate data collected and provide a variety of data trend…"
956,"Should have a keen eye for anomalies and data points that skew data sets and should be proactive in flagging them off.,Highly skilled in PowerBI & Excel."
958,MS in Mechanical/Chemical/Petroleum Engineering with fluid mechanics knowledge and data analysis background to analyze the data generated by MPFM/OW+/OWM.
959,"Identify and acquire data sources and process them: data profiling, data preparation, use of AI techniques, advanced software.,You're fluent in English!"
960,"Ensure that all activities and duties are carried out in full compliance with regulatory requirements, Enterprise Wide Risk Management Framework and internal…"
961,"The candidate shall be responsible for handling and integrating large volumes of data from various sources, mining the data and coming up with actionable…"
962,"Should be a team-player with ability to co-ordinate and implement various data quality processes, including reference data groups."
963,"Excellent problem solving and analytical skill and can build story with fragmented data.,Work with cross-functional and global teams to lead projects solving…"
964,"Assist with maintenance of Power BI code & other data sources.,Configuration of SharePoint, Excel, & other data sources.,Very good knowledge in word and PPT."
965,"To be employed as an Analyst - Data Operations in a media evaluation and reporting setup.,Get trained and execute acquired instructions to report brand…"
966,"Knowledge of data visualisation and data analytics principles and skills –including good user experience/UI Design.,Net , SQL , Python , SSIS, or exposure to."
967,Transform data into business intelligence by generating relevant information and recommendations for improving organization performance.
968,"Perform ongoing data validation and testing to ensure data integrity and reliability.,Mine and analyze data from machine log data to drive optimization, reduce…"
969,"Developing and maintaining databases, data systems – reorganizing data in a readable format.,Performing analysis to assess quality and meaning of data."
970,"Perform data quality assessments and statistical testing to verify data quality and data integrity.,Perform data cleansing using data processing and statistical…"
971,"Actively collect managed investment data using Morningstar collection systems, and ensure data timelines, completeness and accuracy to meet business goals."
972,"Contribute to process automation, data analysis, report design and data visualisations.,Strong analytical skills, data visualizations skills."
973,"Through proper data modelling you can create a clear picture of the data and identify missing and redundant data.,YOU'RE GOOD AT (Skills required):"
975,"Good knowledge in data analysis and management.,Should understand the sense of urgency, practicality, accountability, and integrity while dealing with data to…"
976,"The important skills for this position are SQL, Microsoft SSIS, data extraction, data modeling, data transformation, and DBA skills.,What impact will you make?"
977," 1+ years in a data analyst role.,Requirements into custom-formatted data reports.,Data that can be used to improve upon them., Strong attention to detail."
978,"Document database structures and define data elements to enable re-use of data.,Take ownership of our data and constantly improve its quality ."
979,"Bsharp [Nov’12] helps enterprises enable their frontline teams.,Bsharp Learn, Bsharp Score, Bsharp Reporting and Learnbee are various SAAS platforms from Bsharp…"
980,"Experience in data science is important (e.g. Python).,The data holds valuable leads to improve the security of Philips.,You are a part of."
981,"Produce reports on geographic data utilizing data visualizations.,Designing digital maps with geographic data and other data sources."
982,"Gather data on consumers, competitors and market conditions.,Interpret marketing data, formulate reports and make recommendations."
983,"Perform data analysis and visualization.,Provide functional process and data expertise.,Provides functional process and data expertise, qualifies Analytics IT…"
984,"The role will include presenting data in charts, graphs, tables, designing and developing relational databases for collecting data across the Bank and building…"
985,"Perform data analysis and visualization.,Provide functional process and data expertise.,The Business Analytics Specialist applies his/her business knowledge and…"
986,"Collect, analyze and process company reported data from various data sources and into the database utilized by the ESG content team."
987,It is a part of the Banking & Insurance practice of McKinsey with 230+ members and a global footprint across 25+ locations focusing across financial services…
988,"The person will be responsible to understand customer needs from sales and marketing, run analysis on product consumption and other data sets and provide data…"
989,"SQL technical analysts are needed as part of our team of data analysts working in healthcare.,Skilled in data management, data integration, application…"
990,"Analytics experience working with banking data, able to cross reference between data source to gain insights in customer patterns/needs."
992,Bachelor of Engineering (B.E / B.
993,"Perform data mining and data analysis of database and identify gaps.,Review and validate data as it is collected.,Monitor analytics and metrics results."
994,"Works on complex problems where analysis of situations or data requires an in-depth evaluation of multiple factors.,Prepares code stubs for others."
995,"Strong data-first analysts who are passionate about working with data and building systems that.,Strong data handling, data modeling & data flow…"
996,"O Coach junior data analysts on analytical and technical skill sets.,O Perform comprehensive exploratory data analysis, build engaging visualisations, validate…"
997,"This data is further analysed and the performance of the ADAS systems are monitored.,Architecting, developing and deploying end to end pipeline to ingest…"
998,"Coordinating with support team PAN India for data reconciliation and dashboards.,Proficiency in creating data access and processing tools in Microsoft Excel."
999,"Experience presenting data analysis through visualizations and dashboards is a big plus., Prior experience working in a data science/analytics/engineering team…"
1000,"Write and optimize in-application SQL statements, Procedures, Views Etc.,Ensure performance, security, and availability of databases."
1001,You will be working as a part of the data-driven Data Visualization team which is primarily responsible for leveraging visualization tools to create informative…
1002,"Minimum 4-5 years of experience in data and analytics.,Manage data analytics, performance dashboards & Monitor key KRA metrics.·."
1003,"Insights or improve data quality;,Experience with data modeling (good to have);,Applies query, data exploration and transformation, basic statistical methods…"
1005,"Exceptional ability to gather, organize and evaluate any information or data needed as input from stakeholders and the development team to determine…"
1006,"Ability to analyze data and resolve complex data issues/queries.,Experience manipulating and analyzing large volumes of data.,1-6 years of experience."
1007,"A successful data analyst needs to have a combination of technical as well leadership skills.,Proven working experience in data analysis."
1008,"Attention to details and data accuracy;,Escalate data interpretation issues, as needed;,Compile and analyze data related to business issues;"
1009,"Ability to manage large data and should be able to work on data consolidations.,Should be very good with MS office especially proficient in Excel."
1010,"Work closely with the data development team when issues are found during QA.,Participate in the data integration process by focusing on creating and maintaining…"
1011,"Strong understanding of data structures and algorithms.,3+ experience of industry experience in developing data science models and solutions."
