,Eligibility
826,"US citizens or alumni of US government
exchange programs."
827,All qualified candidates
828,All qualified candidates
833,IT specialists; companies.
842,All qualified candidates
844,All qualified candidates
846,All interested and qualified candidates.
847,All interested and qualified candidates.
848,All interested and qualified candidates.
849,All interested and qualified candidates.
851,All interested candidates.
852,All interested candidates.
853,All interested candidates.
854,All interested candidates.
855,All qualified candidates
857,All qualified candidates.
858,All qualified candidates.
859,All qualified candidates.
860,All qualified candidates.
861,All qualified candidates.
862,All qualifed candidates.
863,All qualified candidates.
864,All qualified candidates.
865,All qualified candidates.
866,All qualified candidates.
867,All qualified candiadates.
868,All qualified candidates.
870,All qualified candidates.
871,All qualified candidates.
872,All qualified candidates.
873,All qualified candidates.
874,All qualified candidates.
875,All interested candidates
876,All qualified candidates
877,All qualified candidiates
878,Everybody
879,Everybody
886,All qualified candidates.
887,All qualified candidates
888,Everybody
895,All qualified candidates
913,Teachers of the Italian language.
916,Eweryone
922,All interested candidates
923,All interested candidates
924,All interested candidates
927,All qualified candidates
930,All interested candidates
931,All eligible candidates
933,All qualified candidates
951,All eligible candidates
974,Citizens of Armenia and Georgia
975,Everyone
976,All interested candidates
977,All interested candidates
978,All interested candidates
980,Everyone
981,Everyone
987,Everyone
1000,Everyone
1002,Permanent residents/citizens of Armenia.
1009,HTML/CSS/JavaScript Coders
1014,Everyone
1021,Everyone
1042,Everyone
1047,Everyone
1049,All interested candidates
1050,All interested candidates
1051,All interested candidates
1062,"Multiple openings for the different
levels.
Students from the information technology related faculties are welcome
to apply along with the experienced professionals."
1068,Everyone
1072,Everyone
1073,Everyone
1075,Everyone
1100,All qualified candidates
1104,"Every interested candidate that has
relevant experience"
1105,All eligible candidates
1106,Everyone
1115,Everyone
1116,Everyone
1120,All qualified candidates
1124,Everyone
1126,Everyone
1146,Everyone
1157,Everyone who qualifies
1169,All qualified candidates
1175,All qualified candidates
1179,Everyone
1194,Everyone
1201,Everyone
1212,"Citizens of any EU country or any Tacis
country."
1215,Everyone
1217,All qualified candidates
1220,Everyone
1238,All eligible candidates
1257,Everyone
1265,"Broadcast journalists working in Georgia
and Armenia."
1266,Everyone
1267,All eligible candidates
1271,All eligible candidates
1277,All eligible candidates
1279,All qualified candidates
1280,All eligible candidates
1281,Everybody
1292,All eligible candidates
1300,Everyone
1328,Everyone
1337,All qualified candidates
1339,Everyone
1340,Everyone
1341,Armenian nationals
1342,Armenian nationals
1349,Everyone
1352,Open to all qualified candidates
1353,Everyone
1355,All qualified candidates
1357,Everyone
1370,All qualified candidates
1374,Everyone
1375,"Representatives of non-governmental
organizations from Armenia, Azerbaijan, and Georgia with activities in
the sphere of environmental protection and water resource management are
invited to submit letters of interest."
1384,"Representatives of non-governmental
organizations from Armenia, Azerbaijan, and Georgia with activities in
the sphere of environmental protection and water resource management are
invited to submit letters of interest."
1397,Applicants from Armenia or CIS
1402,Applicants from Armenia or CIS
1403,Applicants from Armenia or CIS
1404,All eligible candidates
1405,All interested candidates
1406,All eligible candidates
1407,All eligible candidates
1408,All eligible candidates.
1409,All eligible candidates.
1411,All qualified candidates.
1412,All eligible candidates
1415,"All persons with acceptable education
and skills"
1427,Armenian professionals.
1428,Armenian Professionals
1429,Armenian professionals
1432,All eligible candidates.
1443,All qualified candidates
1446,All eligible applicants
1449,All eligible candidates.
1451,Everyone
1452,Everyone
1454,All qualified candidates.
1463,University students
1465,Everyone
1467,Everyone
1483,All eligible candidates
1484,All eligible candidates.
1485,All eligible candidates
1486,All eligible candidates
1487,All eligible candidates.
1488,All eligible candidates
1491,Experienced specialists
1495,"Students with an undergraduate degree.
We are prepared to consider students from a wide range of areas though
applicants will be required to write an essay that relates to regional
political, economic and cultural issues. This should not, however,
exclude non-specialists."
1502,Residents of Armenia
1503,Residents of Armenia
1504,Residents of Armenia
1505,Residents of Armenia
1506,Residents of Armenia
1508,All eligible candidates
1510,All eligible candidates
1513,All applicants
1514,Everyone
1518,Everyone
1520,Everyone
1524,Everyone
1525,Everyone
1550,"Citizens of Armenia or other
participating country;"
1557,Everyone
1564,All eligible candidates
1578,Everyone
1585,Everyone
1587,All qualified candidates
1596,All qualified candidates
1599,Everyone
1608,Experienced specialists
1609,Everyone
1611,All qualified candidates
1622,See required qualifications
1652,All qualified candidates
1657,All qualified candidates
1660,Citizens of Armenia
1661,Citizens of Armenia
1662,Citizens of Armenia
1663,Citizens of Armenia
1664,Citizens of Armenia
1665,Citizens of Armenia
1666,Citizens of Armenia
1667,Citizens of Armenia
1668,Citizens of Armenia
1682,All qualified candidates
1683,All qualified candidates
1689,All qualified applicants
1691,All qualified applicants
1692,Citizens of Armenia
1696,Armenian residents
1697,All qualified candidates
1698,Everyone
1700,Citizens of Armenia
1705,Armenian residents
1721,Citizens of Republic of Armenia
1727,Everybody
1728,medical specialist /computer operator
1744,Everyone
1746,Everyone
1750,Everyone
1755,Everyone
1756,Everybody
1757,Everyone
1760,Residents of Armenia
1761,All qualified candidates
1764,All qualified candidates
1771,"Family doctors and therapeutists
(priority will be given to family doctors)."
1781,All qualified candidates.
1789,All interested candidates
1804,"Family doctors and therapeutists
(priority will be given to family doctors)."
1809,Citizens of Armenia
1810,Citizens of Armenia
1812,Citizens of Armenia
1815,Citizens of Armenia
1816,"Students and other interested
individuals."
1817,All qualified candidates
1821,All qualified candidates
1824,All qualified candidates
1827,All qualified candidates
1828,All qualified candidates
1829,All Qualified Candidates
1830,All qualified candidates
1831,All qualified candidates
1835,All qualified Software Developers
1841,Citizens of Armenia
1843,Everyone
1844,All eligible candidates
1847,All eligible candidates.
1850,Everyone
1852,All interested candidates
1855,Everybody meeting the job requirements.
1863,"Graduates of High Technical
Institutions, Specialists in this field."
1865,"All interested candidates, especially
women from non European countries."
1871,All interested persons
1873,Everyone
1874,Citizens of Armenia
1879,Everyone
1885,All qualified candidates
1890,Everyone
1891,Everyone
1894,All interested candidates
1899,All qualified aplicants
1916,All qualified candidates.
1921,All interested candidates.
1927,All local professionals.
1934,Everyone
1935,All eligible candidates.
1936,All qualified applicants.
1945,all qualified candidates
1949,Everyone
1956,All eligible and interested candidates.
1957,All qualified candidates.
1959,Everyone
1960,All qualified candidates.
1966,"Applicants should be university faculty
including teachers, trainers, department chairs, curriculum developers,
textbook writers, scholars, as well as secondary school educators. The
ideal candidate will be an experienced professional with little or no
recent study experience in the U.S., whose home institution is seeking
to introduce aspects of U.S. studies into the curriculum; to develop new
courses in the subject of the institute; or, to enhance and update
existing courses on the United States."
1967,All citizens of Armenia.
1971,All qualified candidates.
1972,"University students and recent
graduates."
1973,"All interested parties, including
individuals and companies."
1985,All qualified candidates.
1987,"The conference will host social science
scholars, researchers, think-tank and NGO representatives who have a
keen scientific or professional interest in a respective field."
1988,All qualified applicants
1989,Everyone
1992,All qualified candidates.
2000,All interested candidates
2001,Everyone
2005,Students and/ or recent graduates.
2024,"Appropriately skilled people from all
sections of the community, skilled professionals from diverse
ethnicities, minority groups, disabled and people living with HIV/ AIDS."
2036,Pediatricians
2047,Drivers
2054,Professional web-designers.
2055,Professional programmers.
2066,Citizens of Armenia.
2083,"In addition to meeting the person
specification and job description requirements, candidates must also
meet the following requirements:
- Candidates must be a national of the country where the vacancy exists
- Candidates must currently reside in this country (exceptions may be
made for those currently studying abroad, and who intend returning to
their home country following the completion of their studies)
- The upper age limit to apply to the Programme is age 24 years on 1st
January 2006 
- Personal circumstances should allow the individual to participate in
at least two assignments in London for periods of approximately 6 months
duration.  Further travel will be required as business needs dictate.
The Programme will provide for a balance of internal and external
candidates and priority may be given to the development of internal
candidates who are located in the RO where a vacancy for the Programme
exists."
2085,Everyone
2116,Knowledge of web and graphic design
2123,All interested and qualified candidates.
2125,All interested and qualified candidates.
2126,All interested and qualified candidates.
2127,All interested and qualified candidates.
2128,All interested and qualified candidates.
2129,All interested and qualified candidates.
2130,All interested and qualified candidates.
2131,All interested and qualified candidates.
2132,All interested and qualified candidates.
2133,All interested and qualified candidates.
2134,All interested and qualified candidates.
2135,All interested and qualified candidates.
2136,All interested and qualified candidates.
2137,All interested and qualified candidates.
2139,All interested and qualified candidates.
2141,All interested and qualified candidates.
2143,All interested and qualified candidates.
2145,"Graduate students of human rights,
environment and development issues"
2148,"We are looking for 4 people who love
challenges, are open to innovative technics and to learning."
2149,Citizens of RA
2153,Only highly qualified candidates.
2156,Citizens of RA
2157,Doctors
2203,All interested candidates
2206,Only highly qualified candidates
2209,All interested and qualified candidates.
2213,All interested and qualified candidates
2214,All interested and qualified candidates
2215,All interested and qualified candidates.
2216,All interested and qualified candidates
2232,Professional software engineers.
2240,All interested and qualified candidates.
2242,All interested and qualified candidates.
2246,"All interested candidates who reside in
Armenia."
2262,All eligible candidates.
2290,All interested and qualified candidates.
2291,All interested and qualified candidates.
2293,"A senior ex-officer of the Ministry of
Nature protection or Ministry of Economic Affairs or any concerned
Government Agency/Institution maintaining very good relations with the
related Government Departments and officers will be an ideal candidate
for this position."
2298,All qualified candidates
2314,"A senior ex-officer of the Ministry of
Ministry of Labor or Social Security or any concerned Government
Agency/Institution maintaining very good relations with the related
Government Departments and officers will be an ideal candidate for this
position."
2319,"Citizens of Armenia or ethnic Armenians
from the Armenian Diaspora without any limitation on citizenship."
2329,"Citizens of Armenia or ethnic Armenians
from the Armenian Diaspora without any limitation on citizenship."
2335,All qualified candidates
2347,"Journalists, media specialists, people
with strong interest in media sphere (law, PR, advertising, political
sciences and international studies, etc.)."
2351,All qualified candidates.
2354,All qualified candidates.
2355,All qualified candidates.
2360,Controllers/ Accountants
2361,Controllers/ Accountants
2364,All qualified candidates
2369,Citizens of Armenia
2384,All qualified specialists
2396,"Undergraduate, graduate and postgraduate
students of social sciences and humanities from all over the world."
2400,All interested and qualified candidates
2401,All interested and qualified candidates.
2402,All interested and qualified candidates.
2403,All interested and qualified candidates.
2405,All interested and qualified candidates.
2408,All interested and qualified candidates.
2419,All interested and qualified candidates.
2429,"Candidates who are:
- Interested in media and information legislation;
- Ready to establish a long-term partnership relation with Yerevan Press
Club."
2434,Only highly qualified specialists.
2435,"Citizens of Armenia or other countries
located in Armenia, with excellent knowledge of Armenian finance sector."
2436,Only highly qualified specialists.
2441,"Appropriately skilled people from all
sections of the community. Skilled professionals from diverse
ethnicities, minority groups, disabled and people living with HIV/ AIDS
are particularly encouraged to apply."
2447,All qualified candidates.
2460,All interested and qualified candidates.
2464,All eligible candidates.
2468,All eligible candidates.
2476,Only highly qualified specialists.
2481,All interested and qualified candidates.
2487,"Accountants with previous experience
with International companies."
2530,All interested and qualified candidates.
2532,All interested and qualified candidates.
2533,All qualified candidates.
2534,"The Reagan-Fascell Democracy Fellows
Program is intended primarily to support practitioners and scholars from
new and aspiring democracies. Distinguished scholars from the United
States and other established democracies are also eligible to apply.
Practitioners are expected to have substantial experience working to
promote democracy. Scholars are expected to have a doctorate, or
academic equivalent, at the time of application. The program is not
designed to defray the cost of education for students working toward a
degree. A working knowledge of English is an important prerequisite for
participation in the program."
2535,All eligible candidates.
2543,"All interested candidates holding a BA
or qualified as Diploma Specialists (5-year degree)."
2548,Highly qualified candidates.
2549,All interested and qualified candidates.
2556,All qualified candidates.
2558,All qualified candidates.
2562,All eligible candidates.
2570,All qualified candidates.
2571,All eligible candidates.
2577,All qualified candidates.
2578,Professional programmers.
2592,All interested and qualified candidates.
2642,All eligible and interested candidates
2644,All interested and qualified candidates.
2663,All interested and qualified candidates.
2666,Applicants from Armenia or CIS.
2667,Applicants from Armenia or CIS.
2668,"The School is open to persons aged from
19 to 34 from Armenia and Diaspora."
2669,Applicants from Armenia or CIS.
2677,"All interested candidates reside in
Armenia."
2705,All interested and qualified candidates.
2706,All interested and qualified candidates.
2707,All interested and qualified candidates.
2708,All interested and qualified candidates.
2710,All interested and qualified candidates.
2711,All qualified candidates.
2717,"All interested and qualified
specialists."
2725,All interested parties
2728,All interested and qualified candidates.
2734,Those who are eligible
2737,All interested candidates
2741,All interested candidates.
2749,Creative and skilled persons
2751,All qualified candidates
2753,All qualified candidates
2756,Applicants from Armenia or CIS.
2757,Applicants from Armenia or CIS.
2760,All interested and qualified candidates.
2761,All interested and qualified candidates.
2763,All interested and qualified candidates.
2787,All eligible applicants
2790,All eligible applicants
2796,"Students who are currently enrolled in a
secondary school (8th or 9th grade, are born after 1 January 1991 and
before 15 July 1992)."
2797,All eligible and interested candidates.
2811,All qualified candidates.
2813,All interested candidates.
2823,"Candidates with significant relevant
work experience."
2824,"Candidates with significant relevant
work experience."
2825,"Candidates with significant relevant
work experience."
2826,"Candidates with significant relevant
work experience."
2827,"Candidates with experience in project
economic analysis."
2828,"Candidates with experience in road
network maintenance and management."
2829,"Candidates with experience in project
economic analysis."
2830,"Candidates with experience in project
economic analysis."
2833,"Candidates with significant relevant
work experience."
2834,"The School is open to persons aged from
19 to 35 from Armenia and Diaspora."
2836,All experienced applicants
2837,All qualified candidates
2849,All interested individuals.
2854,All interested individuals.
2858,All interested and qualified candidates.
2860,All interested and qualified candidates.
2862,Citizens of Republic of Armenia.
2870,All qualified and eligible candidates.
2872,All qualified candidates
2873,All interested applicants
2886,"Pediatricians (both single and married
applicants)."
2888,Citizens of Armenia
2889,Citizens of Armenia
2890,Citizens of Armenia
2891,Citizens of Armenia
2893,Citizens of Armenia
2894,Citizens of Armenia
2895,Citizens of Armenia
2896,Citizens of Armenia
2897,Citizens of Armenia
2898,"Students who are currently enrolled in a
secondary school (8th or 9th grade, are born after 1 January 1991 and
before 15 July 1992)."
2899,Citizens of Armenia
2900,All qualified candidates
2901,Citizens of Armenia
2902,Citizens of Armenia
2903,Citizens of Armenia
2904,Citizens of Armenia
2905,All eligible candidates
2915,Everybody
2916,Everybody
2917,"Open to citizens of Armenia, USA and
other countires with  relevant background and experience."
2920,Only licensed real estate evaluators.
2921,No restriction
2924,All eligible candidates
2933,Citizens of Armenia
2938,All interested and qualified candidates.
2939,All interested candidates
2940,All interested and qualified candidates
2944,Software Developers
2945,Citizens of Armenia
2948,All qualified candidates.
2950,C# and ASP.NET developers.
2952,All interested and qualified candidates
2957,No restriction
2960,All qualified candidates
2962,All interested candidates
2983,"Pediatricians (both single and married
applicants)."
2988,All interested and qualified candidates.
2991,"All young residents of the Republic of
Armenia."
2993,All interested and qualified candidates
2996,All interested and qualified candidates
3010,All interested candidates
3023,All eligible candidates.
3122,"This job assumes delivery of vomen's
goods and therefore female candidates are encouraged to apply."
3132,"Applicants should be mid-career, between
the ages of 25-50, highly-motivated and experienced professionals from
institutions of higher education as well as secondary school educators
(including teacher trainers, department chairs, curriculum developers
and textbook writers). The ideal candidate will be an experienced
professional with little or no recent study experience in the U.S.,
whose home institution is seeking to introduce aspects of U.S. studies
into its curricula; to develop new courses in the subject of the
institute; to enhance and update existing courses on the United States,
or to offer specialized seminars/ workshops for professional in U.S.
studies areas related to the program theme."
3142,"Anyone having a recognized nursing
degree"
3204,All interested and qualified candidates.
3211,Everyone
3233,All interested and qualified candidates.
3235,Everyone
3240,All eligible candidates
3262,All qualified candidates
3275,All interested and qualified candidates.
3277,All qualified candidates
3282,All eligible candidates
3287,All interested and qualified candidates.
3304,All qualified candidates.
3305,All qualified candidates
3308,All eligible and qualified candidates.
3309,All eligible and qualified candidates.
3311,All eligible candidates
3313,All eligible candidates
3316,All qualified candidates.
3317,Everyone
3318,Everyone
3319,Phthisiatricians or GPs (Therapeutists)
3320,All qualified specialists.
3321,All interested candidates
3323,Everyone
3325,All interested and qualified candidates.
3326,All qualified candidates
3327,Everyone
3328,All interested and qualified candidates.
3333,All qualified candidates.
3346,All qualified candidates.
3349,All qualified candidates.
3350,All qualified candidates.
3360,All qualified candidates.
3361,All qualified candidates.
3379,All qualified candidates.
3390,Everyone
3391,All eligible candidates.
3392,All eligible candidates
3399,Everyone
3402,All interested and qualified candidates.
3404,All interested candidates
3406,All interested candidates
3407,All qualified candidates
3411,All interested candidates.
3413,All interested candidates
3415,All interested candidates
3420,All interested candidates
3421,All interested candidates
3422,All qualified candidates
3425,All interested and qualified candidates.
3426,All interested and qualified candidates.
3427,All qualified candidates
3428,All the interested candidates
3429,All interested and qualified candidates.
3431,All qualified candidates
3432,All interested candidates
3433,All interested and qualified candidates.
3434,All qualified candidates
3440,All qualified candidates.
3442,All qualified candidates
3444,All interested and qualified candidates.
3449,Software developers
3452,All qualified candidates
3453,All qualified candidates
3460,All qualified candidates.
3461,All qualified candidates
3465,All qualified candidates
3471,Non smokers
3473,All interested and qualified candidates.
3474,All qualified candidates
3476,All qualified candidates
3482,All qualified candidates
3484,Everyone
3486,All qualified candidates
3494,All interested people
3499,Everyone meeting the requirements.
3500,All qualified candidates
3506,All qualified candidates
3511,All interested candidates
3513,All qualified candidates
3514,All interested and qualified candidates.
3515,All interested and qualified candidates.
3516,All qualified candidates
3529,"All interested professionals who qualify
the job profile."
3532,All motivated and qualified candidates
3533,College or Secondary School graduates
3534,Everyone meeting the requirements.
3539,All qualified applicants
3540,All qualified candidates
3547,All qualified candidates.
3552,College or Secondary School graduates
3554,All qualified candidates
3566,All qualified candidates
3567,All interested and qualified candidates.
3568,Citizens of Armenia
3569,All interested and qualified candidates.
3570,Citizens of Armenia
3571,Citizens of Armenia
3574,All qualified candidates
3575,Citizens of Armenia
3576,All qualified candidates
3585,Everyone meeting the requirements
3588,All interested and qualified candidates.
3589,"Applicants from Armenia or other
countries."
3596,All interested candidates
3610,All qualified candidates
3611,All qualified candidates
3616,All eligible candidates
3617,All eligible candidates
3636,All qualified candidates
3637,"Energetic, ambitious university students
and college graduates."
3638,All interested and qualified candidates.
3651,All qualified candidates
3656,All eligible professionals
3659,Everybody knowledgeable
3660,"Individuals with a college degree or
working towards a college degree in computer science or related field."
3661,Experienced designers
3662,All qualified candidates
3664,All motivated and qualified candidates
3670,All qualified candidates
3672,"Members of parliament, individuals
holding positions in the presidential, government and parliamentary
staffs, the law-enforcement agencies, the judiciary, local government
bodies, the military, business entities, political parties represented
in the National Assembly, people holding responsible positions in the
youth organizations of political parties, civil servants; journalists
and analysts."
3675,All interested candidates
3676,All interested candidates
3678,Citizens of the Republic of Armenia
3679,All interested and qualified candidates.
3680,All interested and qualified candidates.
3681,All qualified candidates
3682,Everyone
3683,All qualified candidates
3684,Qualified lawyers
3685,All qualified candidates
3691,All qualified candidates
3692,All qualified candidates.
3695,Enthusiastic and motivated people
3696,All motivated and qualified candidates.
3699,All motivated and qualified candidates.
3700,All motivated and qualified candidates.
3704,All interested candidates
3706,All qualified candidates
3709,All interested and qualified candidates.
3710,All interested and qualified candidates
3712,All qualified candidates
3715,All qualified candidates
3716,All qualified candidates
3717,All qualified candidates
3720,All qualified candidates
3721,All qualified candidates
3722,All qualified candidates
3723,All qualified and motivated candidates
3725,All qualified candidates
3727,All qualified candidates
3731,All qualified candidates
3739,All qualified candidates
3741,Applicants from Armenia or CIS
3742,Applicants from Armenia or CIS
3744,Applicants from Armenia or CIS
3745,Applicants from Armenia or CIS
3751,"Medical Doctors, General Practitioners,
Family Physitians"
3752,All qualified candidates
3753,All qualified candidates
3754,All qualified candidates
3755,All qualified candidates
3756,All qualified candidates
3757,All interested candidates
3763,All qualified candidates
3772,All qualified candidates.
3773,All interested and qualified candidates.
3777,"Lawyers, legal advice offices, and
specialized agencies."
3783,All qualified candidates
3788,All interested and qualified candidates
3789,All eligible candidates
3792,All qualified and interested candidates
3793,All interested candidates
3798,All qualified candidates
3799,All qualified candidates
3801,All qualified candidates
3804,All interested candidates
3806,All interested candidates
3807,All interested candidates
3808,"Accountants with strong english language
skills."
3809,"Accountants with strong english language
sSkills"
3810,"Accountants with strong English language
skills."
3812,All interested candidates.
3815,All interested candidates.
3816,all qualified individuals
3817,all qualified individuals
3820,All qualified candidates
3821,All interested parties.
3822,All interested candidates.
3823,All eligible candidates
3825,All interested candidates
3833,All qualified candidates
3834,All interested candidates.
3837,Everyone
3838,All qualified candidates
3843,All qualified candidates
3846,All qualified candidates
3847,All qualified candidates
3849,All eligible candidates
3851,All eligible candidates
3863,All interested candidates
3866,All interested candidates
3867,All interested and qualified candidates
3869,All eligible candidates
3876,All interested candidates.
3879,All interested candidates.
3883,All interested and qualified candidates.
3884,All qualified candidates.
3885,"All graduates of credited higher
institutions are eligible to apply."
3886,All interested candidates.
3896,All eligible candidates
3900,All qualified candidates
3901,All qualified candidates
3904,All interested candidates
3905,All qualified candidates
3908,All interested candidates
3909,All qualified candidates
3910,All qualified candidates
3917,All interested and qualified candidates
3939,All qualified candidates
3941,"Everyone having appropriate
experience/educaiton."
3942,All interested candidates
3943,All interested candidates
3946,All interested candidates
3949,All qualified candidates
3952,All motivated and qualified candidates
3953,All interested candidates
3956,To all interested candidates
3958,All interested and qualified candidates.
3959,All qualified candidates
3960,All eligible candidates
3961,All qualified candidates
3963,Any qualified candidate
3964,"All qualified candidates with
appropriate education/experience."
3965,"Everyone having appropriate
experience/educaiton"
3966,All qualified candidates
3970,All qualified candidates
3972,"All qualified candidates with
appropriate education & experience."
3974,College or university graduates
3988,College or university graduates
3990,All qualified candidates
3992,Everyone
3993,Everyone
3996,All interested candidates
3999,All qualified candidates
4000,All qualified candidates
4001,All interested candidates
4002,All interested candidates
4003,All interested candidates
4005,All qualified candidates
4013,All eligible candidates
4019,All qualified and interested candidates.
4021,Everyone
4022,Everyone
4023,Everyone
4029,All qualified candidates
4030,All qualified candidates
4031,All qualified candidates
4033,All qualified candidates
4034,All interested candidates
4038,All qualified candidates
4045,All qualified candidates
4049,All motivated and qualified candidates.
4053,All interested candidates
4064,All qualified candidates
4069,All qualified candidates
4084,Everyone
4085,Everyone
4088,"Candidates experienced in administrative
and human resource management."
4090,All qualified candidates
