Position Title,Requisition Number,Division/College,Interdisciplinary Division/College,Location,Full-time_Part-time,Grade,Posting Date,Responsibilities,Qualifications,Additional Information
Visiting Lecturer,FTFR001250,College of Social Sciences and Humanities,Not Applicable,Boston Main Campus,Full Time,4,04/05/2019,"The School of Public Policy and Urban Affairs in the College of Social Sciences and Humanities at Northeastern University seeks applications for a one-year, full-time lecturer position in relevant areas of urban planning and urban informatics, such as urban planning and policy, urban development, urban economics, and urban geography. The position is for two academic semesters and comes with a 3 course teaching load per semester. The successful candidate will have demonstrated excellence in teaching, and strong training and skills in one or more of the following: statistics, geographic information systems, and spatial analysis and modeling. This is a one-year, non-tenure track position with full benefits, which will begin on August 26, 2019.
The School of Public Policy and Urban Affairs is home of a rapidly growing program in Urban Informatics. The position will support the University’s commitment to innovation in teaching as well as the mission of the School of Public Policy and Urban Affairs to inform theory and practice through integration of research, education and engagement that advance scientific knowledge and ethical conduct in the interest of current and future generations. Candidates should have demonstrated commitment to fostering diverse and inclusive environments as well as to promoting experiential learning, which are central to a Northeastern University education.",A PhD or its equivalent is required by the time the appointment commences.,
Part-Time Lecturer,PTFR000307,College of Engineering,,Seattle Campus,Full Time,4,10/10/2017,"Teach selected graduate courses in the Multidisciplinary Masters Degrees Program in Seattle and Silicon Valley.
See website at: http://www.coe.neu.edu/graduate-school/multidisciplinary
Responsibilities include preparation of course materials, examinations, and evaluation of student learning and performance in the course. Part time positions are available in Seattle and Online.","PhD in relevant engineering discipline is required; some professional and/or teaching experience preferred. ( Master’s Degree in Engineering Management, Information Systems, or related field may be acceptable with 10+ years relevant experience. Must have strong, effective verbal skills to communicate and interact well with students online",
Academic Advisor,STFR005391,College of Science,Not Applicable,Boston Main Campus,Full Time,10,04/05/2019,"The main mission of the academic advisor is to ensure a student-centered academic advising environment for students in the academic departments (biology, chemistry, earth and environmental science, mathematics, physics, and psychology) and academic programs (behavioral neuroscience, biochemistry, and linguistics) in the College of Science.
Academic advisors work closely with faculty advisors in their assigned
departments/programs as well as with academic coordinators and other advisors in the college to: advise undergraduates on a wide range of academic issues from orientation through academic progress to graduation.
Advisors may also participate in teaching a first-year seminar course; coordinate various student services-related projects aimed at providing academic services and information to students; develop and assess support programs to enhance the students’ academic experience and increase the retention of students, particularly freshmen, international students, and transfer students (NUin).","Masters degree in an arts and sciences or education-related field required.
Up to two years of experience in higher education is required.
Strong organizational, analytical and interpersonal communication (both verbal and written) are necessary.
Computer skills and experience in working with databases desirable.
Ability to learn and effectively utilize the College and University-level computer systems in day-to-day advising is necessary.
Ability to work well with a variety of personalities and juggle many activities simultaneously, take initiative, follow through with projects and work as an integral member of a team is necessary.",These are 3 new positions which are being added to the advising office.
Maintenance Planner/Scheduler,STFR005392,Facilities,,Boston Main Campus,Full Time,12,04/05/2019,"The Maintenance Planner/Scheduler is responsible for planning and scheduling preventive and corrective maintenance tasks for a team of facility maintenance technicians.  The Planner / Scheduler acts as liaison between the Northeastern University Facilities staff and clients for the planning and scheduling of maintenance work orders. In addition, this position will work with supervisors and technicians to prioritize and plan work according to facility requirements. The Maintenance Planner/Scheduler reports directly to the AVP for Facilities Operations and is expected to champion the implementation of the NU Computerized Maintenance Management System (CMMS), ensure process consistency and efficiency, provide support and training to all users within NU and other Archibus users within and outside NU and lead/implement continuous improvement to the preventive maintenance system and processes.
Responsibilities include:
• Manage Preventive Maintenance (PM) Work Order forecasts of resources to planned work, generating appropriate work orders by priority and urgency.
• Collaborate with supervisors, technicians and customers to establish on-going CMMS contracts for customer chargebacks.
• Promote standardization and consolidation of preventive maintenance work through CMMS processes
• Perform maintenance planning functions that consider work zones, schedules of availability of assets, and consolidation of job plans.
• Develop appropriate preventive maintenance job plans for all new equipment assets acquired by NU.
• Collaborate with supervisors and technicians to correct existing preventive maintenance job plans to reflect appropriate task assignments.
• Ensure the timely closeout of preventive maintenance work tickets.
• Track the status of all identified Critical PM tasks, analyze and report data on PM Work Orders such as: overdue, backlog, received/ completed statistics
• Work with the Supervisors, Technicians and Procurement to ensure accurate and timely communication with the requestor(s) regarding status of work orders. Comply with established safety and environmental procedures.
• Develop and Maintain Standard Operating Procedures (SOP) of all CMMS processes.
• Communicate facilities requirements to maintenance team leads.
• Conduct rigorous process to validate requirements and devise work plan and resources.","Required Qualifications:
•	Bachelor’s Degree in Facilities Management, Engineering or related field or demonstrated equivalent combination of education and experience. 
•	Strong human relations and effective communication skills.
•	8 years of experience in maintenance and repair of HVAC, electrical, plumbing or utility plant operations. 
•	Must be able to perform under minimal supervision and exercise independent judgment in problem resolution
•	Experience using CMMS systems and the ability to run reports and understand how variables affect Key Performance Indicators. 
•	Understand maintenance organizations and asset management. 
•	Familiarity with OSHA, EPA, NFPA, building and life safety codes. 
•	Ability to work with databases and proficiency with MS Office Suite (Outlook, Word, Excel and Access).
•	A strong orientation toward customer service in a participative management environment with a demonstrated ability to establish and maintain effective relationships with management, customers, vendors and staff.
Desired Qualifications:
•	Ability to create SQL queries.
•	Experience in maintenance and planner roles.
•	Ability to develop predicative analytics and apply them to preventive and planned maintenance activities.
•	Experience creating Job Plans and PM Structures
•	Experience with research institutions or other large facilities operations
•	Strong mechanical/electrical aptitude with an understanding of critical systems such as HVAC, chillers, electrical components, and plumbing in a research campus setting.
•	Experience with a CMMS (computerized maintenance management system) such as Archibus, EAMS or other database systems.
•	Experience in employee work coordination in a predictive and reliability-based facility maintenance program.
•	Experience working with a building management monitoring system.
•	Certificate or formal training from Facility Maintenance Organizations such as IFMA, AFE or BOMA.
•	Ability to read and interpret blue prints, schematics and one-line drawings.
•	Journeyman level license in HVAC, Electrical or plumbing.
Special Working Conditions:
•	Working hours may be 7:00AM to 3:30PM; adjusted or additional hours may be required during peak work load time and occasional holiday or weekend support for customer driven schedules.
•	Operation of NU vehicles.
•	May need to walk extensively throughout campus and facilities. 
•	Will require the use of steel toe safety shoes, safety glasses, gloves, hard hats and other Personal Protective Equipment as needed.",
Budget Administrative Coordinator,STFR005382,Bouve College of Health Sciences,Not Applicable,Boston Main Campus,Full Time,9,04/04/2019,"The Budget/Administrative Coordinator in the School of Pharmacy plays a key role in coordinating and overseeing all budget and hiring activities within the Department of Pharmacy and Health Systems Sciences (DPHSS), and assists with a variety of administrative tasks. This position serves as a critical liaison to key offices, most importantly to the Office of the Dean in the School of Pharmacy, the Office of the Dean in Bouvé College of Health Sciences, Bouvé College Research Office, Human Resources, and general operational offices. This person must be able to communicate professionally and effectively at all levels, and must possess problem-solving and critical thinking skills, and the ability to make independent judgments.  Budget responsibilities include working closely with the department chair on matters of cost assessment, budget projections, cash flows, and the resolution of potential difficulties.  S/he will also work closely with the Director of Operations, on topics that affect the broader school budgets, and on matters where budget touches the overall operation and staff/programmatic functions of the school.  S/he has oversight of budget operations and all purchasing recommendations for the DPHSS department and is responsible for producing various budget reports and related analysis.  S/he will support processing paperwork related to the proper management of the various budgets (to include some grants) and reconciliations of purchases at the end of the month against budget reports. The Budget/Administrative Coordinator is also the designated human resources mini-key contact and the I-9, E-Verify processor for the DPHSS, and the primary point-of-contact for all hiring processes in the department.  This position processes and facilitates a wide variety of hiring, onboarding, and off-boarding tasks for full-time, part-time, temporary, and contract employment for the department.   S/he also works as part of a team to accomplish a variety of administrative tasks and projects as assigned by the department/school.  The Budget/Administrative Coordinator must be able to balance conflicting priorities, working very closely with the Chair and the Director of Operations to ensure that department/school needs are met, and budget, human resources and other administrative goals are successfully achieved.","Bachelor’s degree, in Business Administration, Accounting or related field, with 1 – 3 years of administrative/budget management experience.  Experience with budget review, monitoring and reporting required, and experience with human resources processes and topics strongly desired.  Grants administration experience a plus.  Individual must possess exceptional interpersonal and organizational skills, and must demonstrate a proven ability to effectively work with competing priorities and a diverse set of customers/clients, with a strong team-orientation and flexible approach to work.  Exceptional customer service and communication skills, problem solving and critical thinking are required, as well as a proven ability to handle confidential information appropriately.  Strong Microsoft Excel/general computer experience required.  Experience in an academic environment a plus.","This is a full-time, benefits-eligible M-F position in the School of Pharmacy. 
 The Bouvé College of Health Sciences at Northeastern University is one of nine colleges/schools at Northeastern University, and is a national model for education and research in the health, psychosocial and biomedical sciences. Comprised of three schools – Nursing, Pharmacy and Health Professions — over 2000 undergraduates and 2400 graduate students are enrolled in more than 30 degree-granting programs. Complementing our instructional programs, we house nine centers and institutes and the College successfully competes for NIH, NSF and foundation funding.
 Northeastern University is a leader in inter-disciplinary research, urban engagement, experiential learning, and the integration of classroom learning with real-world experience. Northeastern University is home to 20,000 students and to the nation’s premier cooperative education program. The past decade has witnessed a dramatic increase in Northeastern’s international reputation for research and innovative educational programs. A heightened focus on interdisciplinary research and scholarship is driving a faculty hiring initiative at Northeastern, advancing its position among the nation’s top research universities. Northeastern University is situated on the Avenue of the Arts in Boston’s historic Back Bay, four blocks from the Longwood Medical Area, encompassing Harvard Medical School, Boston Children’s Hospital, Brigham & Women’s Hospital, and Beth Israel Deaconess Medical Center, and eight blocks from the Boston Medical Center."
Part-Time Lecturer in Arts Administration,PTFR000459,"College of Arts, Media and Design",,Boston Main Campus,Full Time,4,04/05/2019,"Part-time Lecturers teach courses in arts administration and cultural entrepreneurship, particularly in the following areas: arts management; strategic planning for arts and cultural organizations; arts and cultural programming; marketing and market analytics in the arts sector; information technology for arts organizations; education, community outreach and audience engagement; cultural entrepreneurship; critical, creative practices and related topics, depending on departmental need and enrollments. Candidates would be responsible for developing and delivering online courses for the Arts Administration program.",The ideal candidate will have a terminal degree and at least two years of successful college teaching experience.,"Salary range: Stipend rate(s) per course. 
Starting dates: January, May, July, and September."
Part-Time Lecturer - Online MS in Cybersecurity Toronto,PTFR000458,Khoury College of Computer Sciences,Not Applicable,Online,Part Time,4,04/04/2019,Part-Time Lecturer – Online MS in Cybersecurity for Summer or Fall 2019. Teach and develop on-line Computer and Information Science courses in the Cybersecurity graduate program for Toronto Campus.,"Master’s degree required; Ph.D. in Information Assurance, Information Security or related fields preferred and previous teaching experience.","For more information about the program, visit our website at: https://www.northeastern.edu/toronto/academic_program/cybersecurity/"
Director of Internal Communications,STFR005390,Enrollment Management,Not Applicable,Boston Main Campus,Full Time,13,04/04/2019,"The Director of Communications provides support for internal communications for the Office of the Chancellor, aligning the communications strategy with the university’s vision. In partnership with university leadership, the director will be responsible for designing, developing, implementing and continuously improving a comprehensive and integrated communications program.  In this hands-on role, the Director will select and manage the most effective, efficient, and impactful methods to articulate the Chancellor’s vision to a variety of stakeholders across the university. The selected candidate will team up with key university partners to ensure that the internal communications plans are aligned with university policies and brand guidelines as necessary. S/he will use multiple platforms, including print, digital, social and the web to define and deliver compelling content.","•	Bachelor’s degree required in marketing, communications, public relations, journalism or closely related field; Master’s degree preferred.
•	5-8 years of experience in marketing and/or communications, preferably in higher education, or a complex and fast moving corporate environment.
•	Highest-level writing skills, with the demonstrated ability to write on a wide variety of topics and to adapt style for a range of audiences, using correct grammar, punctuation, spelling, editing, formatting, and proofreading. Two to four years of experience writing in a professional environment, preferably in the higher education fields.
•	Strong interpersonal skills. Demonstrated ability to build relationships and work with distributed stakeholders to drive a single communications strategy
•	Tech-positive approach, always on the lookout for new and better techniques and platforms for digital outreach
•	Demonstrated success in using analytical, judgement and problem-solving skills to determine needs and arrive at consistently sound conclusions 
•	Demonstrated research, data gathering and interview skills to compose effective written materials",
Manager Marketing & Communication,STFR005389,Research and Graduate Education,Not Applicable,Downtown Boston Campus,Part Time,11,04/02/2019,"The goal of the Global Resilience Institute (GRI) marketing efforts will be to raise the profile of the Institute by marketing the success of its approach, the value of its applied research, ensuring it is a leading voice in the conversation about the future of Resilience research and education, and bringing global awareness of the University in line with the accomplishments and the future strategic priorities of Northeastern.  In this context, the Marketing communications manager will serve an integral role within an evolving team. This role will focus on supporting the Global Resilience Institute’s digital and traditional outreach efforts managing strategies that meet stated goals and objectives.
Specific responsibilities include:
•	Plan and manage near and long term marketing communications initiatives at GRI that align with broader strategic NU marketing efforts.
•	Manage the full lifecycle of digital and print marketing programs: website creation and optimization, graphic design, email marketing, social media campaigns, SEO/SEM, and to also include news pitches and press releases for internal, national and international audiences.
•	Collaborate with other internal NU digital and social teams (MARCOM, Advancement, Global Network, Graduate Programs, etc.) to ensure proper levels of collaboration and coordination of efforts.
•	Monitor against established benchmarks/KPIs of digital efforts, spearheading analytics reporting, analysis and communication of implications. 
•	Must be a strong narrator able to synthesize complex information and present it concisely to the correct audience in both written and graphic forms. Serve as the promoter for explaining the GRI’s mission and how it stands apart from other institutes.
•	Collaborate with GRI leadership, fellows, faculty and researchers to identify newsworthy research for dissemination, to enhance public understanding of resilience.
•	Ensure communications and media are produced on time and within budget.
The ideal candidate will be experienced in a wide range of digital areas, including social media, content marketing, community management, website design and architecture, SEO, analytics, ad serving, and CMS development.  He/she will have the ability to understand the big picture, while managing the day-to-day implementation of the established strategies. The candidate will have an understanding and passion for marketing and how to apply to the overall vision.  The Marketing Communications Manager must be a motivated, goal-oriented team player who can thrive in a fast-paced environment, where flexibility, creativity, and resourcefulness are required for success.","Bachelor’s degree in marketing, communications or related discipline and 3-5 years experience in marketing communications functions including (not limited to) digital strategy, content marketing, digital advertising, website design, strategy and deployment, user experience and architecture, SEO strategy development; agency or consulting experience a plus.
Must have:
-	demonstrated success in managing major strategic projects that support marketing and communications initiatives
-	excellent communications skills with proven ability to communicate technical strategies clearly and effectively
-	ability to thrive in a highly collaborative, cross-functional team environment.
Experience in social media, including (but not limited to), content development, community management, influencer marketing, emerging technologies.
Highly creative with experience devising effective digital assets, digital campaigns, and web presence.
Understanding of website analytic tools and usability testing; Google Analytics experience (certification a plus).
Should possess strong problem solving skills; and proven ability to successfully work with vendors and agencies to produce results.
Familiarity with content management systems and exposure to marketing automation systems and CRM systems a plus.
Ability to proactively gain external industry knowledge and continued learning.",
Senior Project Manager,STFR005386,Enrollment Management,,Boston Main Campus,Full Time,12,04/03/2019,"The Senior Project Manager on the Enrollment Management team at Northeastern University reports into the AVP of Customer Experience & Marketing Technology and will advise, consult and guide the project management process for multiple, complex, cross-department projects. The person in this role will work closely with stakeholders in defining project charters, schedules and budgets and oversee the entire project lifecycle to deliver comprehensive digital solutions. In addition to excelling in scope, time and budget management, the ideal candidate will also have a thorough understanding of all phases of digital development including technical discovery, front end and back end development, (design, UX, content, UI development, engineering and quality assurance).
This position requires confidence, self-discipline, a sense of urgency, and the ability to be innovative, make decisions and take responsibility for them. As a Sr. Digital Project Manager, you will need to react and adjust quickly to changing conditions, identify risks and recommend solutions. This job requires strong analytical and technical abilities and demands fast, but carefully thought-out results to guide the team to meet project goals and delivery high quality work.
The job demands a factual, direct style of communication and significant self-discipline with attention to detail. There is a strong demand for high quality, organized and repeatable results. The responsibilities are broad in scope, encompassing a wide variety of activities requiring rapid shifts in priorities.","• 5-7 years of proven project management experience of software development, digital applications, marketing technology, multimedia, or systems integration, demonstrating robust and deep working knowledge of the full project lifecycle.
    o	Experience in a digital agency a plus.
    o	Experience in higher education a plus
• A track record of successful and predictable delivery of on-time, to-budget, and to-specification projects
• CSM, PSP-ACP or PMP certification required
• Skilled at articulating how complex projects can be structured into phases and sprints to prioritize speed to market and iterative improvements and feature enhancements
• Knowledge /Qualification in project Methodology Agile
• Deep understanding of the software development lifecycle and or the creative development process
• Strong planning skills applied through MS Project or similar
• Demonstrable financial management skills and experience
• Good working knowledge of project contracts and invoice schedule
• Bachelor’s Degree preferred
• Project Management certification desired
• Demonstrated experience creating factual, concise and client-oriented verbal and written communications
• Strong analytical and conflict management resolution skills 
• Ability to analyze, make decisions, prioritize, assess and mitigate risk
• Unrelenting focus on quality deliverables throughout project lifecycle (not just the end result)
• Demonstrated experience with managing the delivery of digital projects (both mobile and web). 
• Experience communicating with several audience types, and the ability to tailor communications between clients, engineering teams, management and more.
• Comfortable working with complex marketing technology and digital marketing projects
• Proven decision-making capabilities, particularly in navigating competing or conflicting priorities
• Solid understanding of UX principles and web design (Information architecture, Interaction design, visual design, usability, prototyping, etc.).",
Creative Marketing Copywriter,STFR005387,Enrollment Management,,Boston Main Campus,Full Time,11,04/03/2019,"The creative marketing copywriter is responsible for telling the Northeastern University brand story—its value proposition, positioning, differentiators, and compelling student outcomes—across a wide range of tactical communications, including but not limited to print (advertising, direct mail, collateral, signage, etc.), digital (websites, microsites, email campaigns, banners, infographics), video, etc.
Your biggest challenge will be to bring this unique university to life in the hearts and minds of prospective students, at both the undergraduate and graduate levels, and demonstrate for them every reason why they should consider Northeastern, reach out and apply.
You will understand how to solve problems through creative concepting, and how a great concept is informed by a clear strategy. You also understand that brainstorming is a team sport, and everyone participates—designers, marketing managers, strategists, and academic partners; because the ultimate goal is to uncover the idea that best solves the problem at hand, and it doesn’t matter who or where it comes from.
You are responsive to feedback, flexible to sudden shifts in strategy and tactics, and adaptable to working in a dynamic, stimulating, open concept work environment. Ideally, you will have experience working in either an external or in-house agency and have an online portfolio to view as part of your application.
It’s helpful to have a basic understanding of direct marketing principles, including the mysterious marketing funnel—lead generation, lead nurture, and conversion strategies. Familiarity with SEO, testing, and optimizing content through analysis and other quantifiable measures is also a plus.","• Bachelor’s degree in communications or related discipline 
• 4-6 years’ experience in copywriting, content writing, or related functions including (not limited to) writer, communications specialist, and content marketing writer
• Portfolio of previous work demonstrating integrated campaigns one-off projects across medias—print and digital
• Demonstrated success in concepting and writing creative advertising and marketing deliverables 
• Ability to thrive in a highly collaborative, cross-functional team environment
• Previous experience in an advertising agency or in-house creative department. 
• Ability to successfully work with vendors and agencies to produce results.
• Strong problem solving skills.",
Postdoctoral Research Associate,STFR004921,Provost,Not Applicable,Boston Main Campus,Full Time,10,09/18/2018,"Performs basic or applied research of a limited scope, primarily using existing theories and methods. Assists the supervisor in the interpretation and publication of results and grants.  Maintains the laboratory (if utilized) and may exercise functional supervision over supporting research staff.  Primary responsibility is ensuring that the research is complete.  The appointment generally does not extend beyond one year.
-	Each Fellow must present at least one research seminar or colloquium on the Northeastern University campus during the academic year of the Fellowship. Each Fellow also must give at least one presentation on his/ her research at a national or international conference during the academic year of the Fellowship. All publications, conference presentations, and seminars authored or co-authored by the Fellow must acknowledge support by the Northeastern University Future Faculty Fellowship Program.
-	As the Future Faculty Fellowship program is designed to help the Fellow build a research portfolio towards his/ her future academic success, Fellows are not required to teach courses at Northeastern, but may give occasional guest lectures. 
-	Fellows are encouraged to participate in grant proposal writing and in outreach activities, in additional to the customary activities of postdoctoral fellows: research, publication, and presentation. 
-	If applicable – The Northeastern University faculty member and the department chair supervising the Fellow’s host laboratory or laboratories must agree to furnish the laboratory space, laboratory supplies, and the Fellow’s access to equipment that is needed for the Fellow’s proposed research for the entire year.
-	The research project(s) to be carried out by the Fellow may be conducted in collaboration with the Northeastern University Principal Investigator(s) of the host lab(s). Fellows are especially encouraged to pursue independent research.","Must have a Ph.D. or equivalent; be able to undertake substantial full-time research or scholarship; work under the supervision of a senior scholar.  Must be a citizen or permanent resident of the US.  Must have completed their PhD no earlier than four years before the start of the NEU fellowship term.  A newly awarded Future Faculty Fellow may not be a currently employed NEU postdoctoral scholar or PhD student.
Applicants are asked to submit all materials online through the Northeastern Human Resources application system with letters of recommendation sent directly to Erinn Taylor de Barroso, Assistant Director ADVANCE at e.taylordebarroso@northeastern.edu. Incomplete submissions will not be reviewed.",
Associate Vice President - Design & Construction,STFR005385,Facilities,,Boston Main Campus,Full Time,17,04/02/2019,"The Associate Vice President – Design & Construction (AVP-DC) provides leadership of the department for the timely and successful delivery of construction and renovation projects. The AVP–DC draws on both technical expertise and significant intellectual capacity to provide effective oversight and direction. Management of construction projects of all sizes involving diverse and specialized construction, detailed technical specifications, large capital investments and long-term impact on the campus community.  Through leadership and direction of the organization, the AVP-DC will ensure that the combined professional expertise of the organization delivers innovative stewardship of projects and maximizes cooperation between the project owner, design teams, and builders from the inception of new construction and renovation projects through completion and turnover to owner.
Serving as an institutional resource for capital project delivery, the AVP will collaborate with senior academic and administrative leadership to support Northeastern’s mission and will cultivate and sustain cooperative working relationships.  The AVP will be responsible for establishing design standards.  Will be responsible for design review so that all designs will meet university standards including MEP and Architectural standards. Lead staff in all functional responsibilities of Project Management, Construction Management, Project Initiation, Construction Contracts, estimating, cost containment/management, and Design Services.
In all areas of responsibility, the Associate Vice President assesses the effectiveness of current practices, processes and systems, identifies areas for improvement, and recommends, develops and implements improvement projects to standardize professional practices, streamline processes and facilitate effective management and responsive service delivery. The AVP-DC builds strong working relationships and advocates for the Division’s interests in interactions across the University, whether acting independently or in tandem with the Vice President. The AVP- DC also participates in University committees and initiatives as assigned and represents the Division in efforts that may involve coordination, leadership and teaming beyond areas of direct responsibility and authority. The AVP-DC will develop and implement tools to monitor client satisfaction with a goal of continuous improvement.
The AVP-DC is responsible for reviewing the structure of the design, and project management to ensure the organization is aligned ensures an efficient and customer-focused organization.","Master’s degree in Architecture, Landscape Architecture, Construction Management or Engineering Management with a minimum of 10 years experience managing design and construction organizations within a research university. Registration as a Registered Architect, Professional Engineer, Certified Planner or Certified Construction Project Manager desired. Experience with Institutional Master Plan.
Other requirements include: strong leadership skills and a collaborative, service-oriented approach to work; excellent communication and interpersonal skills; experience in team building and partnering as well as staff development. Deep understanding of both the service and stewardship roles of university facilities organizations. Demonstrated sound judgment and leadership in complex, multi-tasked, and rapidly-changing problem-solving situations. Ability to set and manage priorities, create clear direction and expectations for staff and follow through to ensure achievement and accountability in the face of competing demands. Demonstrated interest in continuous client feedback, in assessing and improving project delivery process and systems. Must be articulate, diplomatic, a strategic thinker, able to mediate and collaborate with staff, administrators, faculty, and a variety of outside constituents. Ability to present effectively to all levels of constituents both internally and externally. Experience and Knowledge of Best Practices and Continuous Improvement processes related to capital construction departments and systems. Strategic ability to develop an organizational structure that fosters and supports the goals of the organization. Knowledge of E-Builder or other web-based project management information systems.
Additional Comments:
Ideally, this position is the primary back-up for the Vice President for Facilities on all strategic matters related to project delivery, project estimating, capital project budgeting and oversight. A dedicated approach to team building and professional development is essential. An ability to communicate with all levels of constituents is also required.
Key Attributes for Candidates:
•	Demonstrated success with professional staff development related to project delivery/project management
•	A team-oriented manager
•	Understands university “culture” and has outstanding communication skills with all constituents
•	Demonstrated experience with master planning process from institutional perspective
•	Deep understanding of project management and capital project delivery process",Criminal Background Check is Required
Administrative Coordinator,STFR005379,Bouve College of Health Sciences,,Burlington,Part Time,9,04/02/2019,"The responsibilities of the Administrative Coordinator for Nursing Hybrid Programs at the Burlington site are to support the efficient operations of the School of Nursing Academic Programs and to support the necessary student administrative processes for successful completion of the program.  The individual will function as a part of a team in conjunction with the faculty, staff and students at both the Boston Campus and Burlington Site.  This position serves as liaison with undergraduate specialty coordinators in review and acceptance of students in conjunction with the Program Directors.  All undergraduate course schedules and course registration will be maintained by this individual.  This involves multiple course sections with over two hundred students.  This individual will also maintain a system of records required for accreditation.  There is anticipated growth of the Nursing Hybrid Programs and an expected increase in the overall student enrollment.","This position requires an Associate’s Degree or post High School education with 3-5 years of professional administrative experience required.  Bachelor’s Degree preferred.  Higher education experience  a plus and/or experience working in a large organization or company interfacing with many departments.  Strong interpersonal skills plus initiative is required. The individual will have to work independently, have strong computer skills, be able to handle multiple responsibilities and maintain confidential matters pertinent to the academic office. The person must be organized with high attention to detail. This position requires a willingness and ability for frequent travel between the Burlington site and Boston campus.",Criminal Background check is required
IDEAS-Help & Info Coordinator,STFR005383,Library,,Boston Main Campus,Full Time,51,04/02/2019,"The Information, Delivery & Access Services Department supports Northeastern University by cultivating a welcoming environment that supports teaching, learning, and research.  IDEAS Associates provide high-quality customer service focused on helping library users navigate and access Northeastern’s physical and digital library resources and services.
Under the supervision of the Access Services Librarian, the Help & Information Desk Coordinator provides direct service at the Help & Information Desk and hires, schedules, and supervises student employees working at the Help and Information Desk.  S/he develops and maintains documentation for training and workflows, and contributes to the circulation, access and privileges, reserves, resource sharing, and collections maintenance operations of the department","Associates Degree and at least 2 years of library or relevant customer service experience required. Previous supervisory experience strongly preferred.  Creative, service-oriented problem solver. Excellent interpersonal communication skills. Must be able to work collaboratively with a large and diverse population of Northeastern faculty, staff, and students. Must demonstrate ability to make decisions using sound judgment.  Must foster and maintain a very high standard of excellent customer service.
The successful candidate will need to demonstrate knowledge of the library’s extensive collection of electronic and physical resources, its spaces, and services, in order to assist users in getting started with their research. IDEAS Staff must be aware of all library policies and procedures in order to answer users’ questions, resolve any problems, or make referrals to library subject experts as appropriate. IDEAS Staff must be culturally competent and skilled at interacting with a large international student population and be comfortable providing accommodations for library users who may have a disability.",
Sponsored Account Analyst,STFR005384,Research and Graduate Education,Not Applicable,Downtown Boston Campus,Part Time,10,04/02/2019,"Research Finance is responsible for the fiscal management of grants and contracts in accordance with government regulations, donor requirements, and University policy. Research Finance establishes new grants and analyzes and processes financial data within the Banner general ledger. Research Finance is also responsible for drawing funds from letter of credit agencies, issuing invoices to donors, and cash collections. Every Principal Investigator and College is assigned a dedicated Sponsored Account Analyst as their single point of contact. This position serves as a key resource for the financial management of Federal Contracts and complex grant awards at Northeastern. The position is expected to foster consultative relationships as well as support a professional internal environment, providing award support and training especially in the area of compliance. The Sponsored Account Analyst will exhibit a commitment to customer service. The Sponsored Account Analyst will ensure compliance with Federal, State, and University policies through applying specialized knowledge and interpreting
rules, regulations, procedures and policies from funding agencies. The individual is
expected to exercise independent judgement and discretion and take initiative in the management of grants and contracts through working collaboratively with PIs, Research Administration staff and other university personnel. Specific responsibilities will include but not be limited to conducting compliance training for new awards, award set up in Banner, monitor budgets, manage the fiscal responsibility of their assigned grant
portfolio, create ad hoc reports, resolve issues and interpret policies, interpret financial information in award documents, review and approve expenditure request documents ensuring expenditures are appropriately charged to correct accounts dependent upon grant restrictions, and close out the grant or contract in a timely manner. In order to support the functions of this position, the individual will maintain knowledge of Federal, State and sponsor policies required for proper administration of externally funded research projects; Stay abreast of sponsor rules, regulations and policy changes, as well as institutional best practices in research administration and finance. Participate in sponsored research initiatives and projects as assigned.","Bachelor’s Degree in Accounting, Finance, Business Management, Public Administration or related field required. MBA or other related master’s degree preferred.
Two years of experience working within a university business office or with federal and
non-federal grants and contracts in a post-award requirement is required. Working
knowledge of major grant administration policies, Federal Regulations (specifically
Uniform Guidance and FAR), National Science Foundation and National Institutes of Health grant policies required. Familiarity/experience with other federal funding agencies (ONR, NASA, DOE etc), Commonwealth of Massachusetts, and major foundations desired is recommended.
Must be able to manage m ultiple tasks, work collaboratively and have flexibility to adjust to changing priorities. Must have the ability to work effectively under deadline pressures/ time constraints. Must be committed to providing professional, prompt, and courteous service to assigned PIs and departments. Must be able to work effectively in a team oriented environment.
Other Skills:
Strong working knowledge of Excel required.
Ability to independently analyze accounting transactions and reconcile financial
information. Familiarity with Banner or another accounting system a plus.
Strong oral and written communication skills
Ability to independently identify, diagnose and solve problems using sound
judgment and decision-making abilities.
Critical thinking and decision making skills",
