,UserName,College,TweetFollowers,Tweet,TweetTime,Retweets,ScreenName
34,NortheasternCAMD,NU_CAMD,2204,Student project #visualizes households as galaxies at today’s NUVis Spring Demofest! https://t.co/DDDUgtLbLM,2019-04-25 18:36:41,0,NU_CAMD
35,NortheasternCAMD,NU_CAMD,2204,"Looking to escape the rain this weekend? Check out some of these exciting #film, #art, and #theatre events happenin… https://t.co/Ecx7iM3vZy",2019-04-25 18:15:04,0,NU_CAMD
36,Dan Kennedy,NU_CAMD,17127,"RT @NU_CAMD: CAMD is so proud of our @NUjournalism students, who have just swept this  year’s New England Student Emmy awards. They won in…",2019-04-25 15:16:07,9,dankennedy_nu
37,NortheasternCAMD,NU_CAMD,2204,"CAMD is so proud of our @NUjournalism students, who have just swept this  year’s New England Student Emmy awards. T… https://t.co/nyUsQCV01k",2019-04-25 15:15:05,9,NU_CAMD
38,NortheasternCAMD,NU_CAMD,2204,"#Theatre student Rebecca Morris is running shows, making programs, managing #performances, and assisting in expansi… https://t.co/AXioUfEXmD",2019-04-24 20:01:08,1,NU_CAMD
39,NortheasternCAMD,NU_CAMD,2204,New and noteworthy: CAMD's Department of #Art and #Design has added new Summer 2019 course offerings open to all gr… https://t.co/256Y0dRsr7,2019-04-24 18:15:05,0,NU_CAMD
40,NortheasternCAMD,NU_CAMD,2204,RT @Northeastern: Is coverage of presidential candidates biased against women? This @NUjournalism student digs into the data. @aleszubajak…,2019-04-24 16:14:46,9,NU_CAMD
41,NortheasternCAMD,NU_CAMD,2204,The dates for the Annual Boston International Fine #Arts Show have been announced! The show will take place from Oc… https://t.co/oodirVbiNp,2019-04-24 15:15:05,0,NU_CAMD
42,Miracle Olatunji,NU_CAMD,358,@NU_Business @TheRoot @Opportuni_Me @NU_CAMD Thank you! 💕,2019-04-24 15:13:48,0,mirolatunji
43,Miracle Olatunji,NU_CAMD,358,"RT @NU_Business: Miracle Olatunji, DMSB/CAMD'22, is recognized by @TheRoot as one of the 2019 top 25 #YoungFuturists for her business @Oppo…",2019-04-24 15:13:34,1,mirolatunji
44,D’AmoreMcKim BSchool,NU_CAMD,6018,"Miracle Olatunji, DMSB/CAMD'22, is recognized by @TheRoot as one of the 2019 top 25 #YoungFuturists for her busines… https://t.co/wBWdspuWo8",2019-04-24 14:15:06,1,NU_Business
45,NortheasternCAMD,NU_CAMD,2204,RT @ArtsinBoston: .@ArtWeekMA starts on Friday and runs through May 5! Check out this event calendar for a full list of interactive and beh…,2019-04-23 20:17:45,3,NU_CAMD
46,David Lazer,KhouryCollege,9174,"RT @Northeastern: It's time to study #machinebehavior in the same way we study humans, say @KhouryCollege researchers: https://t.co/IcVJy7I…",2019-04-25 16:35:23,1,davidlazer
47,Northeastern U.,KhouryCollege,40874,"It's time to study #machinebehavior in the same way we study humans, say @KhouryCollege researchers:… https://t.co/gLa9Yv4oHx",2019-04-25 16:30:07,1,Northeastern
48,Kati Dias,KhouryCollege,6186,RT @KhouryCollege: Northeastern University's Khoury College is excited to announce that Facebook will invest $4.2 million to expand the Kho…,2019-04-24 22:15:29,7,katidias
49,Northeastern Law Review,KhouryCollege,494,"RT @JSilbey: Facial Recognition. Wanna learn more, debate it, or hear what other smart folks have to say? Come to @NUSLclic @NUSL @KhouryCo…",2019-04-24 17:31:40,4,nulawreview
50,NUSL CLIC,KhouryCollege,2053,"RT @JSilbey: Facial Recognition. Wanna learn more, debate it, or hear what other smart folks have to say? Come to @NUSLclic @NUSL @KhouryCo…",2019-04-24 14:45:18,4,NUSLclic
51,Northeastern University Khoury College,KhouryCollege,1878,"RT @Dell4Impact: With over 1.1 million computing jobs in the U.S. slated for 2024, programs like ALIGN at @Northeastern are key to the futu…",2019-04-24 12:42:51,10,KhouryCollege
52,Leo Beletsky,KhouryCollege,7873,"RT @JSilbey: Facial Recognition. Wanna learn more, debate it, or hear what other smart folks have to say? Come to @NUSLclic @NUSL @KhouryCo…",2019-04-24 05:32:02,4,LeoBeletsky
53,NortheasternLaw,KhouryCollege,6165,"RT @JSilbey: Facial Recognition. Wanna learn more, debate it, or hear what other smart folks have to say? Come to @NUSLclic @NUSL @KhouryCo…",2019-04-24 05:29:16,4,NUSL
54,Jessica Silbey,KhouryCollege,1146,"Facial Recognition. Wanna learn more, debate it, or hear what other smart folks have to say? Come to @NUSLclic… https://t.co/ZF76r3lRQq",2019-04-23 20:03:31,4,JSilbey
55,Madeleine Estabrook,KhouryCollege,743,"RT @Northeastern: What do these pups have in common with politicians? They want your votes. @NUCSSH @KhouryCollege
https://t.co/99CXt2Fh2c",2019-04-23 01:32:06,3,VPEstabrook
56,Northeastern U.,KhouryCollege,40874,"What do these pups have in common with politicians? They want your votes. @NUCSSH @KhouryCollege
https://t.co/99CXt2Fh2c",2019-04-23 01:06:33,3,Northeastern
57,Northeastern University Khoury College,KhouryCollege,1878,Join Monish Naidu for brunch and learn about the Align Computer Science program at Northeastern University’s Seattl… https://t.co/PFxuICoVxo,2019-04-22 18:00:28,0,KhouryCollege
58,Northeastern University Khoury College,KhouryCollege,1878,RT @Northeastern: An aerial view of #Northeastern in Boston. #NUexperience https://t.co/iumNzcuaLb,2019-04-22 14:33:42,26,KhouryCollege
59,Robot&AIWorld,KhouryCollege,888,RT @RobotAndAIWorld: This #robot can play fetch. @KhouryCollege student Yuchen Xiao taught it how. @Northeastern #robotics https://t.co/euO…,2019-04-21 10:36:23,3,RobotAndAIWorld
60,Jasmine Rice,KhouryCollege,62,RT @RobotAndAIWorld: This #robot can play fetch. @KhouryCollege student Yuchen Xiao taught it how. @Northeastern #robotics https://t.co/euO…,2019-04-20 22:02:22,3,Jasmine49715571
61,Khalida Zohal Sarwari,NortheasternCOE,333,RT @Northeastern: Peer-to-peer education helped this @TrumanApp scholar and @mfw_official founder eradicate #malaria from a school in #Indi…,2019-04-25 19:40:46,1,zohalsarwari
62,Northeastern U.,NortheasternCOE,40874,Peer-to-peer education helped this @TrumanApp scholar and @mfw_official founder eradicate #malaria from a school in… https://t.co/eDG9yVBifw,2019-04-25 19:30:00,1,Northeastern
63,🇰🇼 HMZ 🌹 RM 🇰🇼,NortheasternCOE,451,RT @yousefhals: The first presentation was on my work with @PeterFurth on the crossable collector during my time at @NortheasternCOE - http…,2019-04-25 12:43:46,1,BuYousef1
64,ACS Sensors,NortheasternCOE,1317,RT @NUBioE1: Check out this new work from the Clark lab @NortheasternCOE published in @ACS_Sensors ! A DNA-based nanosensor for the photoac…,2019-04-25 11:55:12,1,ACS_Sensors
65,Daniella Bacigalupo Arce,NortheasternCOE,88,"RT @Northeastern: With his research on age-related diseases, this #Fulbright scholar may help in the development of treatments. @Northeaste…",2019-04-25 11:47:55,2,dibacigalupo
66,Khalida Zohal Sarwari,NortheasternCOE,333,"RT @Northeastern: With his research on age-related diseases, this #Fulbright scholar may help in the development of treatments. @Northeaste…",2019-04-25 00:24:29,2,zohalsarwari
67,Northeastern U.,NortheasternCOE,40874,"With his research on age-related diseases, this #Fulbright scholar may help in the development of treatments.… https://t.co/6x70TiCdhe",2019-04-24 23:30:00,2,Northeastern
68,Chemical Engineering at Northeastern University,NortheasternCOE,619,"Check out Bradley Priem, BS, Chemical Engineering, in this wonderful video by @NortheasternCOE highlighting his co-… https://t.co/YpcwObJrU4",2019-04-24 13:26:12,0,NU_ChemE
69,Yousef,NortheasternCOE,441,The first presentation was on my work with @PeterFurth on the crossable collector during my time at… https://t.co/zc9WcIEwRJ,2019-04-23 18:30:22,1,yousefhals
70,Northeastern COE,NortheasternCOE,1584,"#Repost northeasternsop (get_repost)
・・・
PharmD Student Danny Jooyoung Kim and Vidhan Bhaiya of @NortheasternCOE re… https://t.co/8URESSd0Ci",2019-04-23 18:11:39,0,NortheasternCOE
71,Northeastern COE,NortheasternCOE,1584,"Congratulations

#Repost flyingtigers355 (get_repost)
・・・
Congratulations to Cadet Evelyn Soon! Last Friday the Arm… https://t.co/OZSY4jv0Q5",2019-04-23 15:15:14,0,NortheasternCOE
72,Entegris,NortheasternCOE,1019,"This week's #Entegris co-op spotlight features Mo Dong, #IndustrialEngineering student, Class of 2019.… https://t.co/p2egwba7nJ",2019-04-23 14:04:02,0,Entegris
73,Northeastern COE,NortheasternCOE,1584,"Bradley Priem, BS, Chemical Engineering, had two co-ops that gave him the ability to delve into a particular indust… https://t.co/6buDPt7vRk",2019-04-23 14:02:37,0,NortheasternCOE
74,NU_Bioengineering,NortheasternCOE,78,Check out this new work from the Clark lab @NortheasternCOE published in @ACS_Sensors ! A DNA-based nanosensor for… https://t.co/usy0ANxWWh,2019-04-23 14:01:26,1,NUBioE1
75,Sara Rouhanifard,NortheasternCOE,855,RT @NUBioE1: Check out this thread about work done in the Fang lab! @SPIEtweets @FangQ @NortheasternCOE @ResearchAtNU https://t.co/xzZ9hllY…,2019-04-19 18:05:22,4,SRouhanifard
76,John Gruppo,NortheasternCPS,322,@Chris_Grosse @cannonjw @WillYoder @YPSportsChat @NACMANews @frntofficesport A great list to share with my #LDR6443… https://t.co/UwnvEoXGUZ,2019-04-25 23:22:36,0,JohnGruppo
77,Northeastern CPS,NortheasternCPS,3916,Attend the virtual keynote by Dr. Alison Cook-Sather of Bryn Mawr at Northeastern’s Conference for Advancing Eviden… https://t.co/qiwzhqR1Ty,2019-04-25 16:44:11,1,NortheasternCPS
78,Jay Rosenzweig,NortheasternCPS,3143,RT @alizalakhani: Toronto and Boston sports leadership in action with a visit from @DrRobertPrior to discuss #NUSportsLeadership @Northeast…,2019-04-25 15:52:32,4,JayRosenzweig
79,Bakyt Beshimov,NortheasternCPS,1884,We discussed the U.S. diplomacy in Trump era in 2018 at the @NortheasternCPS panel and assumed that these kind of c… https://t.co/1gKdSpyI1D,2019-04-25 15:32:27,1,bakytbeshimov
80,The GM's Perspective,NortheasternCPS,1123,RT @PamWojnar: Excited for the possibilities of a future institute in Toronto.   #NUSportsLeadership @NortheasternCPS @Northeastern @Northe…,2019-04-25 10:36:43,1,devonteeple
81,Pamela Wojnar,NortheasternCPS,210,Excited for the possibilities of a future institute in Toronto.   #NUSportsLeadership @NortheasternCPS… https://t.co/nwK9qD63KI,2019-04-24 23:17:15,1,PamWojnar
82,Aliza Lakhani,NortheasternCPS,899,@evgren @DrRobertPrior @NortheasternCPS Go raptors 🤞🏽,2019-04-24 17:26:43,0,alizalakhani
83,Northeastern CPS,NortheasternCPS,3916,RT @alizalakhani: Toronto and Boston sports leadership in action with a visit from @DrRobertPrior to discuss #NUSportsLeadership @Northeast…,2019-04-24 16:54:44,4,NortheasternCPS
84,Evan Grenier,NortheasternCPS,350,@alizalakhani @DrRobertPrior @NortheasternCPS It's nice to see they can still be civil after the game last night...,2019-04-24 16:49:48,0,evgren
85,NU Communication + Digital Media + HRM,NortheasternCPS,135,"@NortheasternCPS new MS in HRM focuses precisely on skills identified in this survey: people analytics, workforce p… https://t.co/E9rVwp8r7n",2019-04-24 15:54:12,0,CPSComm
86,Northeastern Toronto,NortheasternCPS,579,RT @alizalakhani: Toronto and Boston sports leadership in action with a visit from @DrRobertPrior to discuss #NUSportsLeadership @Northeast…,2019-04-24 15:50:18,4,Northeastern_TO
87,Aliza Lakhani,NortheasternCPS,899,Toronto and Boston sports leadership in action with a visit from @DrRobertPrior to discuss #NUSportsLeadership… https://t.co/BJp72Sy8lU,2019-04-24 15:49:41,4,alizalakhani
88,Stephen Amato,NortheasternCPS,346,Excellence in @NortheasternCPS global regulatory affairs - from @Northeastern Faculty Member @DarinDetwiler… https://t.co/CGFCe8AiLm,2019-04-24 14:22:47,0,biobizdoc
89,Northeastern CPS,NortheasternCPS,3916,"RT @DrLydiaYoung: It’s time! Register now for the 2019 NExT Summer Convening in Boston  https://t.co/yBwxzL79nA
#NUNExT https://t.co/dN6qpo…",2019-04-24 12:52:53,4,NortheasternCPS
90,Northeastern CPS,NortheasternCPS,3916,RT @GFSRCentre: Dr. Darin Detwiler provides some prevention tips and insights into how you can learn from other companies’ mistakes by foll…,2019-04-24 12:52:36,2,NortheasternCPS
91,Northeastern COS,NortheasternCOS,1569,Does commercial fishing increase dissolved matter in freshwater? Doctoral candidate Kevin Ryan is taking his Fulbri… https://t.co/8FZ1RrgQq8,2019-04-25 21:08:00,0,NortheasternCOS
92,Daniella Bacigalupo Arce,NortheasternCOS,88,"RT @Northeastern: With his research on age-related diseases, this #Fulbright scholar may help in the development of treatments. @Northeaste…",2019-04-25 11:47:55,2,dibacigalupo
93,Angela J. Teagan,NortheasternCOS,14,RT @PhysicsNEU: Congratulations @Laneca89 for receiving @NortheasternCOS Dean's award for Graduate Student Excellence in Research! https://…,2019-04-25 01:22:42,1,glucicinsi
94,Khalida Zohal Sarwari,NortheasternCOS,333,"RT @Northeastern: With his research on age-related diseases, this #Fulbright scholar may help in the development of treatments. @Northeaste…",2019-04-25 00:24:29,2,zohalsarwari
95,Northeastern U.,NortheasternCOS,40874,"With his research on age-related diseases, this #Fulbright scholar may help in the development of treatments.… https://t.co/6x70TiCdhe",2019-04-24 23:30:00,2,Northeastern
96,Northeastern COS,NortheasternCOS,1569,“We’re learning how the cell makes DNA accessible and we’re doing it by imitating the process of pulling it apart” https://t.co/GvT36Lz5w0,2019-04-24 18:21:05,1,NortheasternCOS
97,Northeastern COS,NortheasternCOS,1569,75% of Northeastern PreMed students are enrolled at the College of Science. Hear about their experience first hand: https://t.co/HnYehcslwy,2019-04-23 17:15:09,0,NortheasternCOS
98,Northeastern U.,NortheasternCOS,40874,"At @RepublicRecords, this student on co-op was a #Sucker for a good secret: the @jonasbrothers reunion.… https://t.co/6ScDprCLFv",2019-04-23 16:13:00,0,Northeastern
99,Northeastern COS,NortheasternCOS,1569,"RT @PresidentAoun: The next stop for @Northeastern student Isaac Kresse? #Germany, where he will explore the role of proteins in age-relate…",2019-04-23 13:04:45,4,NortheasternCOS
100,Northeastern COS,NortheasternCOS,1569,"Congratulations to Zoe Bishop, biochemistry, for receiving a Fulbright Scholarship to teach English in South Korea! https://t.co/tKvPJpL83s",2019-04-23 00:39:01,0,NortheasternCOS
101,Northeastern COS,NortheasternCOS,1569,"RT @Northeastern: 📍: 🇻🇨 St. Vincent and the Grenadines
 
This @NortheasternCOS major participates in #poverty reduction, #environmental con…",2019-04-22 19:00:36,1,NortheasternCOS
102,Northeastern U.,NortheasternCOS,40874,"📍: 🇻🇨 St. Vincent and the Grenadines
 
This @NortheasternCOS major participates in #poverty reduction,… https://t.co/3qBB60yUVu",2019-04-22 19:00:06,1,Northeastern
103,NU Gov't Relations,NortheasternCOS,1839,"With a 2019 Guggenheim Fellowship and a new book on the horizon, @NortheasternCOS Prof. @LFeldmanBarrett is looking… https://t.co/Is1neBRdmu",2019-04-22 17:40:31,0,TIMatNUGov
104,Northeastern COS,NortheasternCOS,1569,"In honor of Earth Day, find out how Northeastern is working towards a more sustainable future https://t.co/wL2ldCuGrO",2019-04-22 17:10:07,0,NortheasternCOS
105,Northeastern U.,NortheasternCOS,40874,"In a sea of #neuroscience myths, @LFeldmanBarrett can tell fact from fiction. @NortheasternCOS @GuggFellows 
https://t.co/RHJoW33wPF",2019-04-22 15:59:00,1,Northeastern
106,Beth Huebner,NUCSSH,1110,"RT @UMSL_CCJ: New study analyzes officers’ self‐reported accounts of their enforcement activities, justifications, and decision‐making in o…",2019-04-25 19:19:48,1,bethtris
107,John Wihbey,NUCSSH,2081,RT @jenniecstephens: Important piece reclaiming the term “smart cities” by my colleague Dan O’Brien director of @BARIboston @NU_PolicySchoo…,2019-04-25 19:14:40,2,wihbey
108,Global Resilience Institute,NUCSSH,866,RT @jenniecstephens: Important piece reclaiming the term “smart cities” by my colleague Dan O’Brien director of @BARIboston @NU_PolicySchoo…,2019-04-25 19:12:58,2,Resilience_NU
109,Jennie C. Stephens,NUCSSH,399,Important piece reclaiming the term “smart cities” by my colleague Dan O’Brien director of @BARIboston… https://t.co/P5scv9jRYY,2019-04-25 19:12:29,2,jenniecstephens
110,UMSL_CCJ,NUCSSH,128,"New study analyzes officers’ self‐reported accounts of their enforcement activities, justifications, and decision‐m… https://t.co/L7SL2VhQCH",2019-04-25 19:04:00,1,UMSL_CCJ
111,Andy Imparato,NUCSSH,18381,"RT @Northeastern: ""Disability based knowledge profoundly shaped American culture,"" says health humanities researcher @SariAltschuler. @NUCS…",2019-04-25 18:59:21,6,AndyAUCD
112,ServerlessSUMMIT,NUCSSH,8966,RT @CRM_CWS_Cloud: Northeastern University AI to Exhibit at CloudEXPO | @Northeastern @NUCSSH #AI #AIapplied #Northeastern #ArtificialIntel…,2019-04-25 16:58:01,4,KubeSUMMIT
113,DevOpsSUMMIT,NUCSSH,18490,RT @CRM_CWS_Cloud: Northeastern University AI to Exhibit at CloudEXPO | @Northeastern @NUCSSH #AI #AIapplied #Northeastern #ArtificialIntel…,2019-04-25 16:57:11,4,DevOpsSummit
114,DXWorldEXPO ®,NUCSSH,29176,RT @CRM_CWS_Cloud: Northeastern University AI to Exhibit at CloudEXPO | @Northeastern @NUCSSH #AI #AIapplied #Northeastern #ArtificialIntel…,2019-04-25 16:56:08,4,BigDataExpo
115,CloudEXPO ®,NUCSSH,73637,RT @CRM_CWS_Cloud: Northeastern University AI to Exhibit at CloudEXPO | @Northeastern @NUCSSH #AI #AIapplied #Northeastern #ArtificialIntel…,2019-04-25 16:54:41,4,CloudExpo
116,David Lazer,NUCSSH,9174,"RT @Northeastern: It's time to study #machinebehavior in the same way we study humans, say @KhouryCollege researchers: https://t.co/IcVJy7I…",2019-04-25 16:35:23,1,davidlazer
117,Northeastern U.,NUCSSH,40874,"It's time to study #machinebehavior in the same way we study humans, say @KhouryCollege researchers:… https://t.co/gLa9Yv4oHx",2019-04-25 16:30:07,1,Northeastern
118,Disability Awareness,NUCSSH,3332,@SariAltschuler @Northeastern @Wellesley @NUCSSH Absolutely - anything we can do to bring awareness to the subject.… https://t.co/MWbgn9IJgU,2019-04-25 13:52:01,0,The_CDA
119,Carol Harnett,NUCSSH,3333,"RT @The_CDA: Sari Altschuler, an assistant professor of English at @Northeastern was awarded a @Wellesley fellowship, is working on new boo…",2019-04-25 13:24:17,1,carolharnett
120,Northeastern CSSH,NUCSSH,1976,"RT @nu_sccj: We love an old-fashioned print newspaper, but we love it more when they feature @NU_SCCJ alumni! Dodi… https://t.co/aJiIUFHJnr",2019-04-25 13:01:38,3,NUCSSH
121,Maggelaag,NU_Business,66,"RT @Gelkinghe: Juridische intimidatie door PepsiCo van Indiase boeren die 'haar' aardappelen verbouwen:
https://t.co/Zk9FkrLEeT
Pepsi zoop…",2019-04-26 11:18:31,1,Maggelaag
122,Jimi Hendrix,NU_Business,1597,@mukaseTv Pls pls this is not for u. The ppl that are business nu they don’t have one for twitter like us,2019-04-26 11:03:44,0,ogoeric
123,Dick van Schalkwijk,NU_Business,151,"RT @VSA_Almere: Onze 12 sporters in maar liefs VIER Business Relay teams zijn nu ook officieel ingeschreven. Het inschrijfgeld is voldaan,…",2019-04-26 10:57:40,2,DvanSchalkwijk
124,INTO business,NU_Business,2167,Meld je aan voor de SPARK Speed-Meet #Leiden INTO business https://t.co/W2xZ86zUyC,2019-04-26 10:38:25,0,INTObusiness
125,Dr. Abida Khanam,NU_Business,0,https://t.co/JFG2s7TZW3,2019-04-26 10:34:08,0,DrAbidaKhanam1
126,nzherald,NU_Business,293324,"Spark, Ryman drop as Blue-chips fall off the pace
 https://t.co/YGVw6DvGjz",2019-04-26 10:00:13,0,nzherald
127,データのじかん,NU_Business,1831,"【第４回】自ら気づき、行動できるようになることが BIによる「データ」活用の目的

https://t.co/0rYPrncpgW #データのじかん",2019-04-26 09:48:05,0,datanojikan
128,ぬ魔王・APTX4869誤飲,NU_Business,177,"RT @NewsPicks: 10連休後に新入社員が辞めてしまう職場、10の共通点：Business Insider Japan
https://t.co/d6eHwv9oIv",2019-04-26 09:45:57,8,_nu_ma
129,nzherald,NU_Business,293324,Mad Butcher Albany placed into liquidation https://t.co/DqyPccdEqV,2019-04-26 09:40:05,0,nzherald
130,Harry Perton,NU_Business,972,"Juridische intimidatie door PepsiCo van Indiase boeren die 'haar' aardappelen verbouwen:
https://t.co/Zk9FkrLEeT
Pe… https://t.co/tWFJn2wb6O",2019-04-26 09:33:17,1,Gelkinghe
131,nzherald,NU_Business,293324,"Medicinal cannabis firm Pure Cann New Zealand gets $6 million investment
https://t.co/eEdZoAM75m",2019-04-26 09:20:06,0,nzherald
