"title","company","location","description","salary","link"
"Senior Software Engineer (Control Panel Team)","AWeber","Chalfont, PA","The Control Panel is the core application that AWeber customers use and love. From the home page dashboard to subscriber management, we build the tools that give life to the relationship between our customers and their fans. The more context we can provide around the subscriber, the better we connect our customers with the people who love their products. We also become the focal point for key foundational pieces whether it's the look and feel of the entire app to platforms that are used by all teams.

We're finding new ways to organize and make our customers feel more secure in ways that will truly innovate in the industry, as we've substantially expanded the ability to tag subscribers while also making material UI changes throughout our product to provide the modern look and feel our customers expect.

About You
You're an experienced software engineer who sets the performance bar high for yourself and engineers around you. You've developed in greenfields and artfully navigated legacy code, all while delivering product consistently to the delight of your customers. You've experienced failure, recognized your mistakes, course-corrected, and succeeded. You have a passion for technology, and view what you do as a craft. You enjoy working with open source software, toolchains, systems, and databases, and are always seeking out new solutions to difficult problems in technology. Where those solutions are found lacking, you contribute, and occasionally build your own. You thrive in environments where technological and innovative velocity is high, and embrace the pace of challenging sprints.

About Us
Located in Chalfont, PA (Bucks County) - AWeber's engineering team is a dynamic and exciting place to be. We use open source technologies like PostgreSQL, Python, Redis, Ansible, Docker, Kubernetes, and RabbitMQ. We use approaches to software quality like Test-Driven Development, Continuous Deployment, and a healthy addiction to metrics that give us insight into our applications, and how well they're serving our customers. We have a mode of execution built around Kanban, and a Kaizen culture of continuous improvement. We believe in the kind of transparency, processes, data sharing, collaboration, and communication that foster a thriving culture.

Requirements
5+ years experience delivering code & projects in a production environment
Expertise in Python and related tool chains (pip, distribute, fabric, virtualenv)
Strong Perl and PHP skills
Experience with UNIX development tools (make, shell scripting)
Prior development with Document Oriented databases (MongoDB) and SQL (PostgreSQL)
Experience with caching strategies utilizing memcache, Redis, or other caching layer components
Experience in deploying to AWS or other cloud-based infrastructure services
Support and grow Test Driven Development (TDD) methodologies
Assertive with effective communication skills
Exposure to Agile, XP, Kanban, etc
Responsibilities
Design and develop web based services like AWeber.com, and others
Contribute to the evolution of open source components within our technology stack
Contribute to legacy code base (slated to be retired over the next 18 months) written in Perl and PHP
Develop, advance and maintain our current suite of APIs
Recommend and implement capacity and performance optimization
Integrate new tools into our processes and suggest new ways of improving systems
Provide, on an engineering-wide rotational basis, 24x7 coverage for the production environment
Mentor to more junior engineers
Benefits
100% Company Paid premiums for medical, dental, vision, insurance. (including domestic partner benefits).
Company Paid Short Term Disability Insurance.
Company Paid Life Insurance.
Tuition reimbursement.
Fully Reimbursed Gym Memberships.
Paid time off.
Paid holidays.
Shuttle to/from local SEPTA station.
401K retirement benefits with company match.
Profit Sharing.
Free lunches every day.
Break rooms stocked with soda, juices, coffee and teas.
MacBook Pro laptops and 27"" monitors.
Multiple high definition theater rooms fully equipped with Xbox, Wii & Blu-Ray players.
A game room with competition billiard, foosball, and ping-pong tables.","$79K-$133K (Glassdoor est.)",""
"Senior Software Engineer","Infoworks","Palo Alto, CA","Infoworks is growing! We are building our US Engineering team.You get to work on a state-of-the-art Data Engineering Platform - Infoworks Autonomous Data Engine, that is deployed by some of the largest companies in the world to run business critical decision systems. (this can be much stronger). We're looking for an Engineer who can find creative solutions to cutting edge big data problems. Person should be able to design, enhance and maintain our product pipeline by using existing open source technologies or by extending them.

What You'll Do
Gather and process raw data at scale from diversified enterprise sources into Hadoop.
Build enterprise business analytics and reporting applications on Hadoop.
Develop platform services to operate the big data applications at scale.
What We're Looking For
3-6 years of experience in Software Development with 1+ years working on scalable distributed systems
Strong expertise in Java
Strong problem solving and programming skills
Should have a bachelors or masters degree in Computer Science / Information Technology / equivalent
Excellent oral and written communication skills
Motivated towards working in a startup environment
Preferred skills
Experience with BigData technologies (one or more of Map-Reduce, Hive, Pig, Tez, Spark, Sqoop)
An educational background from a college of repute
Full stack experience
Expertise in Node.js or Meteor Platform
Expertise in Python
Why Infoworks?

We have an amazing culture of brilliant minds and extraordinary execution. This is the right place at the right time to join a game-changing Big Data agile solution that is needed by practically every business.

Infoworks agile data engineering software automates and accelerates modern data analytics projects. Using a code-free environment, Infoworks allows organizations to quickly create and manage data workflow processes from source to consumption. Customers deploy projects to production within days, dramatically increasing analytics agility and time to value. Founded in 2014 and headquartered in Palo Alto, we are funded by NEA, Centerview Capital Technology, Nexus Venture Partners, and Knoll Ventures.","",""
"Computer Vision Scientist/Engineer-Perception","Baidu USA","Sunnyvale, CA","Baidu USA, located in Silicon Valley, is looking for world-class engineers to join its IDG team a.k.a Intelligent Driving Group. The IDG team is aiming to develop advanced autonomous driving technologies which will let us transform mobility and improve the lives of billions of people. We are looking for a scientist/engineer with the strong computer vision and machine learning background to build one of the advanced autonomous driving systems in the world. He or she will be pushing the autonomous driving system from prototype towards volume production.

Here's what you will do:
Work with world-class talented group of software engineers and scientists to design and implement cutting edge autonomous driving technologies.
Train machine learning and deep learning models on a computing cluster to perform visual recognition tasks, such as segmentation and detection.
Enjoy access to large scale autonomous driving proprietary data, run experiments, learn, iterate, and ship
Here's what we'd like to see in you:
Strong academic or industry background on computer vision including image processing, deep network, SLAM, and detection/tracking
Strong understanding of machine learning: you should be familiar with the process (data collection, training, evaluation, and making iterative improvements) of building effective learning systems.
Strong ability to write to write high quality code in C++.
Experience with at least one main stream deep learning frameworks, including TensorFlow, Caffe(2), MXNet, PyTorch.
Experience with GPU programming languages including CUDA or openCL.
Strong engineering practices, debugging/profiling skills, familiarity with multi-threaded programming.
Experience in autonomous driving is a strong plus.
MS or PhD degree in Computer Science, similar technical field of study or equivalent practical experience.
Culture fit:
Mission alignment: If you want to be part of Baidu IDG to accomplish our audacious mission, we will provide you with the best possible platform to do that.
Self­-directed: We work best with people that are driven, motivated, and aspire to greatness. Are you the sort of person that, if you had time on your hands, will independently find interesting ways to push the envelope?
Hungry to learn: We are eager to see you learn new skills and grow. But learning is hard work and this is something we hope you want to do.
Team orientation: We work in small, fast­-moving teams. We don't believe in lone wolves. We watch out for each other and go after big goals together as a team.","$74K-$128K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1011&ao=388963&s=58&guid=0000016a342360e69e0585ecc47533d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_601de8f9&cb=1555652996635&jobListingId=2563107515"
"Sr. Software Engineer - ML, AI, Backend","Concerto HealthAI","New York, NY","About Concerto HealthAI

Concerto HealthAI is the leading provider of precision health clinical and commercial real-world data and AI solutions to the global pharma community and across the broader healthcare landscape. Our mission is to accelerate drug development, clinical trials, and HEOR analytics to dramatically improve patient outcomes.
Concerto HealthAI is part of a select set of companies backed by SymphonyAI Group (SAI) the largest AI-focused investment firm in the world, which was founded and is led by Dr. Romesh Wadhwani, a highly successful serial tech entrepreneur, investor, and philanthropist. Dr. Wadhwani has committed $1 billion in capital to build SAI’s portfolio companies into global leaders that deliver extraordinary new value across diverse industries.

Role Summary

The Senior Software Engineer will be responsible for designing, implementing, and maintaining software that powers our data operations, production analytics (AI/ML/DS), and products. The focus of this role is on backend, ML, algorithms, and DevOps, but data science experience is very much desired, and API development is a plus as well. You will also collaborate with data scientists on prototypes and productization of ML workflows, with an emphasis on scalability and robustness.
Responsibilities
Develop and maintain production ML pipelines, largely in python / pyspark / tensorflow, but potentially other languages as well (Java, Scala).
Employ various design principles (patterns, UML) and programming paradigms (OOP, Functional).
Write documentation (inline & external) and test suites. Manage codebase: pull requests, and resolve merge conflicts.
Design algorithms and solve complex AI/ML/CS problems.
Apply ML/AI algorithms using high level libraries, but also modify and implement from scratch when necessary.
Evaluate current research and possible applications to our work, and assist data scientists in model development.
Collaborate with other data scientists, domain experts, and product specialists.
Build REST APIs.
Requirements
MS or PhD in Computer Science, Electrical Engineering, Mathematics, Statistics, or related field with 3+ years of full-time work experience, or BS degree holder with 6+ years of full-time work experience.
Fluent in Python, and Java.
Familiar with C/C++ and Javascript.
Knowledge of advanced CS techniques and ML/AI: neural networks, basic ML (SVM, K-Means, Bayesian classifiers, etc), ensemble models, NLP, stochastic optimization, and search.
Experience with ML + BigData environments.
Experience with parallel computing: concurrency, distributed computing (Spark/Kafka/SparkStreaming).
Experience with SDLC (version control, deployment, sprint).
Experience with RDBMSs and cloud data warehouses (BigQuery, RedShift).
Learn More About Concerto HealthAI

Concerto HealthAI is transforming how healthcare is delivered and dedicated to improving patient outcomes in oncology by offering innovative solutions on how data and intelligence is used to solve healthcare problems. We are creating something special in our culture, by building a collaborative, engaged, patient focused, team approach to our mission. Our high performance teams are looking to add great talent to the mix and we are hiring for the right mix of new skills and diverse mindset. Learn more about Concerto HealthAI at www.concertohealthai.com , or follow us on LinkedIn.","","https://www.glassdoor.com/partner/jobListing.htm?pos=1012&ao=543652&s=58&guid=0000016a342360e69e0585ecc47533d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b1ec60f2&cb=1555653003884&jobListingId=3101469712"
"Senior Software Engineer - Messaging Router","Spok","Eden Prairie, MN","Go behind the scenes in Spok's Eden Prairie, MN office by watching this video: Transforming an Industry. You'll learn about the solutions Spok develops, and why collaborating to build them means so much to our employees. You'll also get a feel for our company culture of collaboration, and the underlying beliefs, values, and people that make Spok a great place to work.

Position Summary:

The Senior Software Engineer (SSE) is a member of a highly-motivated team. This role will develop, enhance, and sustain innovative solutions to improve the customer experience. The SSE will implement complex software in accordance with project requirements, UX design, and industry best practices. The SSE will also review designs and participate in meaningful collaboration sessions on how to solve customer problems and participate in determining scope for new projects. The SSE will own and components of the architecture and direct the work of other team members.

Essential Duties and Responsibilities:
Lead Scrum team to develop Spok’s new native software that will be a key component of our product offering.
Code, test, debug, document and maintain software applications using established coding standards and methodologies.
Participate in Scrum activities, perform code reviews, contribute to a high performing, growing team.
Own component(s) of the architecture and direct the work of other team members.
Ensure new software meets quality standards through writing unit and automated tests.
Troubleshoot, debug, resolve product issues as they arise.
Assist in designing interfaces to improve the user experience.
Support the application lifecycle (concept, design, test, release and support). Follow established development, documentation, testing and deployment processes.
Gather requirements and suggest solutions; serve as an integrator between business needs and technology solutions.
Collaborate with product development team to plan new features.
Participate in planning and scoping meetings for future projects.
Work cross functionally to resolve complex customer problems.
Responsible for managing and maintaining project and work backlog; able to re-prioritize tasks as the business deems appropriate.
Stay current with new technology trends.
Other duties may be assigned.
Qualifications:

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Education and/or Experience:
Bachelor's degree from four-year college or university and 4 years’ experience or Master’s Degree in Computer Science and 2 year’ experience; or comparable experience and/or training; or equivalent combination of education and experience. BS in Computer Science preferred.
Desired Skills:

•Strong experience as a Full Stack Software Engineer

•Strong Experience with .NET and C#

•Experience with XML and JSON

•Experience with Python, PHP

•Experience with WCTP, SMTP, SNPP, SMPP, TAP, TNPP protocols

•Experience with API Gateway

•Experience with AWS IoT

•Experience with mySQL, DynamoDB

•Experience writing tests that exercise Cloud based/SaaS applications.

•Understanding Java is a plus

•Understanding of BPMN, DMN, CMMN is a plus

•Understanding of HL7 protocol is a plus

•Understanding of ElasticSearch is a plus

•Understanding of Docker is a plus

•Experience working on an Agile development team

•Experience working in a Healthcare/clinical environment

•Ability to identify, own, and solve problems independently or as part of a team

Spok, Inc., a wholly owned subsidiary of Spok Holdings, Inc. (NASDAQ: SPOK), headquartered in Springfield, Virginia, is proud to be a global leader in healthcare communications. We deliver clinical information to care teams when and where it matters most to improve patient outcomes. Top hospitals rely on the Spok Care Connect® platform to enhance workflows for clinicians, support administrative compliance, and provide a better experience for patients. Our customers send over 100 million messages each month through their Spok® solutions. Spok is making care collaboration easier. For more information, visit spok.com or follow @spoktweets on Twitter.","$76K-$129K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1013&ao=507437&s=58&guid=0000016a342360e69e0585ecc47533d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_91c5d311&cb=1555653011144&jobListingId=3088364699"
"Senior Software Engineer","WSECU","Olympia, WA","We look forward to reviewing your application!All applicants must include a resume.
Visa sponsorship not available.
Contact us at 1-800-562-0999 ext. 11111 with any questions.We are an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, national origin, ancestry, sex, age, physical or mental disability, veteran or military status, genetic information, sexual orientation, gender identity, marital status, or any other legally recognized protected basis under federal, state or local law.

This position is a member of the agile team that contributes to the success of WSECU by partnering with business customers to deliver integrated software solutions and automation. As a member of the team, you will provide technical guidance for internal customers and team members in the areas of SharePoint development and administration, software integration, and workflow automation. The automation engineer should possess a high degree of knowledge on software engineering and integration, strong communication skills, and experience in consulting various customers leading them from idea to delivering business value by creating timely and effective software and automation solutions.

We are looking for a candidate that is passionate about technology, learning our business, and working in a collaborative team environment to help contribute to the success of our organization. Possessing a learning mindset to grow your existing technology and business expertise is a must. This position will have a great opportunity to contribute to and influence WSECU’s workflow and automation processes and architectures that provide business value by serving our credit union teammates and members. This position reports to the Director of IT Solutions.

Your day may include:
Partnering as the technical advisor with lines of business to gather requirements for automation solutions, leveraging our vendor toolkits and in-house development
Developing workflows, surveys, and team site templates that LOB users can leverage for their specific business needs
Developing process automation solutions that leverage our integration strategy, standards, and architecture while adhering to Continuous Integration\\Delivery (CI\\CD) best practices
Being the technical lead for the SharePoint roadmap, projects, platform, process automation solutions, development and integrations
Using SharePoint Framework, REST, Add-ins, webhooks and other industry integration solutions
Delivering end-to-end (UI to DB) development, testing and deployment of SharePoint solutions
Ensuring all SharePoint development is under TFS code control and release management
Provisioning and configuring SharePoint security, solutions, features, sites, libraries, forms, workflows, metadata, web parts, and master pages
Partnering with Infrastructure and Data Services teams to support and monitor the SharePoint environment
Understanding and experience software development methodologies and project management processes (Agile, Scrum, Waterfall, etc.)
Understanding and application of the software development lifecycle, best practices and development toolsets (Source Control, IDE’s, Change management, Release Management Testing Frameworks)
Creating clear and precise documentation
What you might bring to the team:
BS degree in Computer Science or closely related field or related experience may be substituted year for year for academic achievement
Minimum five (5) years of experience including implementing, maintaining and architecting enterprise solutions using Microsoft SharePoint Server
Expertise in building enterprise level software solutions, integrations, and automation that are highly scalable, flexible and configurable.
Strong coding skills in object-oriented programming, C#, JavaScript, jQuery, HTML, CSS
Strong experience in SharePoint Server Side, Client-Side Object Model, Databases and APIs
Strong experience in SharePoint Designer Workflows
Strong experience in ASP.NET/MVC/REST/OData/MVC/CDN/Bootstrap
Solid understanding of Microsoft SQL Server and SQL programming
Experience of working with SharePoint App model (provider hosted and /or SharePoint hosted)
Experience in using Visual Studio, Microsoft Team Foundation Services, Git source control and related CI\\CD toolsets
Excellent troubleshooting and debugging skills
Well-developed oral and written communication, human relation and problem-solving skills
Bonus points if you have:
Ability to use formulas, perform calculations and link items in Excel
Project management experience
Credit union or financial services experience
Where it’s located: Corporate office in Olympia
When you’d work: Exempt position, Monday – Friday, 8 AM – 5 PM, with scheduling flexibility
How much you’ll earn: DOQ plus an excellent benefits package!

Ind1","$77K-$132K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1014&ao=502854&s=58&guid=0000016a342360e69e0585ecc47533d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3b0d4c66&cb=1555653017404&jobListingId=3124568925"
".NET/C# Senior Software Engineer","TSYS","Broomfield, CO","Every day, the people of TSYS® and Netspend® improve lives and businesses around the globe through payments. We make it possible for millions of people to move money between buyers and sellers using our payments solutions including credit, debit, prepaid and merchant services. We are ""People-Centered Payments"", and our team has the unique opportunity to help create a world in which payments make people's lives easier and better. This is both a tremendous honor and an important responsibility for those who accept the challenge. If you are looking to make a valuable difference for people everywhere and for yourself we may have the right place for you.

Summary of This Role

Create, design, code, debug, maintain, test, implement and validate applications and collaborate and communicate with appropriate parties. Analyze existing applications or formulate logic for new applications, devise logic procedures, prepare flowcharting, perform coding and debug programs. Maintain and utilize application and programming documents in the development of code. Recommend changes in development, maintenance and system standards. Create appropriate deliverables and develop application implementation plans throughout the life cycle.

What Part Will You Play?
Collaborates with business and technology teams to develop basic to moderately complex code for internal and external client software solutions. Designs, creates, and delivers routine to moderately complex program specifications for code development and support on multiple projects/issues with an advanced understanding of the application and/or area as it relates to assigned projects and how the functional area interacts with other functional areas.
Performs corrective measures for moderately complex code deficiencies and escalates alternative proposals.
Analyzes, modifies, and develops moderately complex code/unit testing in order to develop concise application documentation. Performs testing and validation requirements for basic to moderately complex code changes. Applies a full understanding of procedures, methodology and application standards to include Payment Card Industry (PCI) security compliance.
Provides support to leadership for the design, development and enforcement of business/infrastructure application standards to include associated controls, procedures and monitoring to ensure compliance and accuracy of data.
Conducts and provides basic billable hours and resource estimates on initiatives, projects and issues.
Assists with on-the-job training and provides guidance to other developers.
What Are We Looking For in This Role?

Minimum Qualifications
Bachelor's Degree
Relevant Experience or Degree in: Computer Science, Management Information Systems, Business or related field
Typically Minimum 4 Years Relevant Exp
Four-year college degree and 4+ years professional experience, or a high school diploma with 6+ years professional experience in coding, designing, developing and analyzing data
Preferred Qualifications
Typically Minimum 4 Years Relevant Exp
IBM Rational Tools
What Are Our Desired Skills and Capabilities?
Skills / Knowledge - A seasoned, experienced professional with a full understanding of area of specialization; resolves a wide range of issues in creative ways. This job is the fully qualified, career-oriented, journey-level position.
Job Complexity - Works on problems of diverse scope where analysis of data requires evaluation of identifiable factors. Demonstrates good judgment in selecting methods and techniques for obtaining solutions. Networks with senior internal and external personnel in own area of expertise.
Supervision - Normally receives little instruction on day-to-day work, general instructions on new assignments.
JAVA Specifics - Java, Struts, JSP, J2EE, Eclipse IDE, Spring, Ibatis, Cucumber, Jbehave, Selenium, Bootstrap, MQ, Web Services, EJB Security, Transactions, ANT, AXIS
.NET Specifics - C#, VB.NET, ASP.NET, MVC, Entity Framework, Visual Studio, SSRS, Enterprise Library
N-Tier Architecture, software design patterns and practices, and proficient in HTML, CSS, and JQuery/JavaScript
XML / XSLT and WCF Web Services
Good to have?
.NET Core, Containers, CI/CD, Cloud Technologies, and/or ServiceStack
Not Ready to Apply? Join Our Talent Community!!

US Applicants:
TSYS is an equal opportunity employer (EOE) committed to employing a diverse workforce and sustaining an inclusive culture. For more information about your rights, click here.

Qualified individuals with disabilities may be entitled to reasonable accommodations to assist in their pursuit of employment with TSYS. This includes assistance in completing the job application (online or otherwise) and reasonable accommodations during the hiring process. For assistance with reasonable accommodations needed to apply for a job, please contact the TSYS Pay and Benefits Center between 8 a.m. and 7 p.m. Eastern Monday-Friday at +1.706.644.8747 or +1.877.644.8747 or email at PayandBenefits@tsys.com.

EOE/Minorities/Females/Vet/Disability

Outside of US Applicants:

TSYS is committed to diversity and equal opportunities for everyone. We are committed to ensuring that all job applicants and team members are treated equally, without discrimination because of gender, sexual orientation, marital or civil partner status, gender reassignment, race, colour, nationality, ethnic or national origin, religion or belief, disability, age or any other characteristic prohibited by law. For more information, please refer to our Code of Business Conduct and Ethics, found here.","$69K-$117K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1015&ao=287967&s=58&guid=0000016a342360e69e0585ecc47533d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1e1737b1&cb=1555653023685&jobListingId=3125712817"
"Software Engineer","Investor Management Services","Charlotte, NC","Why This Job?
This job exists at IMS to apply the principles of software engineering to the design, development, maintenance, and testing of the IMS software platform.


Who We Are
Investor Management Services (IMS) is a well-funded, product & customer focused start-up located in Charlotte & Raleigh, NC. Our platform was launched in 2015 in response to an obvious void that was causing inefficiencies for private equity Commercial Real Estate (CRE) firms, and we have now become one of the leading investor management platforms in the CRE industry. Born out of a 20+ years of real estate experience, our technology is designed to solve core business pains of real estate investment professionals. IMS provides CRE investment sponsors a platform to manage investors and investments, analyze their investment portfolio in real-time, store and disseminate documents, and drive investor connection & transparency.


What You'll Do
Design, develop, document, test, and debug new and existing software systems and/or applications
Write front-end and back-end code and unit tests
Analyze code to find causes of errors and revise programs as needed
Participate in software design meetings and analyze user needs to determine technical requirements
Help your team improve and grow; constantly look for ways to make your team more effective
Learn new techniques and tools and share them with the team
May be asked to serve as technical expert on development projects


Who and What You'll Work With
You’ll work collaboratively with other teams including Product Management, UX, Customer Success, Analytics, Sales, and Marketing
You’ll work across multiple offices & with multiple development teams
You’ll work within the following technology stack:
AngularJS and React front-ends
Ruby on Rails API
PostgreSQL database
Applications hosted in AWS


What Would Make Us Excited About You?
You have a passion and curiosity to learn
You enjoy problem solving, understand complex ideas, and can analyze information to effectively chose the best solution
You approach new challenges with a positive attitude
You are someone who focuses on quality, is organized, and are thorough in how you reach solutions
You have a desire to engineer with the customer in mind & enjoy helping to ensure success for IMS customers
You believe in the collective power of an Engineering team & are open to learning with others and paired programming
You enjoy pushing yourself to meet challenging goals


Why You Should Be Excited About Us
At IMS we OWN IT! Our core values drive our success as an organization, and we look for teammates who want be a part of growing a game-changing business in the Fintech space. Each day offers new opportunities to excel or take on new challenges, innovation is at the heart of what we do, and we have a passionate, driven team of people who aspire to make a difference.
IMS is committed to creating and harnessing the power of a world-class team to fuel our company’s hyper-growth. We have brand-new headquarters in Charlotte’s urban core, kegs of beer from local craft brewers, and an on-site gym that offers group workout classes. We love to work hard and play hard and believe that every workplace needs to have a little fun (scooters in the office anyone?)! We pride ourselves on a culture that enables each teammate to thrive, both inside and outside of our doors, and we believe that a highly engaged workforce is the key driver in creating a world-class business.


Location

This role can be located in Charlotte or Raleigh, North Carolina.



All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability or protected veteran status.","$60K-$100K(Employer est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1016&ao=527095&s=58&guid=0000016a342360e69e0585ecc47533d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_41515519&cb=1555653032977&jobListingId=3138694541"
"Graphics/GPU Software Engineer (Contract)","Piaggio Fast Forward","Boston, MA","Piaggio Fast Forward (PFF) is hiring a Graphics/GPU Software Engineer to join our multidisciplinary engineering team. The ideal candidate is an experienced engineer who is not only a strong team player but can also mentor colleagues. The Graphics/GPU Software Engineer will have the opportunity to collaborate across teams while creating and maintaining PFF's robotics graphic application. This is a 2-3 month contract position within our Software team.

Responsibilities:
Develop GPU application for current and next generation of PFF products for high throughput embedded processing.
Collaborate with multidisciplinary teams to define, design, test and maintain PFF's embedded application.
Mentor and coach colleagues to expand the effectiveness of those around you.
Assure a high standard of quality in your own work and in the work of others on your team via good coding practices, process improvements, clean designs, smart testing and review practices.
Requirements:
Knowledge of ARM CPU and NVIDIA GPU architecture
Analyze performance of GPU implementations
Exposure to floating-point arithmetic
Experience with computer vision and image processing
Expertise in C/C++, nvenc/CUDA, OpenCV
Experience with a scripting language such as Python
Experience with Git source code control
Strong test-driven development and documentation focus
Bachelor's or Master's in CS or Engineering preferred
Five to ten years of experience
Good communication and documentation habits
Experience working in an agile (scrum) development environment
Excellent oral and written communication skills","","https://www.glassdoor.com/partner/jobListing.htm?pos=1017&ao=591148&s=58&guid=0000016a342360e69e0585ecc47533d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_098272fc&cb=1555653042275&jobListingId=3178339116"
"Data Scientist","Adtaxi","Saint Paul, MN","Overview

Adtaxi is looking for a data scientist to join our St. Paul analytics team. The data scientist will beresponsible for understanding our clients’ analytic needs and developing innovative solutions tobetter support our clients’ ultimate business goals.

Responsibilities

Responsibilities
Integrate and mine large data sets, connecting data from disparate sources to identify insights and drive optimization of marketing strategies
Utilize cutting-edge machine learning/statistical/optimization techniques to deliver solutions for media budget allocation optimization, customer purchase propensity prediction, MTA modeling, etc.
Create forecast models as needed and provide guidance on forecasting and analysis to find statistically significant correlations to be utilized for media planning or creative optimization
Assess the effectiveness and accuracy of new data sources and data gathering techniques
Build Tableau dashboards to meet account management and data science needs from the SQL data source to the finished product
Grow expertise by proactively remaining current with trends within digital advertising technologies
Qualifications

Qualifications
2-5 years of related experience
Strong experience in Python, R, Tableau, SQL to pull together disparate data sources
Mathematical modeling and optimization with experience building complex and robust modeling systems
Track record of using advanced statistical methods, information retrieval, predictive modeling, data mining techniques
Comfortable manipulating and analyzing data from varying sources
A flexible analytic approach that allows for results at varying levels of precision
Knowledge of both relational and non-relational database structures
Experience with AWS Redshift, PostgreSQL or other data stores
Experience with third party APIs, sending and receiving data
Ability to establish priorities and handle multiple assignments concurrently in an evolving, fast paced work environment
Demonstrate ability to work independently and in a team environment
Self-disciplined and results oriented
Ability to communicate effectively both orally and in writing with various levels of management, including translating complex ideas and data into actionable steps for stakeholders
Ability to teach others through knowledge transfer
Experience with AdTech systems a plus (e.g. Google AdWords, Facebook Ads, Bing, The Trade Desk)","$76K-$111K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1018&ao=608602&s=58&guid=0000016a342360e69e0585ecc47533d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_17b00de1&cb=1555653051482&jobListingId=3198313327"
"API Senior Software Engineer","Boston Private Bank & Trust Company","Boston, MA","Boston Private is a leading provider of fully integrated wealth management, trust and private banking services. For more than 25 years, Boston Private has taken a highly personalized approach to serving the complex financial needs of individuals, families, business owners, private partnerships, nonprofits and community partners. Boston Private is also an active provider of financing for affordable housing, first-time homebuyers, economic development, social services, community revitalization and small businesses.
Headquartered in Boston, Boston Private has offices across the U.S. including Boston, San Francisco, San Jose, Los Angeles and South Florida. Private banking and trust services are provided through Boston Private Bank & Trust Company. Wealth management services are provided through Boston Private Wealth LLC, an SEC registered investment adviser and a wholly owned subsidiary of Boston Private Bank & Trust Company.

The Senior Software Engineer focused on Mulesoft and API layer has design, development, and maintenance responsibility for the firms API layer. This position will be a lead role, directly impacting the API layer design and implementation of the firm. The position provides exposure to many business units in a dynamic financial services firm. This role requires direct interaction with end users and excellent analytical and communication skills.

Partner with Architecture to define and design an API layer for the firm to support data access and integration needs of our systems and business units that are scalable and built to industry best practices.
Design, build, unit test, and maintain services within the API layer.
Define, develop, and enforce all standards for API layer design, development, unit testing, and deployment.
Align all architecture and design decisions with Boston Private’s Architecture guidelines and standards.
Drives process improvement changes to ensure high productivity and quality of services provided.
Maintain high-level familiarity with other IT system/business application capabilities in order to make recommendations about potential upstream/downstream integration or functionality.
Partner with Architecture and Data Management to understand current and future strategies and objectives.
Define and enforce strict release management protocols, leveraging DevOps best practices, are followed and environments are kept up-to-date.

8+ years of experience with implementing service-oriented architecture (SOA) and enterprise application integration (EAI) using technologies like MuleSoft, Dell Boomi, webMethods, or TIBCO etc.
S in Computer Science or equivalent.
5+ years of experience in building API and service layers.
Designs and develops ESB/SOA/BPM middleware layers using tools like Mulesoft, ServiceMix, webMethods, TIBCO and J2EE concepts.
Documents design specifications, troubleshoots and testing.
Actively involved with requirement definition and analysis.
Work closely with functional leads, product managers, and business analysts to understand integration requirements.
Suggests innovative solutions to business problems/ processes that leverage technology to provide marketing differentiation, performance improvements, and better user experiences.
Interacts well with other technical team leaders such as architects, testing, analysts, and release managers as a lead member of the development team in order to accomplish the business goal.
Strong experience in XML, XSD, XSLT, SOAP/REST and web services.
Solid understanding of the design patterns.
Strong mentoring skills with excellent communication, collaboration, and problem solving capabilities.
Self-motivated with exceptional follow-through
Ability to independently prioritize and complete tasks in a structured manner
Strong problem solving and analysis skills with the ability to work and deliver under tight deadlines
Experience with DevOps and CI/CD.
Working knowledge of the Microsoft Development stack (ASP.NET Core, C#) preferred.
Experience working in an agile environment (e.g. Scrum, Kanban) preferred.
Experience in financial services is highly desired.
Experience with modern software frameworks and repositories such as TFS, SVN and GitHub is preferred.
Boston Private is an Equal Opportunity Employer","$82K-$138K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1019&ao=553523&s=58&guid=0000016a342360e69e0585ecc47533d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_67f8ee07&cb=1555653058788&jobListingId=3188457323"
